,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,71,29,47,36,36,0,70,9,1,41,0,6,74,2,38,4,38,10,38,7,10
1,2007-02-01,2,1,0,75,38,43,43,17,0,83,12,1,39,0,5,83,2,36,1,54,7,31,4,4
2,2007-03-01,2,1,0,78,35,50,37,21,1,60,8,1,43,0,6,85,2,39,3,36,10,28,7,8
3,2007-04-01,2,1,0,77,42,33,44,20,0,72,11,1,48,0,5,82,2,51,1,43,12,41,4,9
4,2007-05-01,2,1,0,79,50,27,40,36,0,28,12,2,44,0,5,87,2,37,2,51,2,44,6,6
5,2007-06-01,2,1,0,84,32,42,35,25,0,30,11,1,41,0,4,87,2,36,3,48,12,30,5,9
6,2007-07-01,3,2,0,85,39,49,30,35,0,33,10,1,39,0,6,81,6,39,2,50,6,25,5,4
7,2007-08-01,2,1,0,80,29,31,34,31,0,33,9,1,44,0,5,84,4,43,4,46,7,25,5,8
8,2007-09-01,3,1,0,81,20,26,41,26,0,27,8,1,42,0,5,71,3,27,3,46,9,33,5,5
9,2007-10-01,3,1,0,73,34,28,28,27,0,32,11,1,51,0,6,72,3,39,2,42,8,38,2,8
10,2007-11-01,3,1,0,79,36,51,21,26,1,26,11,1,45,0,6,73,4,34,2,45,6,38,5,5
11,2007-12-01,2,2,0,74,27,25,30,23,0,28,9,1,46,0,7,65,3,44,1,34,8,29,2,5
12,2008-01-01,2,2,0,81,33,62,31,31,0,75,11,1,47,0,10,76,2,36,2,43,10,26,3,13
13,2008-02-01,3,3,0,75,51,27,25,19,0,86,12,2,44,0,7,71,2,44,3,41,4,32,3,11
14,2008-03-01,2,2,0,80,46,46,27,33,0,69,11,1,49,0,7,77,3,39,3,44,7,31,2,14
15,2008-04-01,2,2,0,87,44,36,34,22,0,83,13,1,45,0,7,87,3,29,4,46,12,35,5,9
16,2008-05-01,2,1,0,86,33,56,33,36,0,49,12,1,50,0,6,88,5,38,2,41,6,35,3,10
17,2008-06-01,1,2,0,99,34,62,28,36,0,33,11,1,44,0,6,88,3,31,4,43,11,40,6,6
18,2008-07-01,2,3,0,88,29,73,38,24,0,29,10,1,44,0,8,82,3,32,4,48,7,34,3,8
