,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
0,2007-01-01,2,2,0,73,20,35,20,14,0,66,11,1,34,0,8,71,2,36,3,41
1,2007-02-01,2,9,0,71,23,27,18,11,0,79,12,1,35,0,6,68,3,33,2,40
2,2007-03-01,2,2,0,74,22,30,19,14,0,62,12,1,34,0,5,74,2,31,2,40
3,2007-04-01,2,2,0,74,21,33,16,15,0,75,11,1,36,0,5,71,3,37,3,43
4,2007-05-01,2,1,0,78,20,29,19,12,0,29,12,1,35,0,5,77,2,34,3,43
5,2007-06-01,2,1,0,76,23,35,14,9,0,27,10,1,33,0,4,82,3,31,2,44
6,2007-07-01,2,2,0,81,24,35,19,10,0,28,11,1,33,0,6,79,3,31,3,48
7,2007-08-01,2,1,0,76,22,36,17,13,0,27,10,1,33,0,5,76,3,32,2,45
8,2007-09-01,2,2,0,70,20,24,16,14,0,27,11,1,38,0,4,66,3,29,3,42
9,2007-10-01,2,2,0,68,22,32,18,13,0,36,13,1,37,0,5,67,3,36,3,46
10,2007-11-01,2,1,0,71,19,34,18,11,0,28,14,1,37,0,5,66,3,33,2,45
11,2007-12-01,2,4,0,72,20,26,15,12,0,31,11,1,37,0,6,67,3,40,2,40
12,2008-01-01,2,4,0,75,19,39,18,13,0,72,13,1,38,0,7,71,3,34,2,45
13,2008-02-01,2,6,0,73,18,43,19,12,0,88,13,1,40,0,6,71,3,37,3,44
14,2008-03-01,2,3,0,76,19,36,19,12,0,71,13,1,39,0,6,75,3,31,2,45
15,2008-04-01,2,2,0,77,21,37,20,13,0,80,14,1,39,0,6,75,4,31,3,46
16,2008-05-01,2,2,0,78,17,41,15,12,0,48,12,1,40,0,5,83,4,33,2,42
17,2008-06-01,2,2,0,80,24,39,18,11,0,31,12,1,38,0,8,82,3,33,3,42
18,2008-07-01,2,2,0,80,21,41,18,9,0,30,12,1,39,0,9,81,3,30,3,49
19,2008-08-01,2,3,0,74,20,38,17,10,0,27,10,1,39,0,6,74,3,27,2,51
20,2008-09-01,2,2,0,77,18,55,17,16,1,30,13,1,39,0,8,66,3,28,3,44
21,2008-10-01,2,2,0,72,22,49,20,14,1,36,16,2,43,0,9,63,3,33,3,43
22,2008-11-01,2,3,0,72,22,54,19,15,1,29,15,1,45,0,12,65,3,35,3,46
23,2008-12-01,2,5,0,75,21,54,19,14,1,30,14,1,43,0,16,68,3,40,2,45
24,2009-01-01,2,5,0,81,24,55,21,16,2,69,16,1,42,0,20,70,3,34,3,44
25,2009-02-01,2,3,0,77,19,60,21,24,1,100,16,1,45,0,16,73,4,32,3,46
26,2009-03-01,2,2,0,79,21,59,21,21,1,74,16,1,44,0,15,75,3,30,3,48
27,2009-04-01,2,2,0,78,21,80,19,21,1,77,17,2,49,0,14,73,3,32,3,45
28,2009-05-01,2,7,0,80,19,100,20,17,1,34,15,1,46,0,15,76,3,33,2,45
29,2009-06-01,2,4,0,79,21,98,20,23,1,34,15,1,46,0,15,79,4,30,3,46
30,2009-07-01,2,2,0,81,21,77,19,20,1,36,15,1,48,0,15,81,3,30,3,46
31,2009-08-01,2,2,0,80,22,60,17,15,0,35,15,1,48,0,14,80,3,28,3,43
32,2009-09-01,2,2,0,76,18,52,20,18,0,35,17,2,50,0,14,69,4,32,2,47
33,2009-10-01,2,2,1,78,21,58,20,24,0,37,20,2,52,0,16,66,3,35,3,52
34,2009-11-01,2,2,0,78,22,49,17,24,0,35,19,2,55,0,18,66,3,38,3,55
