,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,80,33,44,31,19,1,67,10,1,34,0,8,79,2,32,3,37,8,35,4,8
1,2007-02-01,2,3,0,76,32,36,34,16,0,83,10,1,34,0,6,81,2,35,2,33,5,46,4,8
2,2007-03-01,2,4,0,80,31,40,35,15,0,70,10,1,34,0,7,80,3,35,2,35,6,35,3,10
3,2007-04-01,2,2,0,82,30,48,34,16,0,83,10,1,36,0,7,83,2,41,2,41,7,40,5,6
4,2007-05-01,2,2,0,82,28,36,30,14,0,35,10,1,37,0,5,84,3,33,3,40,7,40,3,7
5,2007-06-01,2,2,0,81,30,42,32,15,0,34,9,1,34,0,6,88,2,33,2,42,7,29,3,9
6,2007-07-01,2,2,0,84,29,43,34,15,0,36,9,1,33,0,6,91,3,36,2,44,8,29,3,9
7,2007-08-01,2,2,0,83,29,42,29,13,0,37,9,1,34,0,6,81,3,32,2,40,7,28,3,8
8,2007-09-01,2,1,0,77,30,43,29,17,0,32,10,1,39,0,6,73,3,29,2,40,8,38,3,11
9,2007-10-01,2,1,0,74,28,45,30,14,0,35,12,1,40,0,8,71,2,33,2,39,6,36,3,8
10,2007-11-01,2,1,0,76,33,45,27,21,0,33,12,1,37,0,8,72,2,35,2,41,5,41,5,8
11,2007-12-01,2,1,0,75,32,35,30,14,0,34,9,1,39,0,10,73,2,41,2,39,5,32,3,10
12,2008-01-01,2,2,0,82,31,53,36,18,0,71,12,1,40,0,11,79,3,32,2,39,7,38,3,15
13,2008-02-01,2,2,0,78,33,42,29,15,0,91,11,1,38,0,10,78,3,33,2,38,4,36,4,9
14,2008-03-01,2,2,0,83,23,57,34,14,0,75,12,1,40,0,8,85,3,34,2,37,4,37,4,12
15,2008-04-01,2,2,0,78,25,56,33,33,1,89,12,1,39,0,9,85,3,31,3,41,4,37,4,12
16,2008-05-01,2,2,0,84,29,58,29,16,0,53,10,1,39,0,8,89,4,34,2,39,6,35,4,10
17,2008-06-01,2,2,0,83,24,59,27,14,1,38,9,1,37,0,10,90,3,32,2,42,4,30,3,7
18,2008-07-01,2,2,0,84,28,57,32,14,0,38,10,1,39,0,10,90,3,32,3,43,5,32,3,10
19,2008-08-01,2,3,0,79,27,58,27,16,0,37,10,1,38,0,9,79,3,32,1,42,7,29,3,6
20,2008-09-01,2,2,0,78,32,65,33,18,0,40,12,1,39,0,11,71,2,31,2,40,5,34,4,8
21,2008-10-01,2,2,0,77,28,78,32,23,1,46,14,1,42,0,12,66,3,36,1,41,4,35,5,12
22,2008-11-01,2,3,0,75,29,88,35,16,1,39,16,1,44,0,15,69,2,34,2,40,3,38,3,7
