,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,80,29,54,34,17,0,65,9,1,29,0,6,69,2,29,2,36,6,29,3,8
1,2007-02-01,2,3,0,76,28,46,39,17,0,81,9,1,29,0,5,69,2,28,3,39,5,30,5,8
2,2007-03-01,2,2,0,79,25,52,27,17,0,61,10,1,29,0,4,71,2,30,3,36,4,33,3,6
3,2007-04-01,2,2,0,78,27,48,31,24,0,76,9,1,31,0,5,73,2,33,2,42,6,31,4,6
4,2007-05-01,2,2,0,79,28,47,31,20,0,29,9,1,32,0,4,77,4,32,3,41,5,31,4,6
5,2007-06-01,1,1,0,82,32,51,28,14,0,30,9,1,30,0,5,81,2,32,3,41,4,29,2,7
6,2007-07-01,2,1,0,85,32,55,28,17,0,32,8,1,30,0,5,79,3,30,3,40,7,26,3,6
7,2007-08-01,2,1,0,78,35,53,26,18,0,32,8,1,31,0,5,74,3,28,3,41,6,25,4,6
8,2007-09-01,2,1,0,73,23,49,29,20,0,26,10,1,35,0,4,68,3,29,2,40,3,28,4,7
9,2007-10-01,2,1,0,73,32,56,30,21,0,29,11,1,33,0,5,65,4,34,2,41,4,28,4,7
10,2007-11-01,2,1,0,73,26,46,24,20,0,29,10,1,33,0,4,65,3,33,2,39,4,32,5,8
11,2007-12-01,1,3,0,77,31,43,27,24,0,32,8,1,33,0,6,64,3,40,2,40,5,29,3,5
12,2008-01-01,2,2,0,83,29,53,31,24,1,73,11,1,34,0,7,72,3,30,3,39,4,32,3,11
13,2008-02-01,2,3,0,80,24,50,28,19,0,88,10,1,35,0,6,70,4,34,3,38,4,30,4,8
14,2008-03-01,2,2,0,80,28,54,29,20,0,69,10,1,37,0,6,74,3,27,2,41,5,29,3,9
15,2008-04-01,2,1,0,79,21,54,29,20,0,80,11,1,35,0,6,76,4,29,4,41,5,33,5,8
16,2008-05-01,1,1,0,79,28,61,26,25,0,50,9,1,34,0,5,80,4,33,2,42,4,26,3,6
17,2008-06-01,2,2,0,83,25,60,29,19,0,33,9,1,34,0,7,85,4,28,3,45,4,28,1,7
18,2008-07-01,2,2,0,81,32,57,28,18,0,35,9,1,37,0,7,80,4,31,2,43,4,28,3,6
19,2008-08-01,2,3,0,79,28,48,31,17,0,30,9,1,34,0,6,74,4,26,2,42,4,28,3,4
20,2008-09-01,2,2,0,77,32,76,28,23,0,29,11,1,37,0,8,65,3,28,3,45,7,28,3,7
21,2008-10-01,2,2,0,73,27,73,35,24,1,41,12,1,38,0,9,65,3,31,3,42,4,29,4,10
22,2008-11-01,2,3,0,74,31,78,33,22,1,30,12,1,40,0,11,62,3,33,2,43,4,28,4,7
23,2008-12-01,2,4,0,76,32,78,35,33,1,31,11,1,39,0,16,69,2,37,3,43,3,32,3,9
24,2009-01-01,2,4,0,83,29,80,30,35,2,71,13,1,40,0,18,69,4,34,3,42,4,28,3,8
25,2009-02-01,2,2,0,81,32,89,32,36,1,100,14,1,41,0,19,68,4,31,2,43,4,30,4,7
26,2009-03-01,2,2,0,83,26,74,35,32,1,81,14,1,41,0,17,73,4,30,3,46,4,28,4,7
27,2009-04-01,2,2,0,79,25,90,31,27,1,81,13,1,44,0,17,73,3,29,3,46,5,30,5,8
28,2009-05-01,2,5,0,82,29,84,27,28,0,36,12,1,42,0,17,76,3,32,2,42,5,29,4,5
29,2009-06-01,2,3,0,83,27,95,33,33,0,35,13,1,41,0,17,79,3,29,2,45,4,26,2,6
30,2009-07-01,2,2,0,87,35,100,31,24,0,36,12,1,43,0,17,81,4,31,3,47,4,24,3,6
31,2009-08-01,2,2,0,82,30,84,32,32,0,38,13,1,44,0,16,81,4,30,2,46,4,27,4,5
32,2009-09-01,2,2,0,77,33,83,35,28,0,32,14,1,47,0,17,69,4,29,3,45,4,32,4,6
33,2009-10-01,2,2,0,79,33,79,34,29,0,35,15,1,48,0,17,65,3,34,3,46,4,29,5,6
34,2009-11-01,2,2,0,81,33,71,28,41,0,34,15,1,50,0,18,64,3,36,3,47,4,32,5,5
35,2009-12-01,2,2,0,78,32,67,26,35,0,38,13,1,48,0,18,68,3,44,3,49,5,32,2,4
36,2010-01-01,2,3,0,87,36,72,32,27,0,80,15,1,49,0,23,70,3,37,3,51,4,32,3,5
37,2010-02-01,2,3,0,83,30,71,33,29,0,93,16,1,49,0,20,69,4,35,4,50,4,32,3,5
38,2010-03-01,2,2,0,84,28,77,35,30,0,72,17,1,50,0,19,70,4,32,3,48,4,32,3,7
39,2010-04-01,2,2,0,82,28,75,36,27,0,77,16,1,52,0,18,70,3,38,3,47,5,29,5,7
40,2010-05-01,2,2,0,84,31,69,28,29,0,34,14,1,51,0,17,74,4,37,2,49,4,30,3,5
41,2010-06-01,2,2,0,82,30,80,35,35,0,35,15,1,48,0,21,80,4,36,3,48,5,31,3,4
42,2010-07-01,2,2,0,83,28,73,34,28,0,37,16,1,50,0,25,79,4,37,3,51,5,29,3,5
43,2010-08-01,2,2,0,80,32,72,28,32,0,39,13,1,49,0,18,73,3,35,3,49,4,29,2,5
44,2010-09-01,3,2,0,74,26,72,37,25,0,31,14,1,51,0,15,69,4,40,3,48,5,30,4,5
45,2010-10-01,2,2,0,72,25,62,31,44,0,32,15,1,52,0,15,66,5,41,2,50,4,35,5,6
46,2010-11-01,2,2,0,75,25,64,29,40,0,31,15,1,54,0,16,65,4,43,3,53,4,36,5,5
