,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,82,39,41,24,20,0,73,8,1,32,0,3,67,2,27,3,32,3,26,2,3
1,2007-02-01,2,2,0,74,26,32,36,10,0,95,9,2,30,0,2,69,3,31,3,32,2,21,5,7
2,2007-03-01,2,1,0,78,32,52,27,20,0,69,9,1,31,0,3,70,3,26,1,38,5,22,6,6
3,2007-04-01,2,1,0,76,33,35,38,18,0,80,10,1,36,0,3,70,2,28,4,34,4,24,3,4
4,2007-05-01,2,1,0,78,34,39,28,19,0,41,9,0,31,0,3,76,2,31,3,36,4,22,2,7
5,2007-06-01,2,1,0,84,51,54,28,13,1,31,9,1,38,0,2,76,2,28,3,38,4,20,2,6
6,2007-07-01,2,1,0,89,47,45,33,17,0,35,11,0,35,0,3,80,2,31,4,35,4,25,3,1
7,2007-08-01,2,1,0,81,36,57,44,20,0,36,10,0,34,0,3,79,5,27,3,39,4,18,1,5
8,2007-09-01,2,1,0,75,27,36,44,30,0,27,10,1,37,0,3,68,2,34,5,33,4,18,7,9
9,2007-10-01,1,1,0,69,27,50,26,23,0,32,10,1,35,0,3,69,4,35,4,40,6,28,2,6
10,2007-11-01,2,1,0,70,33,40,33,49,1,30,9,1,37,0,3,69,5,35,3,34,4,24,4,3
11,2007-12-01,1,1,0,76,22,41,28,16,0,38,8,1,38,0,2,72,3,33,1,35,5,23,4,4
12,2008-01-01,1,1,0,81,22,43,35,21,1,81,11,1,37,0,3,70,2,30,5,38,3,27,4,7
13,2008-02-01,2,1,1,77,21,49,42,15,0,90,10,1,38,0,3,72,3,28,3,35,3,20,5,8
14,2008-03-01,2,2,0,78,34,58,21,11,0,72,11,1,39,0,3,74,3,27,3,35,5,21,3,8
15,2008-04-01,1,2,0,79,26,54,27,13,0,83,12,1,34,0,4,77,3,26,2,36,3,25,3,7
16,2008-05-01,1,1,0,80,32,52,13,25,0,56,9,1,42,0,3,81,6,33,2,39,2,27,2,6
17,2008-06-01,1,1,1,82,31,47,27,10,0,39,11,0,37,0,4,83,5,30,2,41,3,16,3,5
18,2008-07-01,2,2,0,85,32,49,26,17,0,38,9,1,42,0,4,81,3,25,3,35,3,25,3,4
19,2008-08-01,2,3,0,76,22,40,31,14,0,37,7,1,38,0,3,70,2,25,4,40,5,20,2,4
20,2008-09-01,2,2,0,74,20,74,38,13,0,31,10,1,39,0,6,63,4,28,3,33,3,19,4,8
21,2008-10-01,2,2,0,71,31,58,36,25,1,40,13,1,40,0,6,66,4,26,4,41,4,22,2,8
22,2008-11-01,2,3,1,68,38,62,35,25,1,33,13,1,44,0,7,66,3,31,2,40,2,26,3,4
23,2008-12-01,2,3,0,75,34,70,35,40,1,38,10,1,45,0,7,71,3,29,1,38,1,22,2,6
24,2009-01-01,2,3,0,81,32,67,36,26,1,78,14,0,41,0,8,74,6,26,3,40,2,26,4,5
25,2009-02-01,2,2,0,80,25,76,34,32,1,100,15,1,48,0,9,74,4,25,3,38,3,24,6,5
26,2009-03-01,1,2,0,78,26,72,39,30,0,70,13,1,45,0,10,72,4,27,3,46,4,26,3,7
27,2009-04-01,2,2,0,78,31,70,41,40,0,74,13,1,50,0,10,74,3,25,3,36,4,27,2,4
28,2009-05-01,1,3,0,78,34,90,40,15,1,39,12,1,44,0,7,80,4,26,3,39,3,23,3,5
29,2009-06-01,1,2,0,83,36,74,44,34,1,34,12,1,46,0,10,87,4,25,3,40,4,20,2,3
30,2009-07-01,2,2,0,87,31,99,39,36,0,45,14,1,50,0,11,83,2,26,4,38,4,20,2,4
31,2009-08-01,2,2,0,80,38,61,40,21,0,37,13,1,50,0,9,77,4,24,2,41,3,18,2,5
32,2009-09-01,2,2,1,74,21,70,44,32,0,31,18,1,53,0,12,72,3,26,5,45,3,31,4,4
33,2009-10-01,2,2,0,75,28,64,30,25,0,35,16,1,55,0,11,69,5,30,3,45,2,22,3,6
34,2009-11-01,2,1,0,74,29,51,40,27,0,36,16,1,55,0,11,73,3,35,1,48,2,24,4,5
35,2009-12-01,2,2,0,75,43,67,40,29,0,39,14,1,56,0,9,70,3,41,3,46,2,22,3,4
36,2010-01-01,2,2,0,84,42,69,35,23,0,82,16,1,54,0,12,73,5,33,3,46,3,18,3,5
37,2010-02-01,2,3,0,77,34,61,33,32,1,85,18,1,55,0,11,72,4,34,3,48,2,22,5,3
38,2010-03-01,2,2,1,81,28,65,35,18,0,65,16,1,54,0,11,79,3,30,4,41,4,23,3,3
39,2010-04-01,2,2,0,81,41,66,38,33,0,74,17,1,57,0,12,70,5,32,4,43,3,29,3,4
40,2010-05-01,2,2,1,77,33,63,32,33,0,35,17,1,59,0,11,80,3,32,4,50,3,24,5,3
41,2010-06-01,2,2,0,81,31,59,33,41,0,35,17,1,59,0,15,83,4,33,3,44,3,26,3,4
42,2010-07-01,2,2,0,79,30,65,31,26,0,37,17,1,55,0,19,80,5,29,2,46,2,19,2,5
43,2010-08-01,3,1,0,73,37,59,31,29,0,38,15,1,56,0,13,78,4,32,4,46,4,22,4,4
44,2010-09-01,2,2,1,70,29,56,36,26,0,27,14,1,57,0,10,71,5,31,3,40,3,22,3,6
45,2010-10-01,2,1,0,68,27,53,33,32,0,30,15,1,59,0,10,69,3,33,3,46,3,27,4,4
46,2010-11-01,2,2,1,68,27,57,30,58,0,28,16,1,59,0,11,64,4,38,4,45,5,26,5,4
47,2010-12-01,2,2,0,68,26,54,31,34,0,35,13,1,57,0,17,74,5,57,2,43,4,25,4,3
48,2011-01-01,2,4,0,81,25,60,41,55,0,82,15,1,58,0,12,71,3,32,4,46,4,23,3,3
49,2011-02-01,2,3,0,77,30,53,28,22,0,84,14,1,59,0,8,76,6,32,5,41,3,25,5,3
50,2011-03-01,2,1,0,79,20,51,37,40,0,59,15,1,61,0,9,73,5,34,3,41,4,25,3,3
51,2011-04-01,2,2,0,75,23,61,36,41,0,67,16,1,61,0,9,74,5,37,4,43,3,27,4,4
52,2011-05-01,2,3,1,79,23,50,30,48,0,32,13,1,58,0,10,75,5,42,3,42,4,23,2,5
53,2011-06-01,2,1,0,80,19,66,43,27,0,31,15,1,59,0,10,78,5,34,4,43,4,22,3,4
54,2011-07-01,2,2,0,84,21,59,34,27,0,42,16,1,60,0,7,76,5,31,4,44,4,29,3,2
