,date,anxiety,closing,entrepreneur,home,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,2,0,82,0,58,10,1,34,0,11,65,4,36,0,41,9,49,4,12
1,2007-02-01,2,1,1,84,0,82,9,1,33,0,5,64,7,32,0,34,13,36,0,10
2,2007-03-01,2,1,0,81,0,59,11,1,34,0,7,71,3,33,0,35,7,37,4,18
3,2007-04-01,2,1,0,80,1,74,11,1,32,0,7,75,4,35,0,43,12,39,6,7
4,2007-05-01,2,1,1,83,1,29,9,1,32,0,5,80,4,36,0,36,7,40,6,11
5,2007-06-01,1,2,0,93,0,23,9,2,31,0,6,77,3,31,0,39,7,38,0,12
6,2007-07-01,2,2,1,95,0,24,6,1,25,0,5,81,4,30,0,46,13,21,4,11
7,2007-08-01,2,1,0,81,0,30,12,1,31,0,5,71,7,24,0,43,12,36,4,13
8,2007-09-01,3,1,0,79,1,28,12,2,33,0,5,71,3,25,0,40,7,42,4,8
9,2007-10-01,2,1,0,85,1,27,11,1,34,0,8,70,4,41,0,38,6,34,0,12
10,2007-11-01,2,1,0,80,0,27,12,1,38,0,7,63,2,27,0,41,5,41,5,8
11,2007-12-01,1,1,0,80,0,30,11,1,34,0,9,67,3,33,0,44,11,29,3,13
12,2008-01-01,2,2,1,91,0,69,13,1,38,0,9,69,4,37,0,52,10,36,3,17
13,2008-02-01,2,2,0,84,0,86,11,1,39,0,10,73,4,33,0,46,20,38,6,13
14,2008-03-01,2,2,0,88,0,73,15,2,38,0,9,70,6,31,0,48,9,27,3,22
15,2008-04-01,2,1,0,80,0,84,14,2,39,0,8,77,6,36,0,48,9,51,4,10
16,2008-05-01,1,1,0,93,1,51,9,1,43,0,6,77,5,31,0,48,8,35,6,11
17,2008-06-01,2,2,0,90,0,33,12,1,38,0,5,87,6,30,0,51,6,33,3,17
18,2008-07-01,1,2,0,83,0,26,7,1,35,0,10,82,6,32,0,46,10,28,5,14
19,2008-08-01,2,2,1,86,0,26,7,1,33,0,6,83,4,29,0,54,9,33,8,9
20,2008-09-01,2,1,1,85,0,32,13,1,41,0,6,68,5,26,0,47,13,35,4,10
21,2008-10-01,2,2,1,79,1,41,14,1,38,0,13,62,3,32,0,42,7,37,4,16
22,2008-11-01,2,2,1,81,1,29,14,2,37,0,17,58,6,35,0,56,4,39,4,11
23,2008-12-01,2,2,0,77,1,28,11,1,45,0,18,63,2,43,0,48,7,36,9,13
24,2009-01-01,2,2,1,94,1,74,14,1,38,0,23,67,4,33,0,42,11,27,3,9
25,2009-02-01,2,2,0,84,1,100,15,3,42,0,22,67,2,19,0,47,8,36,5,23
26,2009-03-01,2,1,0,82,1,70,12,2,41,0,19,67,5,29,0,38,5,41,5,13
27,2009-04-01,1,2,1,81,1,77,16,2,45,0,22,72,4,36,0,47,8,41,6,16
28,2009-05-01,2,4,0,80,1,32,12,2,38,0,16,75,4,24,0,42,13,35,3,8
29,2009-06-01,3,2,1,91,0,32,15,1,43,0,19,77,4,37,0,50,4,36,3,10
30,2009-07-01,3,1,1,89,1,29,14,1,42,0,21,82,4,24,0,53,8,26,3,9
31,2009-08-01,2,2,0,90,1,33,11,1,41,0,20,84,3,33,0,49,9,33,6,11
32,2009-09-01,2,1,0,88,1,32,13,3,50,0,17,67,7,24,0,49,9,29,3,10
33,2009-10-01,3,2,0,83,1,39,18,2,51,0,20,73,5,29,0,50,9,43,9,8
34,2009-11-01,2,1,0,82,1,36,18,1,52,0,25,62,3,40,0,44,6,52,7,8
35,2009-12-01,3,2,0,77,1,32,15,1,45,0,26,65,3,42,0,55,6,40,6,5
36,2010-01-01,2,2,0,87,0,75,17,1,50,0,25,68,4,33,0,51,7,31,5,9
37,2010-02-01,2,2,0,82,1,84,18,1,53,0,23,71,3,39,0,55,5,35,3,8
38,2010-03-01,2,3,0,87,1,62,19,1,52,0,22,72,3,40,0,55,6,38,3,7
39,2010-04-01,2,2,0,87,0,74,15,3,54,0,21,67,4,35,0,47,14,36,5,8
40,2010-05-01,2,2,0,89,0,35,12,1,51,0,21,63,7,34,0,40,6,51,5,16
41,2010-06-01,2,2,0,89,1,29,13,1,50,0,17,71,9,42,0,48,8,31,5,5
42,2010-07-01,2,2,0,85,1,28,16,1,50,0,23,81,7,32,0,56,5,36,10,9
43,2010-08-01,2,1,0,77,0,31,12,1,45,0,15,72,5,42,0,57,5,32,5,7
44,2010-09-01,3,2,1,78,0,33,15,1,49,0,18,67,6,33,0,54,10,43,9,3
45,2010-10-01,2,1,1,76,0,36,19,2,50,0,19,68,3,54,0,50,8,53,8,9
46,2010-11-01,2,1,1,82,1,31,18,4,56,0,18,65,4,50,0,55,7,42,4,13
47,2010-12-01,2,2,1,79,0,42,13,2,60,0,22,65,4,51,0,41,11,50,3,10
48,2011-01-01,2,2,0,87,0,69,17,1,55,0,24,67,5,47,0,55,4,41,4,7
49,2011-02-01,3,2,1,82,0,85,16,1,55,0,20,74,4,43,0,53,7,41,8,9
50,2011-03-01,3,3,0,79,0,62,17,1,54,0,16,77,4,39,0,52,7,42,4,8
51,2011-04-01,3,2,0,82,1,71,15,1,63,0,17,69,4,53,0,56,8,47,4,9
52,2011-05-01,2,2,0,90,0,28,16,1,58,0,13,73,4,54,0,57,9,47,5,8
53,2011-06-01,3,2,0,86,0,25,13,2,55,0,13,76,5,52,0,49,9,36,3,7
54,2011-07-01,3,3,0,86,0,31,17,1,57,0,14,84,4,47,0,56,9,33,3,4
55,2011-08-01,3,2,0,84,0,30,17,1,55,0,14,74,5,41,0,50,9,41,5,7
56,2011-09-01,3,2,0,81,0,25,18,1,59,0,13,65,7,46,0,55,4,39,3,5
57,2011-10-01,3,2,0,75,0,29,16,2,63,0,17,67,7,66,0,51,6,38,6,6
58,2011-11-01,2,2,0,80,0,24,16,2,65,0,16,61,3,63,0,64,6,44,3,4
59,2011-12-01,2,3,0,83,0,29,15,2,60,0,17,64,5,72,0,56,4,39,6,5
60,2012-01-01,2,2,0,88,0,62,17,1,62,0,20,69,5,61,0,56,7,41,1,6
61,2012-02-01,2,2,0,82,0,74,18,1,64,0,17,70,7,55,0,52,5,41,4,5
62,2012-03-01,3,2,0,83,0,52,17,2,65,0,14,72,5,61,0,61,6,43,3,11
63,2012-04-01,2,2,0,91,0,64,19,2,66,0,14,69,6,69,0,53,9,55,6,9
64,2012-05-01,3,1,0,89,0,30,17,1,61,0,14,79,6,65,0,50,8,48,3,9
65,2012-06-01,3,2,0,87,0,24,17,1,62,0,12,82,5,71,0,54,5,47,3,8
66,2012-07-01,3,2,0,87,0,24,14,1,62,0,13,80,5,65,0,54,9,41,4,7
67,2012-08-01,2,5,0,81,0,27,14,1,58,0,11,72,4,59,0,54,8,38,6,7
68,2012-09-01,3,2,0,79,0,27,16,1,62,0,13,72,4,61,0,49,10,42,5,9
69,2012-10-01,3,2,0,76,0,30,17,2,62,0,15,62,6,71,0,55,5,41,3,6
70,2012-11-01,3,2,0,80,0,29,16,2,66,0,17,57,6,69,0,58,9,47,4,8
71,2012-12-01,3,1,0,82,0,31,14,1,66,0,17,64,6,83,0,59,8,42,2,7
72,2013-01-01,2,2,1,90,0,62,19,2,65,0,16,66,6,74,0,53,9,42,4,5
73,2013-02-01,3,2,1,80,0,75,20,2,66,0,16,65,4,75,0,60,6,39,6,7
74,2013-03-01,2,2,0,84,0,55,20,2,64,0,13,73,5,72,0,57,8,43,2,6
75,2013-04-01,3,2,0,89,0,56,20,2,67,0,14,69,7,64,0,51,7,45,3,8
76,2013-05-01,3,2,0,99,0,25,17,1,68,0,11,76,4,79,0,48,7,46,2,6
77,2013-06-01,3,1,0,96,0,24,15,1,58,0,10,79,5,70,0,54,9,40,4,5
78,2013-07-01,3,1,0,90,0,25,13,1,62,0,10,81,6,61,0,56,8,41,3,7
79,2013-08-01,2,1,0,88,0,22,13,1,62,0,9,80,4,52,0,54,10,39,4,5
80,2013-09-01,3,2,1,83,0,22,16,1,62,0,9,71,5,59,0,57,9,41,4,8
