,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,85,46,50,36,20,0,74,10,1,30,0,4,68,3,33,3,41,7,33,3,7
1,2007-02-01,2,3,0,80,43,38,36,21,0,85,11,1,28,0,4,66,2,33,3,37,5,32,4,5
2,2007-03-01,2,2,0,84,41,43,34,22,0,72,10,1,31,0,3,72,3,32,3,42,4,30,3,7
3,2007-04-01,2,2,0,85,41,38,35,32,0,84,9,1,32,0,4,69,2,36,2,43,6,32,4,6
4,2007-05-01,2,1,0,84,34,44,27,20,0,41,8,1,31,0,4,78,2,35,3,46,6,29,2,7
5,2007-06-01,2,1,0,85,38,53,29,17,0,46,8,1,31,0,4,81,3,32,4,49,6,29,1,7
6,2007-07-01,2,1,0,90,38,53,28,19,0,49,8,1,31,0,4,79,3,28,4,45,6,27,2,5
7,2007-08-01,2,2,0,85,38,43,28,18,0,46,8,1,32,0,4,73,3,30,4,46,5,28,3,6
8,2007-09-01,2,1,0,80,38,43,34,23,0,37,9,1,35,0,4,70,3,33,4,41,4,31,2,7
9,2007-10-01,2,2,0,78,38,43,37,20,0,39,11,1,36,0,4,67,3,33,3,45,6,31,4,7
10,2007-11-01,2,1,0,79,29,45,32,27,0,41,10,1,35,0,4,69,3,36,4,41,5,34,3,7
11,2007-12-01,2,2,0,79,40,45,25,19,0,43,9,1,33,0,4,71,3,45,2,39,4,31,4,7
12,2008-01-01,2,2,0,86,37,49,31,19,0,79,10,1,35,0,5,70,3,34,4,48,5,30,2,14
13,2008-02-01,2,2,0,83,30,51,35,25,0,90,11,1,34,0,5,74,3,33,3,43,3,32,4,10
14,2008-03-01,2,2,0,85,31,48,40,24,0,76,11,1,39,0,5,75,4,32,2,44,6,29,3,10
15,2008-04-01,2,2,0,85,39,57,33,20,0,89,11,1,36,0,5,77,4,29,4,49,6,30,3,8
16,2008-05-01,2,2,0,85,34,50,33,21,0,60,9,1,35,0,4,82,5,32,2,44,4,30,3,7
17,2008-06-01,2,2,0,85,38,57,33,25,0,46,9,1,38,0,6,88,5,29,3,49,5,27,3,7
18,2008-07-01,2,2,0,90,36,49,35,21,0,49,10,1,36,0,7,81,4,30,3,48,5,27,2,7
19,2008-08-01,2,3,0,82,33,51,32,20,0,43,9,1,36,0,6,72,3,30,3,45,6,25,3,4
20,2008-09-01,2,2,0,78,30,66,33,28,0,38,11,1,38,0,7,66,3,29,3,45,5,30,2,6
21,2008-10-01,2,2,0,76,36,69,37,32,1,47,12,1,39,0,9,65,4,33,4,45,4,31,2,9
22,2008-11-01,2,3,0,75,34,87,34,29,1,37,12,1,40,0,10,65,4,33,4,45,3,34,4,6
23,2008-12-01,2,3,0,80,37,85,39,37,1,41,11,1,40,0,11,73,3,40,3,46,3,30,3,8
24,2009-01-01,2,5,0,85,38,94,36,32,2,77,13,1,40,0,14,69,4,32,4,48,4,29,3,8
25,2009-02-01,2,3,0,83,40,85,42,42,2,100,14,1,42,0,14,69,4,32,4,46,3,33,3,7
26,2009-03-01,2,3,0,85,35,89,38,36,1,86,14,1,43,0,14,70,4,30,3,45,4,32,4,7
27,2009-04-01,2,2,0,81,35,88,44,39,1,84,13,1,44,0,13,73,5,30,3,46,5,32,4,8
28,2009-05-01,2,4,0,83,33,90,34,34,0,42,12,1,43,0,13,76,3,33,4,45,4,31,2,6
29,2009-06-01,2,3,0,87,42,100,35,40,0,44,12,1,43,0,13,80,5,30,3,48,4,26,3,6
30,2009-07-01,2,2,0,85,31,88,36,32,1,48,13,1,44,0,12,81,4,31,4,49,3,27,2,5
31,2009-08-01,2,2,0,84,40,80,39,30,0,50,12,1,45,0,12,76,4,30,4,49,4,26,3,5
32,2009-09-01,2,2,0,77,30,76,39,31,0,41,13,1,48,0,12,67,3,31,3,46,5,30,3,5
33,2009-10-01,2,2,0,80,36,84,37,30,0,43,15,1,50,0,12,65,4,32,4,48,5,31,3,5
34,2009-11-01,2,2,0,83,36,75,35,36,0,41,15,1,50,0,13,67,4,37,3,49,4,36,3,5
35,2009-12-01,2,2,0,78,38,68,35,36,0,43,13,1,48,0,11,72,4,46,3,51,4,31,3,6
36,2010-01-01,2,3,0,87,42,73,39,40,0,79,15,1,50,0,13,69,4,38,4,54,4,29,3,5
37,2010-02-01,2,3,0,82,43,74,39,35,0,88,16,1,49,0,12,69,4,35,4,53,4,30,4,5
38,2010-03-01,2,3,0,85,38,72,42,36,0,80,16,2,53,0,13,71,4,34,3,52,4,32,4,5
39,2010-04-01,2,2,0,86,31,75,41,39,0,84,16,2,53,0,12,72,5,36,4,50,5,35,3,7
40,2010-05-01,2,2,0,86,32,67,30,36,0,44,14,1,52,0,11,75,4,39,3,55,4,29,3,5
41,2010-06-01,2,2,0,88,36,70,36,37,0,45,15,1,52,0,15,78,5,38,4,51,6,29,3,6
42,2010-07-01,2,2,0,84,31,64,35,35,0,44,15,1,52,0,18,76,5,36,4,54,5,30,3,6
43,2010-08-01,2,2,0,81,38,71,33,35,0,45,13,1,50,0,12,73,5,34,3,50,5,29,3,6
44,2010-09-01,2,2,1,76,34,61,34,39,0,36,13,1,53,0,11,68,5,39,4,51,6,31,4,5
45,2010-10-01,2,2,0,74,36,61,33,56,0,36,14,1,54,0,12,66,5,43,4,52,4,34,4,5
46,2010-11-01,2,2,0,76,31,60,37,44,0,37,15,2,55,0,11,66,5,45,3,55,5,35,5,6
47,2010-12-01,2,3,0,77,37,54,29,40,0,45,14,1,53,0,15,69,5,57,3,53,4,32,5,5
48,2011-01-01,2,4,0,86,35,63,29,55,0,75,15,1,52,0,13,69,6,43,4,55,4,31,4,5
49,2011-02-01,2,3,1,81,33,61,35,41,0,87,15,1,54,0,11,72,5,44,4,49,5,32,4,6
50,2011-03-01,2,2,0,80,31,57,35,62,0,70,14,1,55,0,9,71,6,42,3,50,5,35,4,5
51,2011-04-01,2,2,0,79,29,60,35,45,0,76,15,1,57,0,11,70,5,49,3,48,6,36,4,5
52,2011-05-01,2,2,0,83,29,58,30,54,0,39,14,1,54,0,11,75,5,50,4,49,5,32,3,4
53,2011-06-01,2,2,0,82,32,62,29,36,0,37,15,1,56,0,11,79,5,49,4,51,5,32,2,5
54,2011-07-01,2,2,0,85,35,55,28,54,0,43,16,1,57,0,10,78,5,41,4,52,6,32,3,5
55,2011-08-01,2,2,0,81,31,53,30,35,0,42,15,1,55,0,11,74,5,41,3,50,5,32,3,5
56,2011-09-01,3,2,0,78,32,55,30,42,0,34,15,2,58,0,10,69,5,46,4,52,5,37,3,6
57,2011-10-01,3,2,0,75,30,56,28,40,0,34,14,1,58,0,10,70,5,56,4,51,5,37,3,6
58,2011-11-01,3,2,0,78,31,56,26,54,0,33,14,1,61,0,10,67,6,59,3,52,5,37,3,5
59,2011-12-01,2,2,0,77,30,50,27,51,0,38,13,1,67,0,10,70,4,70,3,52,6,36,3,4
60,2012-01-01,3,2,0,81,32,60,28,39,0,71,16,1,63,0,12,69,6,54,4,50,6,42,3,5
61,2012-02-01,3,2,0,77,32,56,30,43,0,76,16,1,65,0,10,73,5,58,4,52,5,46,4,6
62,2012-03-01,3,2,0,76,32,50,28,47,0,58,15,1,62,0,9,72,5,55,3,50,6,51,3,6
63,2012-04-01,3,2,0,78,33,54,33,48,0,68,16,1,65,0,10,72,5,59,4,51,5,63,4,6
64,2012-05-01,2,2,0,80,30,51,29,45,0,34,15,1,60,0,10,79,6,67,3,49,6,64,3,5
65,2012-06-01,3,2,0,79,31,52,28,55,0,34,14,1,66,0,9,79,5,61,3,52,6,56,2,5
66,2012-07-01,3,2,0,83,34,56,27,46,0,39,14,1,64,0,11,82,5,60,3,51,7,55,3,6
67,2012-08-01,3,6,0,77,33,53,28,43,0,41,14,1,58,0,10,73,5,55,3,49,7,51,3,5
68,2012-09-01,3,2,0,75,30,51,30,41,0,33,15,1,61,0,11,72,6,57,4,50,7,54,3,6
69,2012-10-01,3,2,0,72,29,52,29,46,0,37,15,1,64,0,11,66,6,63,3,49,7,49,3,5
70,2012-11-01,3,2,0,77,32,49,29,64,0,36,15,2,68,0,10,65,6,69,3,52,6,50,3,6
71,2012-12-01,3,2,0,78,34,40,27,53,0,38,14,1,64,0,12,67,4,81,3,50,7,48,3,4
72,2013-01-01,3,3,0,86,34,46,31,54,0,70,16,1,63,0,12,68,5,65,4,53,6,51,3,5
73,2013-02-01,3,3,0,81,32,47,33,39,0,85,17,1,62,0,10,71,6,67,3,53,6,55,3,6
