,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,3,1,1,62,47,22,43,20,1,75,15,2,37,0,5,76,2,35,0,23,14,56,19,9
1,2007-02-01,3,2,1,72,31,22,18,22,1,83,16,3,29,0,3,76,0,25,0,23,14,40,5,8
2,2007-03-01,2,2,0,69,40,35,31,11,0,67,16,0,40,0,3,77,2,38,0,34,6,43,5,16
3,2007-04-01,1,2,0,73,45,28,26,24,1,72,16,1,37,0,4,77,2,35,0,34,10,24,8,5
4,2007-05-01,3,1,0,72,55,39,32,11,0,24,14,1,41,0,4,85,2,27,0,38,9,40,9,5
5,2007-06-01,2,2,1,75,25,18,37,29,0,33,13,1,36,0,2,89,2,27,0,26,12,30,0,11
6,2007-07-01,1,2,1,80,44,36,24,13,0,24,8,2,35,0,6,85,0,28,0,38,5,35,5,24
7,2007-08-01,2,1,0,69,23,16,27,27,0,24,10,2,41,0,2,80,7,27,0,32,5,17,5,8
8,2007-09-01,3,2,1,72,22,22,25,29,0,23,13,3,37,0,2,75,2,24,0,40,10,43,6,14
9,2007-10-01,2,1,1,66,34,28,25,15,0,32,13,0,40,0,5,69,3,36,0,32,9,26,10,13
10,2007-11-01,3,1,1,72,38,35,29,26,0,33,18,1,44,0,4,84,2,30,0,35,9,47,4,8
11,2007-12-01,2,1,1,73,24,21,28,17,0,33,15,2,46,0,4,82,9,32,0,39,14,34,4,9
12,2008-01-01,2,2,1,74,38,29,38,18,1,71,14,1,45,0,4,85,4,28,0,32,9,41,5,18
13,2008-02-01,2,2,1,75,30,33,8,15,1,100,15,2,39,0,4,85,6,23,0,34,11,40,3,13
14,2008-03-01,3,1,0,79,36,42,36,14,0,71,18,1,48,0,4,81,2,35,0,44,11,64,9,13
15,2008-04-01,1,2,0,75,14,50,22,11,1,86,14,1,40,0,2,88,6,30,0,33,10,36,4,12
16,2008-05-01,2,1,0,78,30,37,15,25,0,63,15,2,39,0,3,94,5,27,0,29,7,52,5,5
17,2008-06-01,2,2,0,77,25,48,29,28,0,38,13,3,35,0,3,93,2,24,0,35,7,26,4,10
18,2008-07-01,2,2,0,83,41,41,17,14,0,32,12,1,38,0,6,88,6,23,0,29,4,38,11,4
19,2008-08-01,1,2,0,73,34,20,20,16,0,38,9,2,43,0,6,82,3,23,0,37,11,32,4,6
20,2008-09-01,3,1,1,65,35,40,43,23,0,31,14,1,38,0,3,74,3,24,0,28,9,25,6,6
21,2008-10-01,2,2,1,68,29,36,29,21,1,38,16,1,48,0,6,69,1,27,0,39,5,55,8,14
22,2008-11-01,2,2,0,71,20,60,28,26,2,32,16,2,53,0,6,77,2,27,0,35,8,33,3,7
23,2008-12-01,2,3,1,69,38,64,30,25,1,34,13,1,46,0,8,82,3,28,0,41,7,36,3,11
24,2009-01-01,1,2,1,75,16,58,26,29,1,81,14,2,50,0,10,83,3,26,0,36,4,40,6,13
25,2009-02-01,1,2,1,74,29,50,24,27,1,92,14,2,48,0,9,81,5,26,0,35,5,31,3,7
26,2009-03-01,2,3,0,76,22,46,19,27,1,63,15,1,51,0,8,79,2,30,0,28,3,30,4,7
27,2009-04-01,3,2,1,78,30,70,22,30,0,72,17,1,52,0,9,88,3,25,0,28,4,44,5,9
28,2009-05-01,2,5,0,79,55,47,28,28,1,42,13,4,48,0,8,89,3,27,0,35,5,39,8,11
29,2009-06-01,2,3,0,84,15,52,25,42,0,35,15,1,49,0,7,90,2,24,0,34,4,25,3,12
30,2009-07-01,2,2,0,89,22,64,52,29,1,39,17,3,48,0,10,96,2,15,0,36,4,28,5,9
31,2009-08-01,2,2,0,91,40,59,28,34,1,37,13,2,52,0,7,92,2,21,0,40,10,38,10,4
32,2009-09-01,2,2,0,81,11,42,18,29,1,37,24,1,54,0,9,81,1,30,0,28,4,27,3,7
33,2009-10-01,2,2,1,79,24,53,26,31,1,36,20,2,62,0,8,74,3,32,0,40,14,40,6,7
34,2009-11-01,2,1,0,82,34,57,31,23,1,39,21,2,59,0,8,84,4,41,0,55,9,41,5,7
35,2009-12-01,2,1,0,79,18,49,23,23,1,36,25,2,56,0,9,87,3,47,0,45,3,42,6,9
36,2010-01-01,2,2,1,87,48,31,36,22,0,76,22,2,59,0,12,84,4,32,0,41,4,37,10,6
37,2010-02-01,3,2,0,78,34,61,29,27,0,90,19,1,59,0,12,79,1,32,0,33,3,39,5,12
38,2010-03-01,3,2,1,78,22,29,13,40,1,67,21,2,65,0,10,77,4,37,0,39,8,34,7,5
39,2010-04-01,2,2,0,80,49,49,26,16,1,74,24,2,65,0,10,86,4,35,0,44,4,46,5,8
40,2010-05-01,2,2,0,83,26,75,23,34,1,39,20,2,59,0,6,79,5,21,0,40,6,36,4,7
41,2010-06-01,2,3,1,92,26,41,21,29,1,38,15,2,58,0,10,88,1,35,0,45,7,32,4,7
42,2010-07-01,2,1,0,86,23,73,23,29,0,33,17,2,54,0,12,80,3,24,0,46,5,35,5,9
43,2010-08-01,2,2,0,79,45,59,34,27,0,37,16,1,49,0,8,78,5,40,0,48,3,27,3,7
44,2010-09-01,2,2,1,83,34,43,32,25,1,38,13,1,60,0,8,78,5,29,0,42,7,56,7,11
45,2010-10-01,3,2,1,81,29,42,31,26,0,36,23,2,64,0,8,73,7,46,0,42,4,47,12,9
46,2010-11-01,2,2,0,75,25,34,38,100,0,36,22,3,63,0,10,76,3,38,0,46,8,47,3,7
47,2010-12-01,2,2,0,79,30,46,32,30,1,44,21,2,66,0,9,81,3,47,0,44,4,37,2,6
48,2011-01-01,3,2,0,84,28,33,11,38,1,80,19,1,68,0,11,84,3,34,0,47,6,33,6,6
49,2011-02-01,3,2,0,84,24,46,22,32,0,94,16,1,63,0,9,83,3,45,0,37,6,37,3,8
50,2011-03-01,2,2,0,86,23,44,19,26,0,69,19,2,66,0,6,83,5,41,0,35,8,37,4,8
51,2011-04-01,2,2,0,81,28,38,31,31,0,76,20,2,72,0,8,85,5,54,0,43,3,44,4,8
52,2011-05-01,1,1,1,82,28,30,20,43,0,33,17,1,64,0,7,83,3,46,0,46,9,35,4,6
53,2011-06-01,2,2,0,84,18,48,29,26,0,26,16,1,64,0,7,84,4,41,0,40,4,32,3,6
54,2011-07-01,2,2,0,82,30,46,20,38,1,33,21,2,68,0,8,85,5,44,0,42,8,32,5,6
55,2011-08-01,2,1,0,88,32,41,24,31,0,32,20,2,63,0,7,86,4,44,0,36,4,31,4,4
56,2011-09-01,2,2,1,80,23,34,26,28,0,31,19,2,66,0,5,81,7,42,0,39,5,46,2,7
57,2011-10-01,2,1,0,79,26,38,23,25,0,32,21,1,70,0,7,77,3,58,0,51,7,43,5,9
58,2011-11-01,3,1,0,80,26,46,21,36,0,29,22,2,72,0,7,82,3,55,0,44,10,37,4,8
59,2011-12-01,2,2,0,83,35,32,13,23,0,33,20,2,69,0,7,76,3,65,0,44,6,32,2,3
60,2012-01-01,2,2,1,83,25,35,27,26,0,71,22,1,71,0,9,82,4,54,0,46,8,36,4,6
61,2012-02-01,3,2,0,82,24,35,30,25,0,87,18,1,73,0,7,87,4,64,0,38,6,34,6,10
62,2012-03-01,3,2,0,84,28,39,26,31,0,63,23,2,65,0,7,82,2,62,0,44,7,43,3,7
63,2012-04-01,2,2,0,87,23,46,19,35,0,63,22,2,76,0,6,80,3,73,0,45,5,46,7,8
64,2012-05-01,2,1,0,86,34,35,22,38,0,32,20,2,70,0,6,83,5,72,0,34,6,46,4,4
65,2012-06-01,2,2,0,88,23,39,14,34,1,32,18,1,70,0,4,87,7,58,0,38,6,48,4,5
66,2012-07-01,3,1,0,89,28,29,12,30,0,31,17,1,68,0,6,89,5,65,0,42,4,41,2,6
67,2012-08-01,3,4,0,86,31,47,17,31,0,30,17,1,66,0,6,84,3,63,0,41,11,37,6,5
