,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,88,33,23,33,14,0,63,11,1,31,0,3,61,2,29,2,36,7,36,3,6
1,2007-02-01,2,3,1,84,25,40,27,12,0,83,11,1,33,0,3,64,3,32,2,37,8,37,3,4
2,2007-03-01,2,3,0,88,18,41,23,11,0,56,10,1,32,0,3,69,3,30,1,33,5,33,5,4
3,2007-04-01,3,2,1,88,20,44,33,11,0,59,13,1,34,0,2,70,3,36,4,39,5,38,4,6
4,2007-05-01,1,2,0,90,30,35,27,8,0,27,10,0,35,0,2,75,3,34,2,38,4,35,3,5
5,2007-06-01,2,2,0,94,34,44,15,10,0,27,8,1,34,0,3,76,2,29,2,46,7,27,4,5
6,2007-07-01,2,1,0,85,32,49,19,12,0,29,9,1,31,0,2,79,2,32,2,48,6,26,3,9
7,2007-08-01,2,2,0,88,26,42,20,11,0,26,8,1,32,0,3,72,3,27,3,35,8,26,3,4
8,2007-09-01,3,1,0,87,30,51,29,16,0,23,11,1,37,0,3,60,2,27,2,48,7,30,4,7
9,2007-10-01,2,2,0,78,22,40,30,74,0,24,11,1,37,0,2,61,3,37,4,40,5,40,3,8
10,2007-11-01,2,1,0,83,27,41,20,47,1,26,12,1,40,0,3,63,2,24,2,40,6,33,3,7
11,2007-12-01,2,3,0,83,27,32,25,16,0,29,11,1,36,0,3,65,2,37,2,34,5,26,1,7
12,2008-01-01,3,2,0,92,28,59,25,14,0,71,11,1,38,0,5,70,2,34,3,41,4,29,2,12
13,2008-02-01,3,3,0,90,27,37,25,18,0,84,15,1,38,0,3,71,3,26,1,41,5,33,3,10
14,2008-03-01,2,2,0,88,28,37,32,15,0,64,13,1,36,0,3,76,3,26,1,36,4,33,2,13
15,2008-04-01,3,3,0,93,27,65,25,18,1,74,13,1,38,0,4,71,4,29,2,46,5,30,3,9
16,2008-05-01,2,2,0,89,21,46,22,17,1,50,11,1,38,0,4,78,4,30,1,43,4,39,5,7
17,2008-06-01,2,2,0,90,23,47,19,10,0,33,8,1,36,0,5,78,3,28,2,40,3,28,2,5
18,2008-07-01,1,2,0,95,32,62,22,17,0,30,9,1,38,0,5,83,3,27,1,45,4,26,2,9
19,2008-08-01,2,3,0,85,28,44,22,20,0,25,9,1,39,0,4,72,3,23,2,43,7,35,2,8
20,2008-09-01,2,2,0,86,27,49,36,24,0,24,11,1,41,0,4,61,2,26,2,42,7,32,3,9
21,2008-10-01,2,2,0,83,29,58,28,12,1,35,12,1,39,0,6,58,2,29,2,40,5,31,1,10
22,2008-11-01,2,4,1,78,29,67,30,19,1,30,13,1,43,0,7,65,4,28,1,47,5,37,2,9
23,2008-12-01,2,3,0,88,30,69,27,17,1,30,11,1,41,0,8,70,2,37,2,40,4,26,3,7
24,2009-01-01,1,3,1,88,27,65,39,20,1,73,14,1,46,0,11,68,3,34,1,40,4,36,3,6
25,2009-02-01,2,3,0,84,30,63,31,23,1,100,14,1,42,0,9,71,3,33,3,34,7,39,3,10
26,2009-03-01,2,3,0,85,30,73,29,28,1,70,15,1,39,0,10,70,2,31,3,40,6,34,3,10
27,2009-04-01,3,2,0,85,28,52,29,32,1,62,14,1,47,0,9,70,3,31,3,43,3,38,3,9
28,2009-05-01,2,6,0,89,29,87,25,27,0,30,13,1,44,0,8,74,2,31,3,46,3,37,6,5
29,2009-06-01,2,3,0,91,25,72,33,41,1,30,14,1,45,0,8,84,3,30,3,44,4,25,3,7
30,2009-07-01,2,2,0,90,27,75,31,32,0,34,14,0,42,0,11,85,3,28,2,43,3,27,3,6
31,2009-08-01,2,2,1,91,29,78,28,32,1,33,15,1,46,0,9,77,3,26,1,37,4,34,4,6
32,2009-09-01,2,2,0,87,24,77,23,35,0,29,15,1,46,0,10,66,4,34,3,43,5,35,2,5
33,2009-10-01,2,2,0,83,27,57,30,27,1,31,16,1,47,0,10,63,4,29,2,44,5,34,3,6
34,2009-11-01,2,2,1,84,26,69,34,30,0,32,21,1,48,0,12,64,3,40,2,48,6,40,4,4
35,2009-12-01,2,5,0,86,36,66,28,32,0,36,15,1,49,0,11,64,3,44,2,44,4,35,2,6
36,2010-01-01,2,3,0,92,25,62,27,39,0,70,17,1,50,0,13,72,5,31,2,46,5,36,3,5
37,2010-02-01,2,3,1,89,35,65,39,30,0,81,18,1,47,0,12,69,3,37,3,48,4,33,4,7
38,2010-03-01,2,3,0,85,28,66,28,24,0,58,19,1,54,0,11,78,3,32,2,45,2,40,5,10
39,2010-04-01,2,2,0,88,30,57,27,23,0,65,18,1,54,0,13,72,3,37,2,44,6,39,4,6
40,2010-05-01,2,2,0,90,24,73,33,26,0,31,15,1,54,0,11,77,5,41,2,44,4,32,4,5
41,2010-06-01,2,3,1,92,29,73,36,30,0,31,16,1,49,0,13,73,4,32,2,42,5,29,3,5
42,2010-07-01,2,3,0,91,34,67,39,31,0,31,16,1,49,0,16,82,3,40,2,48,5,28,3,7
43,2010-08-01,3,2,1,88,33,64,25,20,0,31,16,1,48,0,12,76,3,39,2,46,5,31,4,4
44,2010-09-01,2,2,0,82,20,68,29,22,0,29,15,1,51,0,11,65,5,40,2,42,5,34,3,4
45,2010-10-01,3,2,1,79,20,46,31,39,0,31,19,1,52,0,10,68,3,42,3,42,5,47,4,9
46,2010-11-01,2,2,1,78,21,58,31,61,1,32,17,2,56,0,10,65,4,41,3,51,6,37,5,6
47,2010-12-01,2,2,0,79,26,51,31,24,0,42,16,1,53,0,12,66,4,56,3,46,4,38,4,6
48,2011-01-01,2,6,1,88,29,51,24,41,0,65,15,1,54,0,14,66,4,38,2,47,5,32,3,5
49,2011-02-01,2,5,0,83,27,53,26,39,0,76,16,1,53,0,11,72,4,43,2,43,5,41,5,4
50,2011-03-01,2,2,0,84,24,53,33,44,0,54,14,1,55,0,10,68,5,39,3,43,5,36,5,5
51,2011-04-01,2,2,0,86,26,54,30,27,0,59,15,1,59,0,9,65,4,48,2,44,5,37,5,7
52,2011-05-01,2,2,0,91,24,51,21,40,0,25,15,1,55,0,10,71,4,52,2,46,7,35,2,5
53,2011-06-01,2,4,0,91,27,56,19,23,0,27,14,1,58,0,11,77,3,41,2,47,3,34,2,4
54,2011-07-01,2,4,0,91,27,61,23,24,0,27,16,1,54,0,12,76,3,45,2,44,4,32,3,7
55,2011-08-01,2,2,0,80,26,48,17,22,0,25,14,1,52,0,10,70,4,42,3,46,4,33,3,5
56,2011-09-01,3,3,0,79,22,47,24,26,0,24,14,1,54,0,9,65,4,48,2,43,6,38,2,5
57,2011-10-01,3,2,1,80,21,50,22,31,0,27,16,2,60,0,9,65,5,57,2,48,5,33,4,7
58,2011-11-01,3,2,0,83,25,49,20,60,0,25,15,1,61,0,10,63,5,66,2,47,6,33,2,4
59,2011-12-01,2,3,0,77,18,41,19,40,0,23,12,1,61,0,11,64,4,68,1,44,5,31,3,4
60,2012-01-01,3,3,0,84,19,50,18,33,0,54,14,1,61,0,13,68,3,51,2,42,6,35,3,4
61,2012-02-01,3,3,0,80,19,46,21,35,0,63,16,1,61,0,11,69,4,55,2,47,7,34,4,5
62,2012-03-01,3,2,0,83,23,46,16,39,0,38,14,1,59,0,10,70,3,55,2,44,6,38,3,5
63,2012-04-01,3,3,0,86,24,41,19,29,0,48,16,1,64,0,9,68,4,62,2,45,8,48,6,6
64,2012-05-01,2,2,0,88,24,44,27,33,0,24,16,1,62,0,9,78,5,77,2,44,7,52,3,6
65,2012-06-01,3,2,0,91,31,55,22,33,0,23,14,1,62,0,9,75,3,66,2,45,4,46,1,7
66,2012-07-01,3,2,0,94,25,45,30,19,0,26,14,1,64,0,10,78,3,70,3,49,7,39,2,7
67,2012-08-01,3,5,0,88,24,41,23,26,0,29,14,1,60,0,8,69,4,61,3,48,6,39,2,5
68,2012-09-01,3,2,1,83,26,45,23,29,0,25,15,1,61,0,9,66,4,67,2,45,6,44,4,7
69,2012-10-01,3,2,0,85,26,50,27,30,0,29,15,2,62,0,10,61,4,70,3,44,6,41,4,7
70,2012-11-01,3,3,0,86,24,43,27,39,0,30,17,1,65,0,10,61,4,73,3,45,9,38,3,8
71,2012-12-01,3,4,0,83,22,34,20,87,0,33,12,1,58,0,10,64,4,81,3,45,7,40,3,5
72,2013-01-01,3,3,0,90,29,48,23,66,0,69,19,1,63,0,11,64,4,66,3,48,5,35,3,5
73,2013-02-01,3,5,1,87,22,38,26,47,0,80,17,1,63,0,8,67,5,73,2,45,7,37,3,7
74,2013-03-01,3,3,0,87,25,36,18,41,0,49,16,1,65,0,9,70,3,67,2,45,6,40,3,5
75,2013-04-01,3,3,0,92,29,30,18,44,0,50,16,1,64,0,9,67,5,68,2,44,7,41,5,7
76,2013-05-01,3,2,0,94,23,32,23,34,0,24,15,1,61,0,8,71,4,78,2,43,8,41,4,6
77,2013-06-01,3,2,0,99,22,31,17,50,0,22,15,1,60,0,9,76,3,63,2,45,6,32,2,8
78,2013-07-01,3,2,0,98,20,32,18,30,0,23,16,1,57,0,8,81,4,65,2,46,5,36,3,7
79,2013-08-01,3,2,0,86,28,28,20,26,0,22,14,1,61,0,8,77,3,58,3,44,7,39,3,6
80,2013-09-01,3,3,0,83,33,26,16,51,0,21,15,1,60,0,7,73,4,60,2,46,7,37,3,6
81,2013-10-01,3,2,0,83,27,31,25,49,0,23,17,1,59,0,8,68,4,68,2,43,7,48,4,6
82,2013-11-01,3,2,0,86,28,23,19,64,0,22,17,1,65,0,8,67,5,77,3,48,6,42,4,5
83,2013-12-01,3,3,0,86,29,23,19,48,0,28,15,1,65,0,10,74,4,81,2,46,7,40,2,5
84,2014-01-01,3,5,0,96,31,27,26,36,0,53,19,1,67,0,11,70,5,75,3,45,8,37,4,8
85,2014-02-01,3,6,0,90,22,27,28,34,0,70,19,1,64,0,8,71,5,80,2,48,6,42,4,8
86,2014-03-01,3,3,0,91,23,25,27,31,0,46,16,1,63,0,8,71,4,84,2,45,7,45,5,8
87,2014-04-01,3,3,0,88,28,32,26,38,0,47,18,1,65,0,8,70,5,95,2,48,7,44,5,7
88,2014-05-01,3,3,0,96,19,25,22,30,0,23,16,1,63,0,7,77,4,92,2,49,7,68,3,4
89,2014-06-01,3,2,0,96,26,27,21,27,0,21,14,1,61,0,6,81,3,76,2,44,7,48,2,4
90,2014-07-01,3,2,0,98,26,27,22,28,0,24,15,1,62,0,7,87,5,72,3,45,7,37,3,4
91,2014-08-01,3,2,0,87,23,28,22,34,0,20,15,1,62,0,6,78,4,72,2,46,7,42,4,5
92,2014-09-01,3,2,1,84,23,27,20,28,0,21,15,1,63,0,6,70,4,78,2,47,7,40,3,5
93,2014-10-01,4,2,1,80,23,30,24,27,0,22,16,1,64,0,6,67,5,84,2,44,7,43,2,6
94,2014-11-01,3,2,0,84,26,31,19,96,0,21,15,2,62,0,6,70,5,86,2,45,6,44,3,6
95,2014-12-01,3,3,0,84,29,23,24,62,0,28,16,1,62,0,8,68,4,88,2,45,6,42,3,6
96,2015-01-01,4,5,1,89,21,36,19,36,0,56,19,1,66,0,8,75,4,83,2,48,8,45,4,6
97,2015-02-01,4,5,0,87,26,29,22,31,0,70,18,1,62,0,7,77,4,81,2,59,7,40,5,7
98,2015-03-01,4,3,1,92,24,26,24,31,0,47,18,1,63,0,7,79,5,80,2,51,6,40,4,8
99,2015-04-01,3,3,0,94,27,25,20,33,0,45,18,1,70,0,6,76,5,83,2,51,8,54,5,6
100,2015-05-01,4,3,0,94,26,28,19,24,0,22,15,1,62,0,6,77,3,94,1,46,7,53,3,6
101,2015-06-01,4,3,0,96,22,34,18,22,0,23,16,1,63,0,7,84,3,81,2,45,8,40,2,7
102,2015-07-01,4,2,0,97,24,30,20,28,0,23,16,1,61,0,6,86,4,77,3,47,7,48,3,7
103,2015-08-01,4,2,0,89,22,28,23,32,0,22,16,1,63,0,4,82,3,79,2,44,8,47,4,6
104,2015-09-01,4,3,0,83,24,28,22,29,0,22,16,1,61,0,4,75,5,91,2,45,8,59,4,7
105,2015-10-01,4,2,0,83,19,26,26,39,0,23,16,1,62,0,4,72,4,90,2,44,7,100,4,8
106,2015-11-01,4,4,0,86,20,23,18,30,0,22,17,1,66,0,5,70,4,94,2,44,7,45,3,8
