,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,1,77,54,45,54,20,0,68,13,2,35,0,6,66,3,43,3,48,12,34,6,12
1,2007-02-01,1,2,1,66,30,49,33,39,1,82,13,2,35,0,6,73,2,34,3,48,7,36,6,9
2,2007-03-01,2,2,0,71,30,45,21,28,0,66,13,1,40,0,4,79,0,34,4,45,11,34,7,5
3,2007-04-01,2,4,0,73,28,34,32,34,0,77,11,1,38,0,5,71,3,44,2,41,11,37,5,7
4,2007-05-01,2,2,0,73,48,46,35,50,1,36,11,2,38,0,4,77,3,40,2,58,9,41,5,6
5,2007-06-01,3,1,0,77,41,56,34,29,1,40,11,1,39,0,4,84,4,28,2,53,10,30,3,6
6,2007-07-01,2,1,0,79,48,42,40,31,0,32,10,1,39,0,6,80,3,30,2,48,7,23,3,4
7,2007-08-01,2,2,0,78,34,40,34,17,0,34,8,1,35,0,5,84,3,34,2,54,11,27,2,9
8,2007-09-01,2,1,0,74,21,35,48,37,1,29,11,1,43,0,6,77,4,30,1,48,9,24,5,9
9,2007-10-01,2,2,0,72,31,44,27,26,0,33,11,2,38,0,7,63,2,37,2,43,6,36,4,8
10,2007-11-01,2,2,0,74,43,46,30,33,2,36,14,2,46,0,6,69,2,32,4,50,8,38,5,6
11,2007-12-01,1,3,0,73,46,48,33,44,1,39,8,1,45,0,8,69,3,45,2,47,4,39,3,3
12,2008-01-01,2,2,0,77,43,57,52,36,1,75,12,1,43,0,9,74,2,35,4,38,7,31,5,12
13,2008-02-01,2,3,0,73,42,62,44,20,1,91,13,2,42,0,7,80,4,35,3,42,3,25,7,13
14,2008-03-01,3,1,0,73,41,51,38,22,1,74,15,1,44,0,7,71,3,37,4,41,9,32,4,11
15,2008-04-01,2,1,0,75,27,51,31,17,1,82,14,1,40,0,7,77,6,29,1,50,8,35,4,9
16,2008-05-01,2,2,0,80,44,61,23,61,0,56,14,1,43,0,7,86,5,38,2,44,9,35,6,10
17,2008-06-01,2,2,0,79,31,31,46,15,1,36,11,1,42,0,7,81,3,38,4,56,11,31,3,6
18,2008-07-01,2,2,0,84,34,56,32,38,0,37,11,1,40,0,10,85,5,27,3,48,5,34,4,5
19,2008-08-01,2,2,0,78,42,60,34,34,0,37,11,1,39,0,8,76,3,24,2,51,7,36,4,6
20,2008-09-01,2,2,0,71,48,54,32,46,0,36,16,2,45,0,8,70,4,35,2,51,9,35,2,5
21,2008-10-01,2,1,0,71,44,75,43,34,1,41,17,2,47,0,9,64,2,34,2,50,7,41,3,7
22,2008-11-01,2,3,0,67,54,91,35,44,1,38,20,1,45,0,13,66,4,40,2,49,4,38,3,7
23,2008-12-01,2,4,1,80,50,63,36,36,2,34,15,2,49,0,15,69,3,44,2,52,6,29,4,8
24,2009-01-01,3,3,0,77,42,92,39,42,2,75,17,1,45,0,21,71,3,39,3,52,5,37,6,7
25,2009-02-01,2,3,0,74,51,80,55,46,2,100,20,2,48,0,20,74,4,33,1,46,4,33,4,8
26,2009-03-01,2,2,0,78,22,95,49,49,2,77,18,2,52,0,22,76,4,36,2,52,9,31,2,7
27,2009-04-01,2,2,0,78,32,69,32,54,1,83,17,2,47,0,19,71,4,31,4,50,8,35,5,10
28,2009-05-01,2,4,0,76,41,93,33,39,1,36,18,2,47,0,19,78,4,31,3,59,8,36,3,7
29,2009-06-01,2,3,0,77,38,94,45,49,1,42,15,1,49,0,19,81,4,30,2,53,4,22,4,9
30,2009-07-01,2,2,0,79,50,89,42,42,1,45,17,1,50,0,23,85,4,26,2,51,5,33,3,6
31,2009-08-01,2,2,0,81,39,100,30,45,1,40,17,1,48,0,24,82,4,29,2,53,3,32,2,5
32,2009-09-01,3,2,0,76,35,82,54,41,1,40,16,1,52,0,22,75,4,38,2,49,5,24,5,6
33,2009-10-01,2,2,1,74,54,81,50,39,1,41,22,2,54,0,20,74,5,38,3,55,4,38,5,5
34,2009-11-01,2,2,0,79,39,81,42,43,1,43,20,2,60,0,22,69,4,42,3,53,6,36,3,7
35,2009-12-01,3,3,1,74,34,56,31,45,1,43,18,1,56,0,23,71,4,54,3,60,7,35,2,5
36,2010-01-01,2,2,0,78,60,58,57,41,1,79,18,1,54,0,27,65,5,37,2,65,5,35,5,6
37,2010-02-01,3,3,0,75,44,75,48,37,0,92,21,2,53,0,26,71,4,36,2,58,7,30,3,9
38,2010-03-01,3,3,0,79,41,94,37,54,1,74,21,1,58,0,24,72,4,38,3,55,9,38,3,7
39,2010-04-01,2,2,0,79,35,75,44,41,1,80,19,2,61,0,22,72,4,41,2,55,6,32,5,10
40,2010-05-01,2,2,0,81,44,69,37,49,0,39,18,2,58,0,20,77,4,49,2,56,8,39,4,4
41,2010-06-01,2,2,0,81,39,79,39,48,0,39,19,1,57,0,21,77,4,44,2,57,10,34,5,4
42,2010-07-01,2,2,0,82,29,86,26,37,1,38,19,1,57,0,25,84,3,39,3,57,7,32,2,5
43,2010-08-01,2,2,0,75,55,72,39,54,0,36,15,1,57,0,18,78,5,40,2,59,9,34,4,8
44,2010-09-01,3,1,0,72,34,87,45,43,1,35,17,2,63,0,18,77,3,38,3,52,4,36,3,6
45,2010-10-01,3,2,0,71,40,63,45,52,0,39,17,2,60,0,13,70,4,41,3,61,8,43,4,6
46,2010-11-01,3,2,1,72,43,43,33,46,0,35,20,2,61,0,18,69,5,48,3,59,7,42,7,7
47,2010-12-01,2,2,1,71,41,41,41,40,1,46,16,2,62,0,22,68,4,60,2,54,7,42,6,8
48,2011-01-01,3,4,0,84,40,75,41,57,1,77,20,1,62,0,23,73,6,47,3,59,5,37,5,8
49,2011-02-01,2,3,0,81,34,71,36,43,1,92,19,2,62,0,17,76,4,44,3,61,7,36,4,7
50,2011-03-01,2,2,0,81,46,63,35,69,0,77,18,2,63,0,16,76,4,48,2,57,6,41,7,5
51,2011-04-01,3,2,0,79,38,53,41,68,1,84,20,2,69,0,15,74,5,54,3,59,6,38,5,5
52,2011-05-01,2,2,0,81,38,68,33,62,0,36,17,2,63,0,15,78,5,51,4,60,6,42,3,7
53,2011-06-01,2,2,0,80,39,61,37,41,0,34,19,1,63,0,15,83,3,52,2,58,7,36,3,5
54,2011-07-01,3,3,0,83,45,64,36,35,1,35,21,1,67,0,15,84,3,44,2,60,7,31,2,7
55,2011-08-01,2,2,0,81,51,56,26,42,1,37,21,1,62,0,16,82,4,44,2,52,7,35,5,6
56,2011-09-01,3,3,0,81,49,51,29,53,0,32,20,2,65,0,14,79,5,50,3,61,6,39,4,4
57,2011-10-01,3,4,0,76,43,51,33,43,0,36,19,2,65,0,13,75,5,59,3,58,6,35,4,6
58,2011-11-01,3,3,0,80,38,46,29,54,0,36,17,2,70,0,15,71,5,68,3,62,7,36,3,5
59,2011-12-01,3,3,0,79,51,57,28,47,0,42,19,2,76,0,18,71,5,79,3,59,8,36,4,7
60,2012-01-01,3,3,0,76,39,73,32,52,0,74,21,2,68,0,18,73,4,66,4,57,7,34,4,4
61,2012-02-01,3,2,0,76,38,66,26,53,0,82,22,2,72,0,15,77,5,66,3,60,6,43,3,7
62,2012-03-01,3,2,0,80,50,55,32,44,0,61,23,2,71,0,14,75,4,63,2,57,6,47,5,8
63,2012-04-01,3,3,0,80,45,63,33,51,0,73,21,2,71,0,13,76,4,68,3,57,6,44,9,6
64,2012-05-01,3,2,0,80,45,46,31,58,0,38,22,2,69,0,12,79,5,72,2,61,7,46,5,8
65,2012-06-01,2,2,0,82,45,47,33,61,0,34,19,1,77,0,12,80,6,76,2,55,6,46,3,7
66,2012-07-01,3,2,0,83,51,48,31,43,0,34,19,1,73,0,13,82,5,75,2,56,6,39,3,7
67,2012-08-01,3,6,0,81,51,49,28,43,0,38,19,1,67,0,13,79,4,63,2,55,6,37,2,5
68,2012-09-01,3,2,1,79,44,45,19,43,0,38,18,1,69,0,12,76,4,62,2,52,9,35,4,6
69,2012-10-01,3,4,0,74,51,43,28,52,1,42,20,2,70,0,14,69,8,66,3,55,6,36,4,6
70,2012-11-01,3,3,0,85,43,47,30,52,1,43,19,2,77,0,13,70,4,71,3,59,8,39,4,7
71,2012-12-01,3,2,0,79,36,49,30,62,0,41,20,1,68,0,13,69,4,83,3,55,8,34,4,5
72,2013-01-01,3,2,0,82,42,42,33,59,1,83,24,1,67,0,18,77,5,71,3,56,8,40,4,7
73,2013-02-01,3,3,1,77,55,47,35,54,1,83,22,2,69,0,14,77,6,72,3,55,5,45,4,7
74,2013-03-01,3,6,0,78,49,49,33,53,1,71,24,2,70,0,13,78,6,70,3,58,7,37,4,6
75,2013-04-01,3,2,0,83,35,37,36,63,0,74,23,2,65,0,13,78,4,68,2,52,8,41,4,6
76,2013-05-01,3,2,0,93,39,35,33,44,0,41,20,2,66,0,11,79,5,70,1,56,7,45,3,8
77,2013-06-01,3,2,0,89,42,37,27,63,0,36,21,2,67,0,11,79,5,71,2,57,7,36,3,7
78,2013-07-01,3,2,0,95,44,43,24,52,0,35,18,2,66,0,14,83,4,64,2,56,7,39,2,7
79,2013-08-01,3,3,0,89,48,29,32,47,0,37,20,2,71,0,10,85,4,62,3,52,6,38,3,7
80,2013-09-01,4,2,0,84,43,30,29,55,0,34,18,2,69,0,10,77,4,58,2,52,10,39,2,8
81,2013-10-01,3,2,0,77,51,32,34,64,0,38,23,2,70,0,11,77,5,64,2,53,8,46,4,8
82,2013-11-01,3,2,0,85,54,31,27,56,0,37,23,3,76,0,10,79,4,75,2,56,8,36,3,7
83,2013-12-01,3,3,0,80,40,28,38,59,0,39,21,2,76,0,14,82,3,85,2,57,6,42,4,6
84,2014-01-01,3,5,0,82,48,32,40,48,0,65,24,1,75,0,16,80,4,72,3,59,9,44,4,5
85,2014-02-01,3,6,0,78,44,32,37,54,0,83,26,2,76,0,13,79,5,78,3,58,8,43,3,6
86,2014-03-01,4,3,0,84,43,35,31,55,0,69,26,3,72,0,13,81,5,88,2,57,7,47,4,7
87,2014-04-01,4,2,0,84,48,34,35,52,0,70,22,3,73,0,12,80,5,87,3,57,8,54,6,8
88,2014-05-01,3,2,0,86,49,31,32,52,0,39,20,2,67,0,10,79,5,87,3,57,8,59,4,7
89,2014-06-01,3,2,0,90,41,30,36,51,0,37,20,1,66,0,9,84,4,79,2,52,8,46,2,7
90,2014-07-01,4,2,0,90,49,23,32,69,0,36,22,1,67,0,9,89,3,66,2,55,6,37,2,5
91,2014-08-01,3,2,0,90,54,34,27,47,1,37,18,1,67,0,9,87,5,65,3,54,7,38,3,6
92,2014-09-01,4,2,0,88,42,35,38,39,0,37,20,2,64,0,7,81,6,65,3,56,8,42,5,5
93,2014-10-01,4,2,0,81,47,38,33,43,0,41,21,2,70,0,7,74,6,74,2,55,7,43,5,5
94,2014-11-01,3,2,0,86,41,34,28,47,0,41,23,2,65,0,7,77,4,86,2,56,10,42,5,6
95,2014-12-01,4,3,0,84,46,36,32,41,0,45,22,2,68,0,8,75,4,98,2,54,8,41,2,7
