,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,80,41,38,36,17,0,58,11,1,35,0,7,77,0,33,2,31,6,34,5,7
1,2007-02-01,2,6,0,76,33,51,33,20,0,75,12,1,36,0,6,77,0,31,2,29,4,34,5,7
2,2007-03-01,2,3,0,77,31,58,32,20,0,71,13,1,37,0,5,79,0,29,2,33,5,31,3,7
3,2007-04-01,2,3,0,84,31,34,29,31,0,87,12,1,39,0,6,80,0,34,2,36,4,34,3,7
4,2007-05-01,2,2,0,83,32,42,32,22,0,36,12,1,38,0,6,82,0,30,2,41,4,31,3,7
5,2007-06-01,2,2,0,80,28,42,31,20,0,34,12,1,38,0,6,87,0,29,2,42,4,34,3,7
6,2007-07-01,2,2,0,85,38,33,30,19,0,37,11,1,38,0,6,87,0,29,2,39,4,34,1,7
7,2007-08-01,2,2,0,83,38,40,30,15,0,36,11,1,39,0,6,85,0,28,2,37,4,32,2,7
8,2007-09-01,2,2,0,80,32,36,33,22,0,32,12,1,41,0,6,78,0,26,2,31,4,31,5,8
9,2007-10-01,2,2,0,75,33,41,31,19,1,35,12,1,40,0,6,74,0,33,2,35,5,35,3,8
10,2007-11-01,2,2,0,78,35,37,34,23,0,33,13,1,42,0,6,74,0,32,2,34,4,32,3,6
11,2007-12-01,2,3,0,74,36,35,27,18,0,35,11,1,42,0,6,76,0,42,2,32,5,32,3,7
12,2008-01-01,2,3,0,86,35,48,33,23,1,66,13,1,42,0,8,77,0,32,2,35,4,34,3,11
13,2008-02-01,2,4,0,79,28,49,31,18,1,82,14,1,43,0,7,79,0,28,2,35,4,34,4,10
14,2008-03-01,2,2,0,83,30,46,32,20,1,76,14,1,44,0,7,83,0,27,2,35,4,33,3,9
15,2008-04-01,2,2,0,83,29,55,37,21,1,91,15,1,42,0,7,82,0,27,2,37,4,33,3,9
16,2008-05-01,2,2,0,83,30,58,30,26,0,51,12,1,42,0,6,87,0,30,2,34,4,34,3,8
17,2008-06-01,2,2,0,83,32,48,33,23,1,40,12,1,42,0,8,90,0,28,2,38,4,35,3,6
18,2008-07-01,2,3,0,84,29,52,31,19,0,38,12,1,43,0,10,88,0,24,2,39,4,32,2,7
19,2008-08-01,2,4,0,81,27,55,31,19,0,34,12,1,43,0,9,82,0,25,2,39,6,32,3,6
20,2008-09-01,2,3,0,78,29,83,35,24,1,36,14,1,42,0,11,74,0,25,2,38,5,30,3,7
21,2008-10-01,2,3,0,76,31,67,37,23,1,44,15,1,45,0,13,70,0,30,2,37,3,31,3,9
22,2008-11-01,2,4,0,78,33,80,35,28,2,36,16,1,45,0,17,71,0,29,2,35,4,35,5,6
23,2008-12-01,2,4,0,79,35,69,33,28,2,37,14,1,48,0,18,76,0,38,2,36,4,35,4,9
24,2009-01-01,2,6,0,84,35,77,36,31,2,66,17,1,46,0,21,79,0,31,2,37,4,35,4,7
25,2009-02-01,2,4,0,83,32,94,44,46,2,100,18,1,50,0,21,78,0,28,2,38,3,35,4,7
26,2009-03-01,2,5,0,82,30,77,46,39,1,84,18,1,50,0,20,80,0,28,2,38,3,35,4,9
27,2009-04-01,2,3,0,84,30,80,38,32,1,87,17,1,52,0,18,83,0,28,2,39,3,32,4,7
28,2009-05-01,2,5,0,83,31,83,36,27,1,42,18,1,49,0,18,83,0,29,3,37,4,34,4,7
29,2009-06-01,2,3,0,83,29,100,38,36,1,42,17,1,51,0,19,88,0,27,2,40,4,33,3,7
30,2009-07-01,2,2,0,87,31,81,38,33,1,43,18,1,52,0,20,92,0,28,2,40,4,31,2,7
31,2009-08-01,2,2,0,84,33,73,42,27,0,42,17,1,53,0,20,93,0,29,3,40,4,29,2,5
32,2009-09-01,3,3,0,81,32,71,41,30,0,41,19,1,54,0,21,79,0,30,3,38,4,33,3,5
33,2009-10-01,2,3,1,80,34,78,38,32,0,43,21,2,56,0,23,74,0,32,3,40,5,33,4,6
34,2009-11-01,2,2,0,84,36,77,35,38,0,42,21,1,58,0,23,74,0,35,2,44,4,35,3,5
35,2009-12-01,2,3,0,79,37,65,36,32,0,42,19,1,56,0,22,76,0,43,2,45,4,31,3,6
36,2010-01-01,2,3,0,86,34,73,40,36,0,76,21,1,56,0,23,78,0,34,3,45,4,36,3,6
37,2010-02-01,2,7,0,85,32,77,39,34,0,89,21,1,55,0,22,79,0,33,3,42,4,32,4,6
38,2010-03-01,2,3,0,86,32,83,35,33,0,84,24,2,57,0,24,83,0,31,3,42,4,33,4,6
39,2010-04-01,2,2,0,90,27,77,40,33,0,91,23,2,59,0,22,82,0,33,3,41,4,33,4,7
40,2010-05-01,2,2,0,90,29,68,34,34,0,44,21,1,57,0,20,84,0,35,3,43,4,33,4,6
41,2010-06-01,2,2,0,88,29,88,38,42,0,45,21,1,57,0,26,86,0,32,3,43,5,33,3,6
42,2010-07-01,2,2,0,84,31,69,34,30,0,43,21,1,58,0,30,88,0,32,3,41,4,34,2,6
43,2010-08-01,3,2,0,83,37,75,30,37,0,41,19,1,57,0,20,84,0,33,3,42,4,31,2,7
44,2010-09-01,3,3,0,79,28,73,33,34,0,40,18,1,57,0,18,78,0,34,3,40,4,31,4,7
45,2010-10-01,2,3,0,77,28,63,31,52,0,40,20,1,61,0,17,76,0,37,3,45,5,40,5,7
46,2010-11-01,2,2,0,80,28,56,35,47,0,38,21,2,61,0,19,72,0,39,3,45,4,36,4,7
47,2010-12-01,2,3,0,79,31,55,32,37,0,46,20,2,61,0,24,75,0,53,2,43,4,37,4,7
48,2011-01-01,2,7,0,86,32,60,34,46,0,61,21,1,66,0,23,75,0,42,3,45,5,38,4,4
49,2011-02-01,2,4,0,81,28,64,34,36,0,81,22,1,65,0,20,81,0,44,2,43,5,37,4,6
50,2011-03-01,3,3,0,79,31,60,40,46,0,72,22,1,69,0,19,78,0,39,2,44,5,40,4,6
51,2011-04-01,3,3,0,82,32,60,34,43,0,81,22,2,71,0,18,78,0,46,2,45,5,42,4,6
52,2011-05-01,3,2,0,84,34,55,28,50,0,37,20,2,67,0,18,78,0,47,2,46,5,40,4,5
53,2011-06-01,3,2,0,81,33,57,33,34,0,35,22,2,68,0,18,84,0,46,2,44,5,39,3,5
54,2011-07-01,3,3,0,85,31,56,31,39,0,38,24,1,68,0,19,85,0,40,2,46,5,36,2,5
55,2011-08-01,3,4,0,87,30,50,30,33,0,35,23,1,68,0,20,82,0,39,2,44,6,36,3,5
56,2011-09-01,3,3,1,84,32,58,30,45,0,33,21,2,66,0,19,76,0,43,2,44,5,40,4,5
57,2011-10-01,3,3,1,78,28,55,31,38,0,37,21,2,69,0,18,76,0,50,2,44,5,41,4,6
58,2011-11-01,3,2,1,81,29,57,32,49,0,33,20,2,72,0,18,73,0,54,2,45,6,38,4,5
59,2011-12-01,3,3,0,79,32,47,30,40,0,36,20,2,78,0,19,75,0,75,2,45,6,37,5,5
60,2012-01-01,3,3,0,83,30,60,29,41,0,62,23,1,75,0,22,77,0,57,2,45,6,41,4,6
61,2012-02-01,3,3,1,81,33,55,35,39,0,75,23,2,75,0,19,77,0,56,2,44,5,42,4,6
62,2012-03-01,3,3,0,80,31,54,33,42,0,66,23,2,73,0,22,79,0,56,2,44,6,48,5,6
63,2012-04-01,3,3,0,82,29,53,33,47,0,73,22,2,74,0,18,79,0,62,2,43,5,48,5,6
64,2012-05-01,3,3,1,84,33,51,33,42,0,36,22,1,70,0,17,87,0,64,2,43,5,48,4,6
65,2012-06-01,3,3,0,82,33,50,29,47,0,34,21,1,75,0,18,85,0,63,2,44,5,48,3,5
66,2012-07-01,3,3,0,85,33,54,29,42,0,38,21,1,76,0,20,85,0,61,3,45,7,42,3,5
67,2012-08-01,3,8,0,81,34,50,28,35,0,37,20,1,71,0,17,82,0,54,3,44,6,40,3,5
68,2012-09-01,3,3,1,78,35,45,29,35,0,36,20,1,71,0,18,74,0,56,3,43,6,42,4,5
69,2012-10-01,3,5,1,80,32,49,31,40,0,38,21,2,71,0,18,71,0,58,3,39,7,41,4,6
70,2012-11-01,3,4,0,89,29,46,31,45,0,36,20,2,72,0,25,71,0,64,2,42,7,42,4,5
71,2012-12-01,3,2,0,80,31,36,28,55,0,35,19,1,70,0,19,70,0,70,2,42,6,41,4,5
72,2013-01-01,3,3,0,86,32,45,30,50,0,64,24,1,73,0,21,75,0,59,2,43,6,44,4,5
73,2013-02-01,3,3,0,81,32,50,34,40,0,82,24,1,72,0,17,75,0,62,2,42,6,47,4,6
74,2013-03-01,3,3,0,82,33,41,32,40,0,71,24,1,76,0,16,79,0,64,2,42,6,46,4,6
