,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,1,84,34,38,36,18,0,62,11,1,27,0,5,66,1,26,1,27,13,36,2,6
1,2007-02-01,1,2,0,82,33,52,35,14,0,75,12,0,30,0,4,66,2,24,3,27,4,39,5,4
2,2007-03-01,2,2,0,80,45,32,39,32,0,58,10,1,29,0,4,71,2,22,3,34,5,38,2,7
3,2007-04-01,2,1,1,82,39,39,47,47,0,90,11,1,29,0,2,68,2,25,1,33,9,41,3,8
4,2007-05-01,2,1,0,83,41,41,22,12,0,31,9,1,24,0,2,75,3,30,2,32,8,44,4,3
5,2007-06-01,2,2,0,79,46,48,37,18,0,28,11,1,28,0,4,76,1,25,2,29,7,34,4,9
6,2007-07-01,2,1,0,87,25,36,55,28,0,29,8,1,30,0,5,75,2,26,1,36,10,41,3,12
7,2007-08-01,2,1,0,86,48,58,32,18,1,34,9,1,28,0,3,76,2,24,2,32,13,41,2,8
8,2007-09-01,2,2,0,78,43,51,35,12,1,28,9,1,33,0,4,67,3,24,1,35,10,38,3,8
9,2007-10-01,3,1,0,76,42,42,40,22,0,29,11,1,29,0,4,66,1,27,3,34,7,32,3,10
10,2007-11-01,2,1,0,77,26,45,34,22,0,26,13,1,29,0,2,65,2,27,1,28,5,45,3,7
11,2007-12-01,1,1,0,78,49,37,37,16,0,33,8,1,28,0,4,69,2,30,2,24,5,46,6,6
12,2008-01-01,2,2,0,85,34,45,32,14,0,66,10,1,32,0,4,67,2,26,2,30,6,33,6,10
13,2008-02-01,2,2,0,79,22,35,41,15,0,89,11,1,31,0,5,70,2,25,1,31,5,37,3,13
14,2008-03-01,2,1,0,82,34,64,31,20,0,74,11,2,34,0,4,78,3,21,1,24,4,34,2,11
15,2008-04-01,3,2,0,84,43,57,47,21,0,96,14,1,32,0,3,70,2,23,1,29,5,41,5,9
16,2008-05-01,1,1,0,86,34,60,41,20,1,54,11,2,31,0,4,76,2,25,2,34,6,44,6,10
17,2008-06-01,2,2,0,87,35,47,45,22,0,38,8,1,32,0,4,81,3,23,2,36,7,37,2,10
18,2008-07-01,2,2,1,90,46,46,33,22,0,38,11,1,33,0,6,77,2,20,1,29,7,33,4,6
19,2008-08-01,2,3,0,85,36,38,45,11,0,31,9,1,35,0,6,67,3,18,1,35,7,35,5,11
20,2008-09-01,3,2,0,76,27,48,34,14,0,33,10,1,33,0,6,64,3,19,2,31,6,34,3,9
21,2008-10-01,2,2,0,78,41,68,49,27,1,43,12,2,36,0,7,64,2,22,1,33,2,35,5,14
22,2008-11-01,2,2,0,80,54,75,32,24,1,34,15,1,37,0,10,56,3,27,1,29,4,42,2,9
23,2008-12-01,2,2,0,75,48,70,36,26,1,34,11,1,37,0,11,66,2,29,2,28,3,36,2,14
24,2009-01-01,1,2,0,84,35,82,23,24,1,74,13,1,37,0,13,62,3,24,1,30,5,36,3,13
25,2009-02-01,2,2,0,79,17,71,37,32,1,100,13,2,36,0,12,66,2,25,2,36,6,42,4,5
26,2009-03-01,1,2,1,83,30,78,46,27,1,75,15,2,37,0,14,70,3,19,2,31,3,42,3,12
27,2009-04-01,3,2,1,81,24,63,39,34,1,85,15,1,45,0,12,71,3,27,1,32,6,42,3,12
28,2009-05-01,2,4,0,83,22,75,39,22,1,32,12,1,39,0,12,78,1,25,1,33,6,28,2,9
29,2009-06-01,3,2,0,88,25,81,35,30,1,34,15,1,42,0,13,78,3,26,1,32,5,32,4,4
30,2009-07-01,2,2,0,88,45,100,52,36,1,38,16,1,38,0,16,82,3,23,1,32,5,34,2,9
31,2009-08-01,2,2,0,83,35,66,34,27,1,36,16,2,45,0,15,79,3,21,2,33,8,40,2,6
32,2009-09-01,2,2,0,82,44,66,43,25,0,34,17,1,43,0,15,64,1,31,4,33,4,28,5,2
33,2009-10-01,2,2,0,86,42,50,42,22,0,34,16,1,42,0,16,63,3,25,2,31,5,36,3,7
34,2009-11-01,2,1,0,83,44,65,52,34,1,36,17,2,45,0,15,65,3,26,2,37,8,41,5,6
35,2009-12-01,2,3,0,81,39,49,33,29,0,38,15,1,43,0,15,59,1,32,2,35,5,40,5,7
36,2010-01-01,2,1,1,97,47,72,31,25,0,74,17,1,43,0,16,65,3,24,1,37,4,48,6,4
37,2010-02-01,2,3,1,97,45,67,46,13,1,93,16,1,44,0,13,69,4,27,2,33,6,33,4,9
38,2010-03-01,2,2,0,82,48,81,46,16,1,67,19,1,44,0,15,68,3,28,1,38,3,40,6,8
