,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,97,22,33,21,12,0,63,9,1,25,0,7,66,2,30,2,30,2,35,4,7
1,2007-02-01,2,2,0,87,17,28,18,12,0,88,11,1,25,0,6,68,1,27,3,24,6,31,4,6
2,2007-03-01,2,2,0,94,18,34,15,12,1,63,12,1,26,0,7,76,2,28,3,29,5,36,2,8
3,2007-04-01,2,2,0,91,17,32,16,16,0,84,12,1,27,0,7,74,1,35,2,28,6,32,2,8
4,2007-05-01,2,1,0,92,16,39,13,9,0,33,12,1,26,0,6,79,2,28,2,29,4,35,5,7
5,2007-06-01,2,2,0,95,16,26,23,12,0,33,11,1,28,0,7,84,2,27,2,28,3,31,5,7
6,2007-07-01,2,2,0,99,18,36,9,6,0,30,10,1,29,0,6,81,3,29,2,31,9,31,3,9
7,2007-08-01,2,1,1,96,16,42,18,9,1,33,11,1,27,0,7,74,2,28,3,23,3,30,3,4
8,2007-09-01,2,2,0,88,14,51,18,18,0,32,10,1,27,0,7,72,2,27,2,30,4,29,2,10
9,2007-10-01,1,1,0,93,15,49,14,18,0,34,14,1,29,0,7,71,2,30,2,27,4,34,2,6
10,2007-11-01,2,1,0,91,16,42,15,13,0,30,12,1,30,0,8,68,2,32,3,30,3,35,3,6
11,2007-12-01,2,2,1,85,24,34,14,11,0,36,10,1,29,0,8,68,2,38,1,28,6,34,6,7
12,2008-01-01,2,2,0,93,20,47,20,9,0,73,12,1,30,0,10,73,3,29,3,27,2,32,4,12
13,2008-02-01,2,2,1,90,22,50,19,15,0,90,12,1,30,0,10,72,2,26,2,30,4,33,4,10
14,2008-03-01,1,2,1,97,16,58,15,8,0,69,11,2,30,0,8,78,3,25,4,27,3,33,3,13
15,2008-04-01,2,2,0,97,15,62,26,8,1,82,14,1,31,0,10,79,3,27,2,32,4,31,3,11
16,2008-05-01,2,2,0,97,14,53,16,15,0,56,12,1,30,0,8,81,3,27,4,29,5,33,3,7
17,2008-06-01,2,2,0,94,17,54,17,11,0,37,11,1,32,0,10,89,2,24,3,34,7,35,2,6
18,2008-07-01,2,3,0,95,18,62,17,10,1,34,11,1,32,0,11,80,2,24,1,32,3,36,4,7
19,2008-08-01,2,4,0,88,14,54,19,15,1,31,13,1,32,0,13,72,2,26,3,33,4,34,2,6
20,2008-09-01,2,3,1,85,14,66,14,10,0,34,15,1,32,0,14,70,2,25,2,33,4,34,4,7
21,2008-10-01,2,3,0,87,14,65,16,11,1,42,16,1,33,0,17,61,2,25,1,34,3,35,3,9
22,2008-11-01,2,4,1,85,18,63,15,17,2,31,14,1,35,0,23,66,2,27,2,28,2,42,4,7
23,2008-12-01,1,4,0,88,16,66,22,16,1,34,12,1,34,0,27,68,1,31,2,30,3,40,2,11
24,2009-01-01,2,5,1,100,19,74,24,13,1,76,17,1,35,0,28,66,2,27,3,32,4,36,4,7
25,2009-02-01,2,3,1,96,23,86,19,27,1,100,17,1,37,0,27,71,3,29,3,32,4,35,2,10
26,2009-03-01,2,3,0,100,21,83,21,19,1,71,16,1,37,0,26,74,2,26,2,36,3,35,4,7
27,2009-04-01,2,3,0,95,16,90,23,19,1,76,16,1,41,0,27,79,2,27,3,36,5,38,3,7
28,2009-05-01,2,5,0,96,21,75,15,14,0,36,17,1,37,0,25,80,3,29,2,33,3,35,6,8
29,2009-06-01,2,4,0,97,20,100,19,18,1,40,16,1,37,0,27,81,2,26,3,38,5,30,3,7
30,2009-07-01,3,3,1,97,22,96,22,20,0,41,17,1,40,0,27,84,2,26,3,34,4,31,2,7
31,2009-08-01,2,3,1,97,21,85,21,12,0,38,16,1,41,0,29,83,2,28,3,35,5,39,5,7
32,2009-09-01,3,2,1,94,17,78,17,18,0,40,20,1,42,0,28,76,3,28,2,31,3,38,3,6
33,2009-10-01,2,2,1,92,21,72,24,15,0,42,19,2,42,0,28,67,2,23,2,35,4,37,4,5
34,2009-11-01,2,2,0,93,17,70,19,22,0,39,20,1,43,0,33,67,2,33,3,39,3,46,3,6
