,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,74,34,46,52,20,0,61,12,1,34,0,9,67,2,35,2,33,5,34,3,6
1,2007-02-01,2,4,0,72,31,40,46,17,0,81,11,1,33,0,8,66,2,34,2,31,5,33,3,6
2,2007-03-01,2,2,0,72,31,42,48,23,0,75,12,1,33,0,8,67,2,32,2,33,5,32,3,7
3,2007-04-01,2,2,0,75,33,41,45,28,0,89,12,1,36,0,8,73,2,37,2,40,5,32,3,7
4,2007-05-01,2,2,0,76,29,38,40,23,0,37,12,1,33,0,7,73,2,33,2,42,5,32,3,7
5,2007-06-01,2,2,0,76,29,42,43,20,0,35,11,1,34,0,7,78,2,32,2,41,5,29,2,7
6,2007-07-01,2,2,0,79,31,43,44,18,0,34,12,1,34,0,8,79,2,31,2,39,4,31,2,6
7,2007-08-01,2,2,0,76,32,44,41,15,0,34,11,1,34,0,8,75,2,31,2,35,4,29,1,6
8,2007-09-01,2,2,0,70,30,40,41,20,0,34,12,1,39,0,7,66,2,31,2,34,4,30,3,8
9,2007-10-01,2,2,0,69,32,45,45,18,0,35,13,1,38,0,7,62,2,32,2,35,4,33,2,7
10,2007-11-01,2,2,0,70,32,46,41,22,0,32,13,1,38,0,8,63,2,35,2,34,4,33,2,7
11,2007-12-01,2,3,0,69,31,36,41,19,0,35,12,1,37,0,9,64,2,45,2,33,4,32,3,7
12,2008-01-01,2,3,0,75,34,48,45,21,1,64,14,1,38,0,9,67,2,36,2,36,5,32,3,10
13,2008-02-01,2,3,0,71,29,48,37,19,0,80,13,1,38,0,9,65,3,34,2,34,4,32,3,8
14,2008-03-01,2,2,1,73,30,46,44,19,0,81,13,1,40,0,9,71,2,32,2,35,4,31,3,9
15,2008-04-01,2,2,0,73,31,55,46,23,1,92,14,1,39,0,9,70,2,31,2,37,4,32,3,8
16,2008-05-01,2,2,0,72,28,52,41,20,0,52,13,1,39,0,8,77,3,32,2,37,4,33,3,7
17,2008-06-01,2,2,0,76,31,44,38,23,0,42,13,1,39,0,10,79,3,30,2,38,4,33,2,6
18,2008-07-01,2,3,0,77,28,52,39,22,0,36,13,1,40,0,11,80,3,30,2,40,4,30,2,6
19,2008-08-01,2,4,0,74,31,50,36,19,0,33,12,1,40,0,12,75,3,29,2,39,5,27,2,5
20,2008-09-01,2,3,0,73,32,82,47,23,1,35,15,1,40,0,12,62,3,31,2,40,5,31,3,7
21,2008-10-01,2,3,0,69,31,69,48,24,1,42,17,1,40,0,14,60,3,35,2,39,4,32,3,9
22,2008-11-01,2,4,0,70,29,73,40,26,1,34,17,1,43,0,17,61,3,35,1,38,3,34,3,7
23,2008-12-01,2,4,0,72,30,77,41,26,1,37,16,1,43,0,20,65,3,43,2,37,4,32,3,8
24,2009-01-01,2,5,0,74,34,81,42,28,2,63,19,1,43,0,24,64,3,37,2,37,4,32,3,7
25,2009-02-01,2,4,0,75,33,93,45,43,2,100,21,1,45,0,26,66,4,34,2,38,4,33,3,8
26,2009-03-01,2,4,0,74,31,84,45,35,1,93,20,1,46,0,26,69,3,32,2,39,4,33,3,7
27,2009-04-01,2,3,0,76,29,87,48,30,1,88,20,2,48,0,23,73,3,34,2,39,3,33,3,8
28,2009-05-01,3,5,0,75,32,91,42,28,1,41,19,1,46,0,23,73,3,32,2,40,3,34,3,6
29,2009-06-01,2,3,0,76,35,100,46,32,1,41,20,1,46,0,24,76,3,32,2,40,4,30,2,6
30,2009-07-01,2,2,0,78,33,93,49,26,1,41,20,1,48,0,26,84,3,32,2,42,4,30,2,6
31,2009-08-01,2,3,0,78,37,77,42,26,0,40,22,1,49,0,27,82,3,32,2,41,3,29,2,6
32,2009-09-01,2,3,1,74,35,76,47,28,0,41,20,2,49,0,25,66,3,32,2,41,4,31,3,5
33,2009-10-01,2,2,1,74,36,78,48,32,0,41,24,2,52,0,29,62,3,36,2,41,4,33,3,6
