,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,80,26,38,42,14,0,68,10,1,31,0,8,68,2,28,3,38,6,35,3,6
1,2007-02-01,2,9,0,78,26,42,40,11,0,80,9,1,32,0,7,71,3,35,2,37,5,38,4,5
2,2007-03-01,2,2,0,78,21,44,37,12,0,64,10,1,34,0,6,72,2,29,2,40,6,32,3,6
3,2007-04-01,2,2,0,79,24,43,32,17,0,84,10,1,35,0,7,72,3,34,3,42,5,33,3,7
4,2007-05-01,2,2,0,79,25,45,40,19,0,33,10,1,34,0,5,79,2,31,2,42,6,33,3,6
5,2007-06-01,2,2,0,82,24,48,36,13,0,30,9,1,33,0,5,81,2,29,2,45,5,27,2,6
6,2007-07-01,2,2,0,84,23,50,44,14,0,32,10,1,35,0,7,80,3,28,2,42,7,25,3,6
7,2007-08-01,2,2,0,82,26,50,42,11,0,29,10,1,35,0,6,75,2,29,3,41,6,25,3,6
8,2007-09-01,2,2,0,78,19,42,35,15,0,27,9,1,36,0,6,70,3,27,3,41,5,31,3,8
9,2007-10-01,2,1,0,74,21,42,32,13,0,29,12,1,37,0,6,64,2,31,2,43,6,28,2,6
10,2007-11-01,2,1,0,74,24,42,35,18,0,28,12,1,36,0,6,66,3,34,2,38,5,33,3,6
11,2007-12-01,2,3,0,76,26,39,34,15,0,31,9,1,36,0,8,68,2,39,2,39,5,31,2,4
12,2008-01-01,2,2,0,82,24,43,39,15,0,77,11,1,39,0,10,71,3,32,2,40,6,33,3,11
13,2008-02-01,2,6,0,79,21,48,34,17,0,91,11,1,37,0,9,71,3,33,3,41,5,35,3,8
14,2008-03-01,2,3,0,81,23,43,36,16,0,73,11,1,39,0,8,76,2,29,2,40,5,30,3,9
15,2008-04-01,2,2,0,81,20,48,36,15,0,92,13,1,37,0,8,78,3,29,2,45,5,35,3,10
16,2008-05-01,2,2,0,81,22,52,30,16,0,50,10,1,39,0,7,83,4,30,2,42,4,32,3,6
17,2008-06-01,2,2,0,82,23,57,35,12,0,34,9,1,39,0,9,86,3,27,2,45,4,31,1,7
