,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,4,0,85,43,65,26,20,0,76,9,1,27,0,5,66,2,30,3,30,6,38,3,7
1,2007-02-01,2,2,0,85,41,57,40,16,0,85,8,1,28,0,4,76,2,32,1,33,7,40,7,10
2,2007-03-01,2,2,0,87,38,57,27,20,0,64,10,1,29,0,3,76,2,28,2,38,6,38,9,7
3,2007-04-01,2,2,0,82,33,47,35,18,0,80,9,0,33,0,4,74,3,34,2,39,5,37,8,6
4,2007-05-01,2,2,0,89,34,61,44,25,0,36,9,1,31,0,5,78,2,33,4,40,7,33,8,6
5,2007-06-01,1,1,0,87,47,72,32,20,0,34,8,0,28,0,4,82,3,31,2,35,5,23,5,8
6,2007-07-01,2,2,0,92,39,65,33,19,0,36,9,1,29,0,4,84,2,28,3,39,7,27,3,7
7,2007-08-01,2,2,0,87,42,67,34,14,0,39,9,0,34,0,4,84,2,33,2,43,6,31,5,9
8,2007-09-01,2,2,0,77,37,55,33,20,0,30,9,1,33,0,4,70,3,29,4,42,5,36,5,9
9,2007-10-01,2,2,0,79,41,62,32,18,0,35,10,0,31,0,5,71,4,33,1,40,6,40,4,7
10,2007-11-01,1,2,0,78,35,57,37,25,0,31,10,1,36,0,4,67,4,35,2,36,4,35,5,6
11,2007-12-01,1,6,0,79,32,28,26,20,0,33,7,1,29,0,5,68,1,43,2,33,3,27,3,5
12,2008-01-01,2,2,0,87,37,59,34,15,0,81,10,1,35,0,5,74,3,33,3,39,4,40,5,10
13,2008-02-01,2,2,0,83,27,66,38,15,0,97,11,1,33,0,4,74,3,31,2,40,7,34,5,12
14,2008-03-01,2,2,0,83,28,62,30,13,0,73,11,1,36,0,5,80,3,25,2,40,5,37,5,11
15,2008-04-01,2,1,0,84,29,69,36,20,0,90,11,1,35,0,5,78,4,27,3,40,7,33,5,9
16,2008-05-01,1,1,0,84,35,50,29,16,0,55,9,0,34,0,4,85,5,30,2,39,6,35,4,10
17,2008-06-01,1,2,0,92,38,56,33,15,0,38,9,0,33,0,5,88,4,27,3,45,6,35,6,8
18,2008-07-01,2,2,0,89,31,84,40,14,0,39,7,0,36,0,6,83,3,27,2,44,5,28,5,10
19,2008-08-01,2,2,0,85,34,74,43,21,0,35,7,1,34,0,6,77,2,29,2,41,7,33,5,6
20,2008-09-01,2,2,0,80,34,69,28,25,0,32,10,1,37,0,6,68,3,27,3,40,7,32,4,8
21,2008-10-01,2,2,0,76,41,92,43,16,1,41,10,1,36,0,7,64,3,25,2,43,4,35,5,12
22,2008-11-01,2,3,0,77,30,86,41,17,1,34,10,1,41,0,8,68,3,31,1,39,3,28,6,7
23,2008-12-01,2,3,0,81,30,64,35,27,1,35,10,1,39,0,13,72,3,34,2,41,5,34,4,9
24,2009-01-01,2,5,0,92,36,89,39,20,2,73,11,0,39,0,13,73,3,29,3,45,4,34,5,8
25,2009-02-01,2,2,0,90,33,76,38,30,1,100,12,1,39,0,14,75,3,32,2,37,3,33,7,9
26,2009-03-01,2,2,0,90,48,90,46,25,1,71,13,1,38,0,14,74,4,30,2,45,4,26,5,10
27,2009-04-01,2,2,0,82,41,83,44,29,1,82,12,1,46,0,14,76,3,28,4,44,7,33,6,9
28,2009-05-01,2,5,0,86,33,98,50,30,0,35,12,1,42,0,14,77,4,29,3,41,4,32,5,8
29,2009-06-01,2,3,0,93,41,92,45,43,0,36,13,0,41,0,17,88,3,31,3,43,3,30,6,6
30,2009-07-01,2,2,0,95,47,86,37,23,0,39,13,1,46,0,19,89,3,27,3,44,6,31,3,7
31,2009-08-01,2,3,0,87,34,83,49,31,0,41,15,0,44,0,29,81,4,24,4,43,4,29,6,5
32,2009-09-01,2,2,0,82,32,84,37,34,0,39,14,1,46,0,17,78,3,26,3,43,5,35,5,8
33,2009-10-01,2,2,0,84,34,83,41,28,0,40,14,1,47,0,16,68,4,28,2,46,4,35,5,7
34,2009-11-01,2,1,0,81,41,76,36,41,0,40,14,1,49,0,19,68,4,33,3,46,5,36,4,4
35,2009-12-01,2,2,0,83,34,77,44,51,0,42,13,1,49,0,18,73,4,37,3,43,4,33,3,4
36,2010-01-01,2,4,0,94,45,100,47,36,0,77,14,1,47,0,20,73,3,34,3,46,3,31,6,6
37,2010-02-01,2,3,0,90,40,86,37,23,0,89,13,1,47,0,20,78,3,33,3,43,3,38,6,5
38,2010-03-01,2,3,0,89,43,80,38,28,0,67,16,1,51,0,18,75,4,28,4,48,6,32,6,7
39,2010-04-01,2,2,0,87,32,77,38,28,0,76,16,1,53,0,16,74,4,32,4,44,5,35,6,6
40,2010-05-01,2,2,0,91,37,76,33,28,0,34,11,1,50,0,16,81,4,34,2,51,3,32,8,7
41,2010-06-01,2,1,0,93,38,100,49,30,0,36,15,1,48,0,20,86,4,36,2,48,4,29,4,6
42,2010-07-01,2,2,0,88,35,77,25,31,0,39,13,1,51,0,22,83,3,30,3,47,5,35,5,4
43,2010-08-01,2,2,0,84,37,73,35,30,0,37,11,1,49,0,15,80,4,30,3,42,5,33,8,5
44,2010-09-01,2,2,0,79,25,67,29,31,0,30,13,1,50,0,14,75,3,35,2,43,6,33,6,6
45,2010-10-01,2,2,0,79,31,65,46,41,0,35,13,1,52,0,14,70,4,38,3,50,5,38,4,7
46,2010-11-01,2,2,0,82,27,75,32,43,0,32,14,1,52,0,13,66,3,40,2,51,5,38,5,7
47,2010-12-01,2,2,0,80,33,62,39,36,0,41,13,1,50,0,16,69,3,49,2,42,4,32,8,3
48,2011-01-01,2,4,0,92,27,80,36,43,0,68,14,1,54,0,20,71,5,36,3,46,5,35,6,6
49,2011-02-01,2,6,0,87,27,66,33,28,0,79,13,1,54,0,14,72,5,37,3,45,5,37,6,5
50,2011-03-01,2,2,0,88,34,67,33,54,0,60,13,1,56,0,14,75,4,38,3,45,4,34,6,6
51,2011-04-01,3,2,0,84,30,69,35,38,0,71,14,1,59,0,14,73,6,43,3,45,6,41,4,8
52,2011-05-01,2,2,0,89,33,65,35,56,0,30,13,1,52,0,14,73,4,46,3,45,6,33,5,5
53,2011-06-01,2,2,0,92,28,65,33,30,0,33,13,1,54,0,13,82,4,38,3,48,6,32,4,5
54,2011-07-01,2,3,0,92,29,62,34,36,0,36,16,1,56,0,14,82,5,41,3,48,6,34,4,6
55,2011-08-01,3,2,0,84,35,63,39,25,0,35,14,1,52,0,12,74,4,38,3,44,5,33,7,7
56,2011-09-01,2,2,0,82,27,57,53,37,0,33,15,1,53,0,12,71,4,45,3,44,5,36,6,7
57,2011-10-01,2,2,1,81,28,64,39,43,0,35,15,1,56,0,12,69,3,51,3,42,6,37,4,8
58,2011-11-01,3,2,0,78,23,72,42,48,0,27,13,1,58,0,12,66,4,54,3,45,5,34,4,7
59,2011-12-01,3,2,0,81,32,69,31,42,0,31,13,1,65,0,11,66,4,67,2,48,7,34,4,4
60,2012-01-01,3,2,0,90,32,71,36,36,0,67,15,1,62,0,16,71,5,52,3,47,7,36,4,7
61,2012-02-01,3,4,1,84,30,73,35,35,0,74,15,1,62,0,11,73,5,58,3,48,6,41,5,7
62,2012-03-01,3,2,0,87,33,58,37,39,0,49,14,1,64,0,11,76,5,53,3,49,7,44,5,5
63,2012-04-01,3,2,0,83,30,68,36,47,0,61,14,1,65,0,12,73,5,58,2,44,7,48,8,8
64,2012-05-01,3,2,0,88,30,67,32,43,0,29,13,1,61,0,10,81,5,64,3,45,6,49,6,7
65,2012-06-01,3,2,0,91,33,55,34,44,0,29,14,1,63,0,11,80,5,55,3,45,6,47,3,4
66,2012-07-01,3,2,0,91,28,62,38,37,0,36,14,1,60,0,11,81,5,61,3,51,7,41,5,6
67,2012-08-01,3,5,0,83,37,55,33,33,0,34,14,1,61,0,11,79,4,56,2,45,7,39,7,6
68,2012-09-01,3,2,0,79,34,59,26,46,0,30,13,1,62,0,11,73,6,60,3,47,8,44,4,6
69,2012-10-01,3,2,0,78,28,60,36,37,0,31,14,1,65,0,11,68,5,64,3,46,9,40,5,6
70,2012-11-01,3,3,0,80,28,59,34,45,0,31,14,1,71,0,9,64,5,68,3,48,9,40,4,6
71,2012-12-01,3,2,0,81,28,43,28,45,0,30,11,1,63,0,10,67,4,70,2,45,8,40,4,4
72,2013-01-01,3,2,0,92,26,50,38,45,0,67,17,1,66,0,11,68,5,64,3,47,7,44,4,7
73,2013-02-01,3,5,0,82,39,48,40,41,0,77,15,1,63,0,9,69,5,66,3,46,8,44,4,9
74,2013-03-01,3,2,0,87,28,47,35,44,0,52,15,1,65,0,9,75,6,61,2,48,7,45,5,7
75,2013-04-01,3,2,0,86,28,44,33,49,0,55,15,1,63,0,8,72,5,61,2,46,7,46,5,9
76,2013-05-01,3,2,0,91,31,34,29,41,0,27,13,1,61,0,8,75,4,65,2,44,9,45,5,5
77,2013-06-01,3,2,0,98,25,40,29,69,0,24,13,1,61,0,8,84,4,55,3,46,7,37,3,6
78,2013-07-01,3,2,0,97,23,39,33,40,0,29,14,1,61,0,7,82,4,51,3,46,8,44,5,7
79,2013-08-01,3,2,0,89,23,35,24,39,0,27,13,1,64,0,6,82,4,52,2,45,8,39,4,5
80,2013-09-01,3,2,0,84,24,38,29,56,1,22,13,1,64,0,7,73,5,54,3,45,8,42,5,7
81,2013-10-01,3,2,0,79,24,31,25,52,0,23,14,1,64,0,7,72,4,56,2,43,8,51,5,6
82,2013-11-01,3,2,0,83,21,30,23,46,0,21,13,1,66,0,6,73,4,72,2,46,7,45,5,4
83,2013-12-01,3,5,0,85,25,27,25,64,0,24,12,1,67,0,7,78,4,69,2,43,8,44,4,5
84,2014-01-01,3,4,0,92,27,35,30,56,0,51,17,1,70,0,10,77,6,68,3,46,8,44,3,5
85,2014-02-01,3,6,0,87,26,35,30,41,0,75,15,1,69,0,7,81,5,71,2,46,8,43,5,6
86,2014-03-01,3,3,0,91,21,34,26,39,0,47,15,1,68,0,7,81,5,71,2,44,9,46,4,6
87,2014-04-01,3,2,0,89,27,39,34,46,0,49,16,1,70,0,7,80,5,82,2,47,8,56,5,6
88,2014-05-01,3,2,0,91,27,37,31,38,0,25,14,1,65,0,7,78,4,82,3,44,9,76,4,6
89,2014-06-01,3,2,0,97,33,44,32,35,0,26,14,1,66,0,7,85,4,64,2,46,9,54,4,7
90,2014-07-01,3,2,0,96,29,39,27,38,0,32,14,1,64,0,6,88,4,64,3,48,9,47,4,5
91,2014-08-01,4,2,0,89,34,43,35,42,0,27,14,1,64,0,5,83,5,62,2,45,7,42,6,6
92,2014-09-01,3,2,0,80,24,33,23,37,0,22,14,1,65,0,5,79,4,73,2,42,7,44,4,7
93,2014-10-01,3,2,0,77,20,31,27,38,0,21,14,1,63,0,4,79,4,77,2,40,9,46,4,5
94,2014-11-01,3,3,0,80,24,28,26,44,0,21,13,1,58,0,5,78,4,88,2,43,8,46,4,5
95,2014-12-01,3,2,0,80,24,26,21,41,0,25,12,1,59,0,5,78,4,88,2,41,7,41,3,5
96,2015-01-01,3,3,0,82,28,34,27,46,0,46,17,1,63,0,6,82,4,84,2,44,8,49,4,5
