,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,87,36,36,27,15,0,60,10,1,30,0,10,63,2,34,2,29,8,36,3,7
1,2007-02-01,2,1,0,87,41,32,25,19,0,86,12,1,28,0,8,62,1,35,2,30,6,37,3,7
2,2007-03-01,2,2,0,86,34,35,33,23,0,67,11,1,31,0,7,66,1,32,2,29,8,34,3,6
3,2007-04-01,2,2,0,85,32,47,31,20,0,91,11,1,32,0,7,66,2,36,2,30,8,33,3,9
4,2007-05-01,2,1,0,83,36,38,27,16,0,30,10,1,31,0,7,68,2,36,1,33,7,33,3,7
5,2007-06-01,2,1,0,86,37,43,23,14,0,28,9,1,30,0,6,72,2,33,1,33,9,31,4,5
6,2007-07-01,2,1,0,91,35,45,26,18,0,29,11,1,32,0,8,74,2,35,2,33,7,31,3,8
7,2007-08-01,2,1,0,83,39,41,29,21,0,29,9,0,31,0,6,69,2,36,2,34,7,29,2,9
8,2007-09-01,2,1,0,82,35,53,33,18,0,29,9,1,32,0,8,64,2,32,2,30,8,30,5,6
9,2007-10-01,2,1,0,78,32,48,27,17,0,35,10,1,32,0,8,58,2,33,1,32,7,35,2,9
10,2007-11-01,2,1,0,79,43,52,25,18,0,40,11,1,35,0,8,62,2,35,2,31,4,35,3,6
11,2007-12-01,2,1,0,79,40,43,36,18,0,39,9,1,33,0,10,61,1,41,1,32,7,31,3,7
12,2008-01-01,2,2,0,85,40,52,33,23,0,70,13,1,35,0,12,64,2,39,2,34,8,32,4,14
13,2008-02-01,2,1,0,81,32,56,32,20,0,89,11,1,35,0,11,65,3,36,2,34,6,33,2,11
14,2008-03-01,2,2,0,85,33,60,31,21,0,74,12,1,36,0,10,65,2,37,2,36,8,38,3,10
15,2008-04-01,2,1,0,81,36,49,29,19,0,97,12,1,38,0,10,66,2,35,1,33,7,32,4,10
16,2008-05-01,2,2,0,81,38,55,22,17,0,48,11,1,35,0,9,70,2,37,1,34,5,34,3,8
17,2008-06-01,2,2,0,84,34,51,21,24,0,34,10,1,35,0,11,75,2,36,2,33,6,30,2,6
18,2008-07-01,2,3,0,85,39,64,31,20,0,30,11,1,35,0,12,72,2,36,2,33,5,30,3,6
19,2008-08-01,2,3,0,78,36,56,20,20,1,27,9,1,36,0,11,66,1,36,2,37,6,32,2,6
20,2008-09-01,2,2,1,80,36,75,30,20,0,32,11,1,36,0,15,61,2,35,2,35,7,33,3,7
21,2008-10-01,2,2,0,78,39,81,29,22,1,40,13,1,36,0,15,53,2,36,1,33,4,29,4,7
22,2008-11-01,2,3,0,73,36,75,35,19,2,32,14,1,37,0,21,54,2,39,2,33,5,33,4,6
23,2008-12-01,2,3,0,76,36,75,31,21,1,29,12,1,39,0,26,59,2,43,1,32,5,30,2,7
24,2009-01-01,2,3,0,80,47,86,33,27,3,70,16,1,40,0,31,60,3,44,2,34,4,38,3,10
25,2009-02-01,2,2,0,81,37,94,30,31,2,100,16,1,40,0,31,57,3,36,2,34,4,35,4,10
26,2009-03-01,2,2,0,83,46,93,40,28,1,79,16,2,42,0,32,63,3,37,1,38,4,34,3,9
27,2009-04-01,3,3,0,82,27,100,34,28,1,93,14,1,44,0,31,64,2,38,1,33,5,36,4,7
28,2009-05-01,2,3,0,83,34,83,28,21,1,34,15,1,40,0,28,64,3,42,1,34,5,40,3,7
29,2009-06-01,2,2,0,82,31,95,31,33,1,36,16,1,41,0,31,69,2,41,2,36,5,33,3,7
30,2009-07-01,2,2,0,85,37,88,32,30,1,35,15,1,43,0,30,71,3,45,2,35,4,32,2,7
31,2009-08-01,3,2,0,85,38,88,38,29,1,34,15,1,44,0,29,73,2,43,2,37,3,32,3,5
32,2009-09-01,3,2,0,80,46,80,37,20,1,37,16,1,42,0,30,61,2,44,2,38,4,29,3,4
33,2009-10-01,2,2,0,79,48,77,28,31,0,42,17,1,47,0,33,56,2,43,2,36,6,36,2,6
34,2009-11-01,3,2,0,80,39,80,32,31,0,40,19,1,49,0,32,57,2,45,2,37,5,38,4,5
35,2009-12-01,2,2,0,77,38,78,33,26,0,38,16,1,44,0,31,60,1,52,2,39,4,32,2,4
36,2010-01-01,3,2,0,82,43,82,33,25,1,74,18,1,47,0,37,61,2,49,2,42,5,38,3,7
37,2010-02-01,3,3,0,79,40,82,37,29,0,88,19,1,48,0,30,59,3,49,2,38,5,33,3,6
38,2010-03-01,3,3,0,79,41,75,30,30,0,74,19,2,47,0,30,62,4,43,2,40,6,34,4,6
39,2010-04-01,3,2,0,80,37,72,30,33,0,85,19,1,50,0,30,59,3,49,2,37,5,36,3,8
40,2010-05-01,3,2,0,79,40,72,27,29,0,34,18,2,50,0,28,63,3,48,2,39,6,44,3,6
41,2010-06-01,2,2,0,79,40,86,32,30,0,34,17,1,49,0,31,65,3,51,1,38,5,39,2,5
42,2010-07-01,3,2,0,81,45,70,34,26,0,32,16,1,48,0,34,72,2,50,2,37,6,36,2,7
43,2010-08-01,2,2,0,80,43,64,28,30,0,32,16,1,46,0,30,69,3,51,2,38,5,35,3,5
44,2010-09-01,3,2,0,77,36,64,30,29,0,34,15,1,48,0,24,62,3,50,2,35,5,38,4,7
45,2010-10-01,3,2,0,74,35,68,25,39,0,37,18,2,48,0,23,58,3,50,2,40,5,41,3,7
46,2010-11-01,3,2,0,73,36,65,30,35,0,34,17,1,49,0,25,58,3,51,2,37,5,41,3,8
47,2010-12-01,3,2,0,75,40,58,28,33,0,42,17,1,50,0,31,56,3,61,2,37,5,40,3,5
48,2011-01-01,3,2,0,80,34,72,26,39,0,68,19,1,53,0,33,60,3,54,2,39,5,36,4,7
49,2011-02-01,3,2,0,79,32,75,31,31,0,86,18,1,53,0,28,62,3,57,2,37,5,40,5,6
50,2011-03-01,3,2,0,78,34,61,33,48,0,65,17,2,50,0,24,60,3,55,2,39,5,40,4,5
51,2011-04-01,2,2,0,79,39,70,31,32,0,88,17,1,54,0,25,61,3,59,2,36,5,40,3,7
52,2011-05-01,3,2,0,79,35,62,27,36,0,30,17,1,54,0,26,62,4,63,2,40,5,39,3,5
