,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,3,0,78,37,44,58,22,0,64,13,1,35,0,7,69,2,36,3,38,5,38,3,6
1,2007-02-01,2,6,0,74,36,47,55,19,0,80,12,1,35,0,6,71,2,39,2,41,5,34,4,6
2,2007-03-01,2,2,0,78,39,38,50,18,0,69,12,1,37,0,6,72,2,35,3,38,5,35,3,6
3,2007-04-01,2,2,0,78,36,48,47,23,0,93,12,1,39,0,6,70,2,44,2,41,6,35,4,6
4,2007-05-01,2,2,0,81,39,41,45,22,0,33,11,1,36,0,5,79,2,36,2,43,6,32,3,6
5,2007-06-01,2,2,0,82,36,44,48,19,0,32,11,1,36,0,6,80,3,36,2,48,6,30,2,6
6,2007-07-01,2,2,0,85,34,48,53,27,0,32,11,1,38,0,6,83,3,34,3,48,6,30,2,7
7,2007-08-01,2,2,0,81,43,50,53,21,0,33,11,1,38,0,6,77,3,34,2,41,5,27,2,7
8,2007-09-01,3,2,0,74,31,47,49,24,0,29,11,1,41,0,5,69,3,32,2,40,5,30,3,6
9,2007-10-01,2,1,0,74,31,50,47,23,0,32,13,1,40,0,6,68,2,35,3,42,5,33,3,6
10,2007-11-01,2,2,0,75,36,46,56,28,0,29,13,1,41,0,6,66,3,40,2,42,4,35,3,5
11,2007-12-01,2,3,0,74,31,39,43,24,0,34,12,1,41,0,6,66,2,45,2,38,5,34,2,6
12,2008-01-01,2,2,0,82,33,55,56,30,0,70,13,1,40,0,9,72,2,38,3,44,6,33,4,10
13,2008-02-01,2,4,0,77,37,44,52,23,0,87,13,1,42,0,7,73,3,37,3,40,5,33,3,8
14,2008-03-01,2,2,0,81,34,48,53,22,0,79,13,1,44,0,7,76,3,34,3,43,6,36,3,9
15,2008-04-01,3,2,0,80,36,49,57,24,0,94,15,1,42,0,7,76,4,34,2,45,5,38,3,8
16,2008-05-01,2,2,0,82,34,58,44,46,0,53,13,1,40,0,6,83,4,34,3,42,5,34,3,7
17,2008-06-01,2,2,0,85,38,48,59,35,0,38,12,1,41,0,9,85,3,31,3,44,4,31,2,6
18,2008-07-01,2,2,0,88,34,53,58,24,0,36,11,1,42,0,9,82,3,31,3,47,5,29,2,5
19,2008-08-01,2,3,0,81,39,54,50,22,0,32,10,1,42,0,9,76,3,32,3,46,6,27,2,5
20,2008-09-01,3,2,0,76,39,67,51,25,0,33,14,1,42,0,11,65,3,31,2,46,5,34,3,6
