,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
0,2007-01-01,1,1,0,82,37,39,39,23,0,68,10,1,29,0,4,67,2,35,4,37
1,2007-02-01,2,1,0,78,28,40,42,9,0,86,9,1,27,0,3,68,3,36,4,36
2,2007-03-01,2,1,0,79,26,40,54,14,0,60,9,1,28,0,3,71,3,27,2,34
3,2007-04-01,2,1,0,79,27,50,50,28,0,69,11,1,32,0,4,71,2,36,2,35
4,2007-05-01,1,1,0,80,25,38,33,30,0,37,10,1,31,0,3,81,2,32,3,44
5,2007-06-01,2,1,0,80,37,35,48,14,0,37,11,1,32,0,3,79,3,32,3,37
6,2007-07-01,2,1,0,87,27,46,75,17,0,43,9,1,32,0,4,79,5,35,2,44
7,2007-08-01,2,1,0,83,31,45,40,18,0,40,9,1,29,0,3,74,2,31,3,42
8,2007-09-01,2,1,0,75,37,40,33,22,0,30,10,1,34,0,3,67,3,30,5,36
9,2007-10-01,2,1,0,72,25,38,50,15,0,34,11,1,36,0,4,67,3,33,4,41
10,2007-11-01,2,2,0,74,33,44,41,26,0,34,10,1,33,0,4,67,4,32,2,42
11,2007-12-01,2,1,0,75,24,35,41,24,0,34,9,0,34,0,4,70,4,40,3,37
12,2008-01-01,2,2,1,81,34,37,38,29,0,78,11,1,34,0,5,67,3,33,4,35
13,2008-02-01,1,2,0,79,25,48,48,29,0,90,10,1,36,0,4,70,5,33,4,32
14,2008-03-01,2,2,0,78,31,47,46,33,0,68,10,1,37,0,4,76,4,30,3,41
15,2008-04-01,1,1,0,78,20,41,41,18,0,81,10,1,35,0,5,74,4,28,4,43
16,2008-05-01,1,2,0,80,25,54,43,22,0,58,10,1,35,0,5,86,4,29,3,41
17,2008-06-01,2,1,0,83,28,44,42,18,0,45,9,1,34,0,6,87,5,34,3,38
18,2008-07-01,2,2,0,84,34,58,47,27,0,41,11,1,36,0,7,79,3,27,3,43
19,2008-08-01,2,2,0,74,24,44,37,18,0,35,8,1,36,0,5,71,4,28,4,41
20,2008-09-01,2,2,0,76,24,65,54,23,0,33,11,1,35,0,6,66,4,31,4,39
21,2008-10-01,2,2,0,69,25,53,49,100,0,38,12,1,41,0,8,61,3,31,3,43
22,2008-11-01,2,3,0,73,24,68,48,28,1,37,13,1,38,0,10,63,3,33,2,43
23,2008-12-01,1,3,0,76,22,64,36,34,1,37,10,1,40,0,12,67,3,31,3,46
24,2009-01-01,2,4,0,85,26,65,57,30,1,74,13,1,39,0,13,68,4,30,2,40
25,2009-02-01,2,2,1,79,27,83,49,35,1,100,13,1,40,0,12,70,4,28,4,42
26,2009-03-01,2,3,0,80,30,73,59,36,1,72,13,0,41,0,13,73,4,29,3,43
27,2009-04-01,1,2,0,77,24,84,49,36,1,76,13,1,45,0,11,74,4,29,5,45
28,2009-05-01,2,3,0,77,31,77,38,30,0,35,13,1,44,0,11,77,2,31,4,39
29,2009-06-01,2,3,0,83,27,97,58,34,0,40,13,1,41,0,12,79,4,27,4,42
30,2009-07-01,2,2,0,85,27,85,55,36,0,44,13,1,42,0,12,81,4,32,2,45
31,2009-08-01,2,2,0,78,33,75,54,29,0,44,13,1,42,0,12,78,5,26,4,46
32,2009-09-01,2,2,0,76,36,69,56,31,0,35,15,1,46,0,12,70,4,31,2,49
33,2009-10-01,2,2,0,74,30,72,52,30,0,37,16,1,49,0,12,69,3,33,3,44
34,2009-11-01,2,2,0,74,30,85,39,35,0,38,16,2,51,0,12,68,3,35,3,47
35,2009-12-01,2,2,0,75,35,61,49,41,0,38,12,1,49,0,12,74,5,44,4,46
36,2010-01-01,2,3,0,82,36,67,52,37,0,82,16,1,49,0,14,68,4,32,3,50
37,2010-02-01,2,3,0,79,35,57,41,34,0,88,16,1,51,0,11,70,4,32,3,51
38,2010-03-01,2,3,0,78,32,86,49,33,0,70,17,1,52,0,12,73,6,31,3,48
39,2010-04-01,2,2,0,79,26,62,52,40,0,70,16,2,56,0,13,71,4,35,4,46
40,2010-05-01,2,2,0,79,27,58,35,38,0,37,17,1,53,0,13,75,4,43,3,46
41,2010-06-01,2,2,0,86,33,74,42,49,0,39,16,1,51,0,18,77,6,34,3,49
42,2010-07-01,2,2,0,82,36,57,55,31,0,43,17,1,49,0,23,80,4,35,3,49
43,2010-08-01,2,1,0,77,36,65,34,29,0,42,15,1,49,0,13,72,4,33,3,47
44,2010-09-01,3,2,0,72,28,67,44,41,0,35,14,1,52,0,11,70,5,35,4,49
45,2010-10-01,3,2,0,71,29,55,43,48,0,39,15,1,54,0,11,68,6,39,4,48
46,2010-11-01,2,1,0,72,36,59,37,56,0,38,16,1,56,0,13,65,5,41,3,50
47,2010-12-01,2,2,0,76,32,44,42,37,0,44,15,1,53,0,15,72,5,47,3,53
48,2011-01-01,2,5,0,86,32,62,43,56,0,74,16,1,53,0,16,71,5,40,3,50
49,2011-02-01,2,2,0,80,27,50,36,40,0,87,15,1,55,0,13,71,6,40,3,46
50,2011-03-01,2,2,0,80,26,49,46,46,0,61,15,1,57,0,11,70,6,44,4,48
51,2011-04-01,2,2,0,79,27,51,38,38,0,66,15,2,57,0,12,71,6,47,4,50
52,2011-05-01,2,1,0,80,28,45,34,41,0,32,14,1,56,0,12,76,5,49,3,48
53,2011-06-01,2,2,0,81,34,48,36,38,0,32,15,1,57,0,13,79,5,45,3,46
54,2011-07-01,2,2,0,81,33,48,37,43,0,37,16,1,59,0,13,76,5,44,4,50
55,2011-08-01,2,2,0,78,22,55,36,36,0,38,16,1,55,0,12,72,5,41,4,48
56,2011-09-01,2,2,0,73,28,48,34,34,0,30,16,1,56,0,12,69,4,45,3,49
57,2011-10-01,2,2,1,73,21,47,37,38,0,33,16,1,59,0,13,67,4,53,3,47
58,2011-11-01,2,2,0,74,23,40,36,52,0,31,15,2,61,0,12,65,4,58,3,49
59,2011-12-01,2,2,0,75,26,45,34,46,0,34,14,1,68,0,12,66,4,68,3,51
60,2012-01-01,2,3,0,80,29,55,38,46,0,72,17,1,63,0,15,67,5,53,3,50
61,2012-02-01,2,2,1,77,27,52,36,39,0,81,17,1,64,0,11,72,5,54,3,50
62,2012-03-01,2,2,0,76,28,44,40,39,0,52,16,1,64,0,10,71,5,57,4,47
63,2012-04-01,2,2,0,77,28,44,43,45,0,59,16,2,66,0,11,71,5,60,3,49
64,2012-05-01,2,2,0,78,30,39,37,41,0,31,16,1,60,0,10,78,5,70,3,49
65,2012-06-01,2,2,0,80,27,42,36,49,0,30,16,1,66,0,10,77,5,60,3,49
66,2012-07-01,2,2,0,81,27,42,37,42,0,35,15,1,65,0,10,77,4,62,3,50
67,2012-08-01,2,5,0,79,23,44,37,38,0,39,14,1,60,0,11,71,4,57,3,46
68,2012-09-01,3,2,1,76,27,43,35,39,0,30,16,1,63,0,10,71,4,56,3,47
69,2012-10-01,3,2,0,73,26,43,36,36,0,35,16,1,65,0,11,65,5,62,4,45
70,2012-11-01,2,2,0,74,29,39,37,73,0,34,16,1,67,0,10,62,4,66,3,46
71,2012-12-01,2,2,0,83,30,32,33,48,0,35,15,1,62,0,11,64,4,77,3,48
72,2013-01-01,3,3,0,93,28,37,39,52,0,73,18,1,62,0,12,65,5,61,4,47
