,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,1,1,73,18,50,43,23,0,74,13,1,33,0,3,71,4,30,0,42,9,34,4,7
1,2007-02-01,2,1,1,66,23,65,28,19,1,80,9,1,36,0,4,69,0,40,0,36,4,34,7,9
2,2007-03-01,1,1,0,75,51,72,30,34,0,53,12,1,33,0,2,72,2,36,0,44,10,23,7,10
3,2007-04-01,3,1,0,68,30,59,17,13,0,50,12,1,38,0,3,83,2,33,0,47,15,44,7,8
4,2007-05-01,2,1,0,66,38,55,20,29,0,26,12,2,40,0,3,82,2,38,0,45,8,30,17,9
5,2007-06-01,1,1,1,76,28,56,37,13,0,25,10,0,37,0,2,80,5,29,0,44,13,20,0,8
6,2007-07-01,1,1,0,79,31,39,31,13,0,27,8,1,35,0,3,81,6,26,0,38,4,37,4,7
7,2007-08-01,3,1,0,77,40,56,13,33,0,21,8,2,36,0,2,75,3,30,0,43,10,28,4,10
8,2007-09-01,1,1,1,64,19,30,26,35,1,25,8,2,42,0,3,75,3,29,0,37,10,32,5,9
9,2007-10-01,1,1,0,65,41,43,23,56,0,22,13,1,38,0,2,75,6,28,0,40,9,43,0,7
10,2007-11-01,1,1,0,67,20,26,26,29,0,26,16,1,42,0,3,77,2,43,0,47,6,31,5,10
11,2007-12-01,1,1,0,66,52,36,29,20,0,30,14,1,46,0,2,73,3,32,0,42,8,35,3,7
12,2008-01-01,2,1,0,76,33,66,24,12,1,85,15,2,40,0,5,73,5,28,0,40,7,34,3,9
13,2008-02-01,2,1,0,79,34,41,28,13,0,88,12,1,41,0,4,78,3,37,0,50,8,40,3,8
14,2008-03-01,1,1,0,78,29,35,22,13,0,62,14,1,40,0,2,79,3,33,0,43,10,38,8,15
15,2008-04-01,2,1,0,75,41,65,23,21,1,65,16,2,42,0,4,85,5,26,0,40,4,41,7,9
16,2008-05-01,1,1,0,75,36,46,23,32,0,45,11,1,41,0,3,85,5,31,0,43,4,29,5,6
17,2008-06-01,2,2,0,76,22,66,55,25,0,36,10,1,39,0,3,97,4,33,0,39,10,45,0,8
18,2008-07-01,1,2,0,79,24,49,24,11,1,22,7,1,38,0,3,87,2,24,0,48,7,32,6,7
19,2008-08-01,2,2,0,80,30,50,30,28,0,17,9,1,37,0,2,72,4,24,0,44,5,30,0,6
