,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,3,0,82,41,48,31,18,0,81,10,1,27,0,3,63,2,31,3,29,4,31,4,6
1,2007-02-01,1,2,0,82,40,41,36,18,0,87,10,1,27,0,2,66,2,31,2,29,5,33,5,7
2,2007-03-01,2,2,0,82,41,49,35,20,0,67,10,1,27,0,3,67,2,29,2,30,5,29,3,8
3,2007-04-01,2,2,0,82,36,46,35,24,0,82,10,1,28,0,2,67,1,34,2,32,4,34,4,6
4,2007-05-01,1,1,0,84,42,43,31,19,0,42,9,1,28,0,2,73,2,32,3,32,3,31,3,6
5,2007-06-01,1,2,0,86,38,48,33,17,0,43,9,1,28,0,2,74,2,30,2,34,4,28,2,7
6,2007-07-01,2,1,0,89,40,46,34,16,0,45,10,1,29,0,3,74,2,30,2,36,5,28,2,6
7,2007-08-01,1,2,0,84,44,55,31,16,0,47,9,1,29,0,2,71,2,30,2,33,4,27,3,7
8,2007-09-01,2,1,0,78,34,45,35,21,0,35,10,1,31,0,3,65,2,29,2,31,3,30,3,7
9,2007-10-01,2,1,0,76,33,48,32,24,0,41,11,1,30,0,3,65,2,31,2,32,4,31,3,6
10,2007-11-01,2,1,0,76,36,45,34,29,0,37,11,1,31,0,3,63,2,33,2,32,3,33,3,6
11,2007-12-01,1,2,0,77,38,37,29,17,0,44,10,1,32,0,3,66,2,41,2,30,3,30,3,6
12,2008-01-01,2,2,0,84,42,53,31,21,0,85,11,1,33,0,3,67,3,32,2,33,4,32,3,11
13,2008-02-01,2,2,0,79,38,49,31,20,0,89,11,1,33,0,3,66,2,29,3,33,3,32,4,8
14,2008-03-01,2,2,0,83,38,50,33,20,0,74,11,1,34,0,3,70,3,28,2,31,4,31,4,9
15,2008-04-01,2,2,0,81,32,56,32,21,1,90,12,1,33,0,3,72,3,28,2,35,4,34,4,9
16,2008-05-01,2,2,0,83,33,54,32,23,0,61,11,1,33,0,3,80,3,29,2,33,4,34,3,7
17,2008-06-01,2,2,0,86,35,53,31,18,1,44,10,1,33,0,4,80,3,29,2,35,3,31,2,7
