,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,89,31,37,35,12,0,69,11,1,32,0,4,74,3,33,2,41,4,37,3,5
1,2007-02-01,2,2,0,85,24,53,45,7,0,89,9,1,32,0,3,67,3,42,1,42,6,27,2,8
2,2007-03-01,2,1,0,87,32,39,28,11,1,70,11,2,32,0,3,72,4,36,3,43,3,29,2,9
3,2007-04-01,1,1,1,86,33,39,38,15,0,100,12,0,35,0,3,72,3,43,1,41,5,33,1,7
4,2007-05-01,2,1,0,89,40,34,24,9,0,36,11,1,32,0,3,74,2,34,3,41,4,33,2,7
5,2007-06-01,1,1,0,86,41,42,29,13,0,37,11,1,31,0,3,82,2,35,2,49,8,29,1,6
6,2007-07-01,2,2,0,89,30,37,27,9,0,33,9,1,35,0,3,81,3,35,2,46,7,24,2,6
7,2007-08-01,2,1,0,85,47,34,34,10,0,32,9,1,31,0,3,78,2,34,3,41,5,28,3,7
8,2007-09-01,2,1,0,78,31,37,23,10,0,28,10,1,34,0,3,69,4,31,2,43,5,27,3,8
9,2007-10-01,2,1,0,80,33,48,31,10,1,34,11,1,37,0,3,66,4,30,3,44,4,35,2,7
10,2007-11-01,2,1,0,78,34,43,33,15,0,29,10,2,36,0,2,67,3,38,1,43,5,30,3,7
11,2007-12-01,1,1,0,78,34,38,20,8,0,34,11,1,37,0,3,62,3,42,3,40,5,34,2,7
12,2008-01-01,2,1,0,83,37,45,29,16,0,74,11,1,37,0,3,69,3,34,3,45,5,30,2,13
13,2008-02-01,2,2,1,79,46,48,26,18,0,93,12,1,36,0,4,69,4,36,3,45,6,33,3,12
14,2008-03-01,2,1,0,82,37,54,25,12,0,79,12,2,39,0,3,74,4,41,2,45,7,32,3,11
15,2008-04-01,2,2,0,83,36,59,37,13,0,96,12,2,38,0,3,74,5,39,3,41,5,30,2,9
16,2008-05-01,2,1,0,81,27,46,28,16,0,59,10,1,36,0,2,79,3,40,2,39,4,29,3,7
17,2008-06-01,2,1,0,82,41,50,21,8,0,36,10,1,36,0,4,87,3,33,3,43,4,34,3,10
18,2008-07-01,2,2,0,85,42,44,29,19,0,32,10,2,38,0,5,78,4,27,1,48,5,25,3,8
19,2008-08-01,2,4,1,79,37,53,24,12,0,32,10,1,36,0,4,69,4,30,4,48,6,22,4,8
20,2008-09-01,3,2,1,81,33,72,24,14,0,36,11,1,37,0,4,66,3,32,2,48,6,25,1,8
21,2008-10-01,2,2,0,74,33,66,26,12,1,42,11,2,36,0,6,61,3,35,1,41,4,28,3,12
22,2008-11-01,2,3,1,75,30,80,18,17,1,33,14,2,39,0,7,58,3,33,2,47,5,34,3,7
23,2008-12-01,2,3,0,78,39,93,27,19,1,34,12,1,40,0,8,59,3,41,1,42,3,30,3,12
24,2009-01-01,2,3,1,83,46,86,36,14,1,76,14,1,41,0,11,66,5,37,2,44,4,26,3,11
25,2009-02-01,2,2,1,83,37,74,28,26,1,100,14,2,42,0,11,65,4,37,2,43,3,32,2,8
26,2009-03-01,2,2,0,82,42,90,29,21,1,82,15,2,43,0,12,74,4,35,3,46,3,30,3,7
27,2009-04-01,3,2,1,83,31,80,28,20,1,94,11,2,45,0,9,71,4,37,2,48,3,36,3,8
28,2009-05-01,2,4,0,79,32,90,36,27,0,38,12,1,39,0,10,75,4,35,3,47,4,29,2,6
