,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,3,0,80,45,63,51,35,0,81,12,1,27,0,4,63,1,23,2,23,7,36,3,6
1,2007-02-01,2,5,0,77,52,57,51,25,0,92,12,1,28,0,3,62,2,24,1,23,5,34,3,6
2,2007-03-01,2,2,0,77,49,60,50,33,0,81,12,1,29,0,3,64,1,19,3,25,5,32,3,6
3,2007-04-01,2,2,0,78,51,57,66,45,0,100,12,1,30,0,3,67,1,25,2,25,5,31,3,7
4,2007-05-01,2,2,0,80,45,53,54,34,0,42,11,1,28,0,3,73,2,23,2,29,6,31,2,6
5,2007-06-01,2,2,0,77,46,52,56,20,0,39,11,1,28,0,3,74,1,21,2,30,4,29,2,8
6,2007-07-01,2,2,0,81,51,67,55,25,0,42,11,1,29,0,3,71,2,22,2,29,4,29,2,6
7,2007-08-01,2,2,0,77,41,62,49,20,0,39,10,1,28,0,3,70,2,21,2,28,5,30,2,7
8,2007-09-01,2,1,0,71,46,59,46,23,0,34,11,1,31,0,3,61,2,21,1,24,5,32,3,8
9,2007-10-01,2,1,0,68,45,62,51,28,0,36,12,1,30,0,3,58,1,21,2,24,5,32,3,7
10,2007-11-01,2,2,0,66,48,60,52,29,0,32,11,1,30,0,3,57,2,24,2,25,4,34,3,7
11,2007-12-01,1,3,0,67,44,49,40,27,0,36,9,1,28,0,3,57,1,27,1,23,4,31,2,7
12,2008-01-01,2,2,0,71,46,60,44,27,0,73,11,1,30,0,4,60,2,21,2,24,5,29,3,10
13,2008-02-01,2,3,0,69,37,60,40,24,0,86,11,1,30,0,4,58,2,23,1,23,3,28,3,7
14,2008-03-01,2,2,0,70,41,55,43,24,0,71,10,1,30,0,3,60,2,21,2,23,4,28,3,9
15,2008-04-01,2,1,0,65,38,67,38,20,0,78,10,1,28,0,4,56,2,19,2,25,3,30,3,7
16,2008-05-01,1,2,0,63,32,62,38,23,0,47,8,1,27,0,4,58,2,20,1,22,3,26,2,4
17,2008-06-01,1,1,0,62,35,52,39,23,0,30,9,1,26,0,4,59,2,18,1,21,3,27,2,5
18,2008-07-01,1,2,0,60,35,57,31,22,0,29,8,1,25,0,4,54,2,18,1,21,4,23,1,4
19,2008-08-01,1,2,0,55,35,50,29,16,0,24,7,1,24,0,4,48,1,18,1,21,5,24,2,3
20,2008-09-01,2,1,0,53,30,69,37,25,0,25,9,1,24,0,4,42,2,17,1,21,4,23,2,4
21,2008-10-01,1,2,0,49,33,64,35,20,0,30,9,1,24,0,5,40,1,18,1,21,2,26,2,5
22,2008-11-01,1,2,0,50,28,72,32,26,1,23,10,1,25,0,6,40,1,19,1,21,2,27,2,4
23,2008-12-01,1,2,0,53,34,72,34,25,1,25,9,1,26,0,7,43,1,24,1,19,2,27,2,5
24,2009-01-01,1,4,0,57,36,79,34,26,1,50,10,1,25,0,8,44,2,19,1,20,3,24,2,5
25,2009-02-01,1,2,0,55,35,85,39,34,1,66,10,1,26,0,8,44,1,19,1,20,2,24,2,5
26,2009-03-01,1,2,0,52,34,71,34,31,1,50,10,1,25,0,7,42,2,17,1,19,3,22,2,4
27,2009-04-01,1,1,0,51,28,73,33,30,0,53,9,1,27,0,7,43,1,18,1,19,3,23,2,4
28,2009-05-01,1,2,0,49,26,70,29,24,0,24,9,1,24,0,6,42,1,17,1,18,2,23,2,3
29,2009-06-01,1,2,0,50,26,79,28,26,0,21,8,1,23,0,6,43,1,16,1,17,2,21,2,4
30,2009-07-01,1,1,0,49,29,61,34,23,0,22,8,1,23,0,6,43,1,16,1,18,1,19,1,3
31,2009-08-01,1,1,0,46,31,53,26,22,0,22,8,1,23,0,6,43,1,15,1,17,2,19,2,3
32,2009-09-01,1,1,0,45,29,51,27,24,0,20,9,1,24,0,6,36,1,16,1,17,2,21,2,3
33,2009-10-01,1,1,0,45,27,55,31,26,0,21,10,1,24,0,6,35,1,19,1,18,2,21,2,3
34,2009-11-01,1,1,0,45,30,53,28,27,0,20,10,1,26,0,7,35,1,20,1,18,2,23,2,3
35,2009-12-01,1,2,0,46,28,47,28,28,0,22,9,1,25,0,7,36,1,26,1,19,2,25,1,3
36,2010-01-01,1,2,0,48,31,51,28,29,0,40,10,1,25,0,7,36,2,21,1,19,2,21,2,3
37,2010-02-01,1,3,0,46,28,49,29,24,0,45,9,1,25,0,7,37,1,20,1,18,2,20,2,3
38,2010-03-01,1,1,0,44,27,51,27,24,0,37,10,1,25,0,7,36,1,18,1,17,2,19,2,3
39,2010-04-01,1,1,0,45,24,47,27,22,0,41,10,1,26,0,6,36,1,20,1,17,2,21,2,3
40,2010-05-01,1,1,0,43,23,47,23,21,0,18,8,1,25,0,6,37,1,21,1,17,2,20,2,3
41,2010-06-01,1,1,0,44,24,48,24,27,0,18,9,1,26,0,7,38,1,19,1,17,2,20,1,2
42,2010-07-01,1,1,0,44,21,43,23,23,0,18,9,1,27,0,9,40,1,19,1,18,2,20,1,2
43,2010-08-01,1,1,0,42,23,45,22,26,0,18,8,1,26,0,6,39,2,19,1,18,3,19,2,2
44,2010-09-01,1,1,0,41,21,42,21,30,0,16,8,1,27,0,5,36,2,21,1,18,3,20,2,2
45,2010-10-01,1,1,0,39,21,38,22,37,0,17,8,1,27,0,5,34,2,23,1,18,2,21,2,3
46,2010-11-01,1,1,0,41,20,37,21,40,0,16,8,1,28,0,6,35,2,24,1,19,3,23,2,3
47,2010-12-01,1,2,0,42,19,34,19,31,0,19,8,1,29,0,8,36,2,32,1,19,3,26,2,2
48,2011-01-01,2,5,0,79,43,82,43,73,0,75,18,1,51,0,8,61,3,33,2,35,5,31,3,5
49,2011-02-01,2,4,0,78,44,82,45,46,0,90,18,1,51,0,7,62,3,33,2,33,6,36,4,7
50,2011-03-01,2,3,0,76,45,74,53,74,0,73,18,2,53,0,6,61,3,30,2,34,6,39,4,7
51,2011-04-01,2,2,0,78,45,84,52,56,0,85,18,2,54,0,7,62,3,35,2,32,6,39,3,6
52,2011-05-01,2,2,0,78,45,79,48,70,0,39,17,2,52,0,6,67,3,36,2,34,5,38,4,6
53,2011-06-01,2,2,0,80,53,83,51,47,0,38,19,1,54,0,7,73,3,33,2,35,5,35,3,5
54,2011-07-01,2,3,0,84,49,82,46,56,0,40,21,1,55,0,7,73,3,31,2,37,5,32,3,5
55,2011-08-01,2,3,0,79,44,76,45,44,0,39,20,1,53,0,7,66,4,31,2,33,6,34,3,6
56,2011-09-01,3,3,0,77,49,74,44,54,0,34,18,2,55,0,7,62,3,33,2,33,5,39,3,5
57,2011-10-01,3,2,0,74,41,81,48,49,0,37,18,2,55,0,7,63,4,38,2,34,5,36,3,5
58,2011-11-01,3,2,0,73,46,80,48,82,0,33,17,2,58,0,6,60,3,42,2,36,6,38,4,6
59,2011-12-01,2,3,0,75,46,69,45,67,0,37,18,2,62,0,6,62,3,50,2,36,6,35,4,5
60,2012-01-01,3,4,0,81,47,82,45,53,0,77,21,1,60,0,8,63,3,42,2,36,6,37,3,6
61,2012-02-01,3,3,0,77,45,78,50,58,0,85,20,2,60,0,7,64,3,40,2,35,6,40,4,6
62,2012-03-01,3,3,0,77,46,76,47,57,0,65,19,2,59,0,6,64,4,40,2,33,5,45,4,5
63,2012-04-01,3,3,0,78,48,72,46,73,0,78,20,2,60,0,6,63,3,45,2,35,6,51,5,7
64,2012-05-01,3,2,0,78,46,79,43,68,0,38,19,1,56,0,6,69,3,45,2,34,6,50,3,6
65,2012-06-01,2,2,0,80,52,76,46,73,0,34,19,1,61,0,6,70,3,46,2,34,6,48,3,6
66,2012-07-01,3,2,0,81,57,75,43,59,0,38,19,1,61,0,6,72,3,43,2,36,7,46,3,6
67,2012-08-01,3,7,0,78,54,79,48,57,0,42,19,1,56,0,6,68,3,39,2,35,6,44,3,7
68,2012-09-01,3,2,0,76,52,71,42,54,0,38,19,2,57,0,6,63,3,43,2,35,7,44,3,6
69,2012-10-01,3,5,0,73,49,70,45,58,0,41,19,2,58,0,7,59,3,42,2,32,6,44,3,6
70,2012-11-01,3,3,0,78,49,71,46,68,0,40,20,2,62,0,6,59,3,48,2,35,6,41,3,6
71,2012-12-01,3,2,0,77,50,53,40,78,0,40,19,2,59,0,6,58,3,54,2,35,6,40,3,6
72,2013-01-01,3,4,0,82,51,62,48,64,0,77,21,1,58,0,7,60,4,45,2,36,6,43,3,5
73,2013-02-01,3,3,0,77,46,62,48,61,0,92,21,2,58,0,6,64,3,49,2,34,7,47,4,7
74,2013-03-01,3,5,0,80,52,63,48,59,0,72,21,2,59,0,6,63,3,45,2,34,7,47,4,7
75,2013-04-01,3,3,1,85,49,57,50,70,0,82,20,2,57,0,5,64,3,41,2,33,6,48,3,7
76,2013-05-01,3,3,0,85,50,53,48,59,0,39,19,1,56,0,5,67,3,48,2,32,7,46,3,6
77,2013-06-01,3,2,0,85,48,51,42,86,0,36,20,1,57,0,6,70,3,44,2,32,6,41,2,7
78,2013-07-01,3,3,0,86,43,60,40,61,0,34,18,1,57,0,7,75,3,42,2,34,6,42,3,6
79,2013-08-01,3,2,0,80,41,50,39,55,0,35,18,1,59,0,6,72,3,40,2,33,6,38,2,5
80,2013-09-01,3,2,0,78,45,52,43,60,0,31,19,1,59,0,7,68,3,40,2,34,8,43,3,5
81,2013-10-01,3,2,0,75,43,47,48,84,0,34,21,2,58,0,9,66,4,43,2,32,7,52,3,6
82,2013-11-01,3,2,0,79,42,45,41,60,0,30,20,2,60,0,6,65,3,52,1,35,7,46,4,6
83,2013-12-01,3,5,0,80,44,44,38,93,0,33,19,1,64,0,7,68,3,54,2,34,7,46,2,5
84,2014-01-01,3,9,1,84,48,51,41,80,0,60,23,1,63,0,10,68,3,48,2,35,7,43,3,5
85,2014-02-01,3,7,0,81,45,52,48,55,0,88,23,2,62,0,7,69,4,55,2,33,7,43,3,6
86,2014-03-01,3,7,0,82,44,53,45,59,0,64,22,2,63,0,7,70,3,62,2,34,6,48,4,6
87,2014-04-01,3,2,0,75,38,50,41,60,0,60,20,2,56,0,7,62,3,58,2,31,6,52,3,6
88,2014-05-01,3,2,0,77,34,42,38,54,0,29,18,1,52,0,7,65,3,59,2,29,7,68,2,5
89,2014-06-01,2,2,0,75,38,43,36,47,0,27,17,1,51,0,5,68,3,49,2,29,6,49,2,4
90,2014-07-01,2,2,0,61,33,32,30,41,0,24,15,1,48,0,4,58,3,46,2,24,4,33,2,4
91,2014-08-01,2,2,0,55,28,29,27,38,0,21,14,1,45,0,3,52,2,52,1,23,4,32,2,3
92,2014-09-01,2,2,0,54,29,29,29,36,0,21,14,1,48,0,3,49,2,53,2,24,5,33,2,4
93,2014-10-01,2,2,0,52,30,29,26,33,0,22,14,1,45,0,3,49,2,96,1,22,4,32,2,4
94,2014-11-01,2,2,0,54,27,29,24,35,0,20,14,1,45,0,3,46,2,81,1,22,4,31,2,4
95,2014-12-01,2,2,0,51,27,26,24,33,0,20,13,1,44,0,3,46,2,100,1,21,4,29,2,4
96,2015-01-01,2,4,0,50,26,25,25,31,0,34,13,1,43,0,3,45,2,68,1,20,3,30,2,4
97,2015-02-01,2,4,0,47,24,24,23,29,0,41,12,1,42,0,3,45,2,68,1,24,3,28,2,4
98,2015-03-01,2,3,0,48,23,24,23,29,0,31,12,1,42,0,3,47,2,57,1,22,3,29,2,4
99,2015-04-01,2,2,0,52,24,24,24,28,0,34,12,1,43,0,2,48,2,55,1,22,4,34,2,5
100,2015-05-01,2,2,0,51,23,23,23,27,0,19,12,1,41,0,2,49,2,57,1,20,3,36,2,4
101,2015-06-01,2,2,0,55,26,29,26,28,0,19,13,1,44,0,2,52,2,58,1,21,3,36,1,4
102,2015-07-01,4,3,0,90,53,66,46,59,0,37,21,1,55,0,3,76,3,52,2,35,6,59,2,6
103,2015-08-01,3,3,0,86,59,59,46,56,0,41,20,1,56,0,3,75,3,51,2,33,6,54,3,6
104,2015-09-01,4,3,0,83,52,56,45,53,0,35,21,2,57,0,3,69,4,57,2,33,7,78,3,7
105,2015-10-01,4,3,1,79,53,49,44,63,0,37,22,2,57,0,4,67,4,58,2,34,7,100,3,7
106,2015-11-01,4,3,1,84,49,47,46,57,0,33,21,2,60,0,4,65,4,66,2,35,7,59,3,7
107,2015-12-01,4,3,0,86,54,47,44,57,0,38,20,2,61,0,4,67,3,69,2,34,7,50,3,8
108,2016-01-01,4,10,0,88,44,60,45,65,0,60,21,1,59,0,4,70,4,59,2,35,7,53,3,6
109,2016-02-01,4,6,0,81,42,60,52,53,0,83,21,2,59,0,4,74,5,63,2,39,8,62,4,9
110,2016-03-01,4,4,0,86,41,57,45,64,0,62,21,2,61,0,3,74,4,60,2,38,7,53,3,8
111,2016-04-01,4,3,1,89,42,61,48,55,0,68,21,2,58,0,3,73,4,55,2,38,8,53,3,9
112,2016-05-01,4,3,0,91,42,56,40,64,0,35,19,2,59,0,3,77,4,68,2,34,8,50,3,7
113,2016-06-01,4,3,0,91,40,57,42,66,0,31,19,1,57,0,3,79,3,61,2,32,8,48,2,7
114,2016-07-01,4,3,0,93,40,63,45,66,0,34,18,1,55,0,3,87,3,55,2,34,7,46,2,6
115,2016-08-01,4,4,0,86,37,61,43,58,0,38,18,1,53,0,3,81,3,49,2,31,7,38,3,5
116,2016-09-01,4,3,0,83,40,57,46,60,0,33,18,1,56,0,3,75,4,51,2,34,7,40,3,7
117,2016-10-01,4,3,0,81,40,55,40,67,0,35,18,2,55,0,3,87,4,52,2,33,7,41,3,7
118,2016-11-01,4,3,0,84,38,54,45,60,0,35,20,2,57,0,3,78,4,57,2,35,8,44,3,8
119,2016-12-01,4,3,0,88,40,50,42,55,0,35,19,2,60,0,3,81,3,64,2,35,7,39,3,8
120,2017-01-01,4,7,0,87,44,56,48,73,0,61,22,1,61,0,3,80,4,57,2,37,8,38,3,8
121,2017-02-01,4,4,1,83,39,65,50,72,0,86,22,2,61,0,3,82,4,58,2,38,8,54,3,9
122,2017-03-01,4,6,0,86,40,62,53,72,0,65,22,2,60,0,3,82,4,51,2,36,7,53,3,10
123,2017-04-01,4,4,1,92,38,63,49,77,0,70,21,2,61,0,3,87,3,54,2,37,8,44,3,9
124,2017-05-01,4,4,0,90,37,64,49,100,0,37,21,2,56,0,3,91,3,63,2,36,7,45,3,8
125,2017-06-01,4,3,0,93,41,63,48,65,0,34,20,1,57,0,3,94,3,58,2,36,8,39,2,7
126,2017-07-01,4,4,0,100,39,59,48,61,0,36,22,1,58,0,3,100,3,51,2,34,8,36,2,7
127,2017-08-01,4,3,0,92,40,59,49,65,0,39,20,1,56,0,3,89,3,49,2,33,8,37,2,6
128,2017-09-01,4,3,0,86,36,57,44,65,0,34,19,1,57,0,3,77,4,51,2,32,8,35,3,7
129,2017-10-01,4,3,0,87,38,59,46,79,0,40,22,2,58,0,3,83,4,62,2,32,7,35,3,8
130,2017-11-01,4,3,0,93,37,54,45,91,0,49,22,2,59,0,3,78,4,58,2,32,7,37,3,8
131,2017-12-01,4,3,0,93,36,56,44,80,0,77,20,2,64,0,3,84,3,58,2,33,8,35,3,8
