,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,1,73,47,28,26,19,1,65,8,1,34,0,3,74,3,30,0,40,15,32,9,6
1,2007-02-01,1,6,0,70,34,39,27,31,0,72,10,2,33,0,4,67,5,40,0,48,13,42,11,12
2,2007-03-01,3,2,1,73,25,30,41,29,1,74,9,1,40,0,4,74,3,27,0,38,8,50,10,8
3,2007-04-01,3,2,0,76,22,30,52,48,0,84,12,2,38,0,4,77,6,49,0,43,8,38,8,10
4,2007-05-01,3,1,0,80,18,26,22,22,1,33,11,2,38,0,4,65,3,38,0,36,11,35,13,7
5,2007-06-01,2,1,1,85,73,41,36,40,0,40,11,1,31,0,4,75,6,28,0,51,7,45,10,8
6,2007-07-01,2,2,0,81,18,51,23,22,0,38,9,2,36,0,3,85,3,24,0,42,14,45,5,8
7,2007-08-01,2,1,0,81,32,19,18,23,2,34,10,2,32,0,4,76,5,28,0,40,12,30,7,6
8,2007-09-01,3,3,0,70,25,33,11,69,0,29,8,1,37,0,4,63,3,36,0,49,4,27,9,9
9,2007-10-01,2,2,0,71,22,40,18,33,1,42,10,2,41,0,3,60,2,34,0,40,6,26,8,8
10,2007-11-01,2,2,0,70,45,41,19,34,1,31,11,2,40,0,3,72,3,36,0,41,10,42,9,7
11,2007-12-01,2,5,0,77,80,24,16,40,0,28,8,1,38,0,5,65,2,40,0,43,6,31,4,5
12,2008-01-01,3,3,1,76,28,28,42,28,0,77,11,2,42,0,5,75,4,25,0,58,8,39,13,10
13,2008-02-01,3,4,1,65,29,21,50,32,0,92,14,3,43,0,6,64,6,34,0,42,10,37,0,8
14,2008-03-01,3,2,1,79,40,57,37,17,1,86,12,3,44,0,5,65,2,36,0,46,8,34,8,5
15,2008-04-01,2,2,1,75,27,78,48,47,1,94,15,1,39,0,5,76,3,25,0,50,7,48,9,9
16,2008-05-01,3,2,1,79,32,54,22,40,2,50,10,1,42,0,3,78,7,31,0,44,6,39,3,6
17,2008-06-01,2,1,0,95,29,41,33,37,2,41,10,1,35,0,5,85,4,27,0,48,12,30,9,12
18,2008-07-01,1,2,0,84,28,24,32,20,0,48,9,1,36,0,7,75,4,26,0,37,11,48,11,5
19,2008-08-01,1,4,1,83,32,28,28,24,0,33,10,3,44,0,3,81,3,24,0,54,13,37,5,8
20,2008-09-01,2,2,1,76,37,43,40,20,1,33,12,1,45,0,4,66,4,36,0,39,9,32,8,7
21,2008-10-01,3,2,0,66,30,69,42,33,2,40,17,1,47,0,7,64,2,32,0,48,10,43,6,11
22,2008-11-01,4,3,0,64,59,31,34,38,3,33,12,2,38,0,7,65,2,42,0,55,7,40,6,4
23,2008-12-01,2,4,1,76,57,50,30,28,3,34,13,2,39,0,12,63,3,43,0,43,11,23,5,7
24,2009-01-01,2,4,0,76,29,51,29,25,4,64,15,1,45,0,14,67,3,34,0,53,7,34,3,6
25,2009-02-01,2,2,1,71,36,65,27,55,2,96,16,2,49,0,14,66,2,34,0,41,6,37,5,15
26,2009-03-01,3,2,1,70,46,67,49,49,1,79,19,1,50,0,14,61,3,33,0,35,4,49,8,9
27,2009-04-01,3,1,1,78,30,45,33,30,1,79,17,4,49,0,13,77,2,38,0,48,11,43,7,12
28,2009-05-01,2,4,0,77,16,84,42,36,1,43,14,1,49,0,11,66,3,27,0,48,6,51,10,15
29,2009-06-01,3,2,0,83,43,100,48,59,1,43,12,1,43,0,10,82,5,20,0,62,4,38,7,3
30,2009-07-01,2,2,1,89,27,61,47,40,1,46,15,1,48,0,13,86,3,28,0,35,10,26,5,7
