,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,91,39,41,28,18,0,69,11,1,28,0,6,64,1,39,3,33,7,35,3,6
1,2007-02-01,2,2,0,90,47,37,25,16,0,86,10,1,29,0,5,68,1,36,2,36,5,38,3,6
2,2007-03-01,2,2,0,88,39,38,27,22,0,65,11,1,28,0,5,67,2,34,2,36,6,33,3,9
3,2007-04-01,2,2,0,89,38,37,30,22,0,86,10,1,30,0,5,70,2,41,3,34,6,34,2,8
4,2007-05-01,2,1,0,90,37,41,23,20,0,32,11,1,29,0,4,72,2,37,2,38,6,32,3,7
5,2007-06-01,2,1,0,92,41,38,27,19,0,30,10,1,30,0,5,73,2,41,2,36,7,33,3,7
6,2007-07-01,2,2,0,93,42,41,27,20,0,31,10,1,34,0,5,75,2,38,2,38,6,29,2,6
7,2007-08-01,2,1,0,90,49,40,21,22,0,30,9,1,32,0,4,71,2,34,2,37,6,28,3,6
8,2007-09-01,2,1,0,86,45,38,31,21,0,28,10,1,32,0,5,65,2,36,3,38,4,31,5,8
9,2007-10-01,2,1,0,85,42,43,30,22,0,35,11,1,32,0,5,62,2,36,2,39,6,36,3,7
10,2007-11-01,2,1,0,84,40,43,26,33,0,31,12,1,32,0,5,64,2,38,2,38,5,38,3,6
11,2007-12-01,2,2,0,84,50,38,23,21,0,35,10,1,31,0,6,65,2,44,1,37,5,37,2,7
12,2008-01-01,2,2,0,89,42,46,25,24,0,75,12,1,34,0,7,68,3,40,2,38,6,39,3,14
13,2008-02-01,2,2,0,89,42,54,29,24,0,92,12,1,33,0,6,67,3,36,2,34,4,36,3,10
14,2008-03-01,2,2,0,88,41,45,28,24,0,72,13,1,34,0,6,70,3,39,2,41,6,38,3,14
15,2008-04-01,2,2,0,88,40,52,29,21,0,92,12,1,33,0,6,69,3,34,3,39,4,35,4,9
16,2008-05-01,2,2,0,86,31,48,24,24,0,51,12,1,34,0,5,75,3,38,2,37,4,38,3,7
17,2008-06-01,2,2,0,86,41,46,29,22,1,36,11,1,34,0,7,77,2,38,2,39,5,38,2,7
18,2008-07-01,2,3,0,90,40,57,26,18,0,34,11,1,35,0,7,76,2,35,2,41,5,35,3,7
19,2008-08-01,2,3,0,84,35,48,27,20,0,30,10,1,33,0,7,70,3,35,2,41,8,38,3,6
20,2008-09-01,2,2,0,85,43,73,30,23,0,33,12,1,34,0,8,62,3,35,2,40,6,38,3,7
21,2008-10-01,2,2,0,79,41,65,31,26,1,42,13,1,35,0,10,56,3,39,2,40,3,38,4,9
22,2008-11-01,2,3,0,80,38,81,27,25,2,34,14,1,36,0,11,59,3,37,2,38,5,41,3,7
23,2008-12-01,2,3,0,83,41,70,27,22,2,32,12,1,35,0,16,62,2,42,2,36,4,47,2,10
24,2009-01-01,2,3,0,88,43,84,30,28,6,77,17,1,38,0,17,61,3,42,2,40,4,42,4,10
25,2009-02-01,2,3,0,87,46,88,29,45,2,100,16,1,38,0,19,65,3,38,3,42,4,43,4,9
26,2009-03-01,2,2,0,84,42,82,36,31,2,76,16,1,40,0,19,66,3,39,2,42,5,44,3,10
27,2009-04-01,2,3,0,84,37,80,26,33,1,86,14,1,43,0,16,69,3,41,2,42,4,39,4,7
28,2009-05-01,2,4,0,88,38,89,29,29,2,35,16,1,40,0,17,70,3,40,2,39,5,42,3,6
29,2009-06-01,2,3,0,90,46,100,29,33,1,36,16,1,40,0,19,73,3,40,2,41,3,38,2,7
30,2009-07-01,2,2,0,91,39,91,28,26,1,37,15,1,40,0,19,77,2,40,2,42,4,35,2,6
31,2009-08-01,2,2,0,86,44,80,29,30,1,37,16,1,42,0,18,77,3,40,2,39,5,39,2,5
32,2009-09-01,2,2,0,86,45,81,29,30,1,37,17,1,42,0,18,66,3,39,2,41,4,37,3,5
33,2009-10-01,3,2,0,84,45,72,31,32,1,40,18,1,43,0,19,61,3,43,3,43,3,40,3,7
34,2009-11-01,3,2,0,85,43,77,29,35,1,38,20,1,46,0,22,62,3,46,2,46,5,48,4,6
35,2009-12-01,2,2,0,81,45,72,26,38,0,38,16,1,44,0,18,62,3,52,2,43,5,55,3,5
36,2010-01-01,2,2,0,88,41,81,33,44,0,80,18,1,44,0,19,61,4,46,3,47,4,43,4,6
37,2010-02-01,3,3,0,88,42,78,31,30,0,87,19,1,45,0,18,63,3,45,2,45,4,43,5,7
38,2010-03-01,3,4,0,85,43,75,36,34,0,73,20,1,46,0,18,68,3,47,2,46,5,43,4,7
39,2010-04-01,3,2,0,87,43,79,34,31,0,85,20,1,48,0,17,65,3,48,3,44,4,44,4,8
40,2010-05-01,2,2,0,85,41,71,33,30,0,34,19,2,48,0,16,66,4,51,2,46,4,43,3,6
41,2010-06-01,2,2,0,83,39,76,31,38,0,37,18,1,48,0,18,71,3,45,2,46,4,45,3,6
42,2010-07-01,3,2,0,83,37,70,31,32,1,34,18,1,46,0,22,73,3,45,3,43,4,46,2,6
43,2010-08-01,2,2,0,80,40,78,24,34,0,33,16,1,47,0,18,70,4,47,3,44,4,37,4,5
44,2010-09-01,2,2,0,80,41,73,25,27,0,33,16,1,46,0,16,63,3,46,2,43,4,42,4,4
45,2010-10-01,3,2,0,75,41,63,28,48,0,38,17,1,46,0,16,60,4,49,3,46,5,44,4,6
46,2010-11-01,3,2,0,78,39,66,25,42,0,33,18,1,47,0,17,60,3,51,2,43,5,46,3,5
47,2010-12-01,2,2,0,77,39,64,26,36,0,40,17,1,48,0,21,60,3,66,2,44,5,54,3,6
48,2011-01-01,3,2,0,80,39,70,32,46,0,73,18,1,50,0,20,63,4,58,3,46,4,38,4,5
49,2011-02-01,3,2,0,81,35,74,28,32,0,82,18,1,50,0,17,65,4,58,3,45,5,37,4,5
50,2011-03-01,3,2,0,78,36,62,28,48,0,62,17,1,52,0,15,64,4,57,2,44,6,39,4,6
51,2011-04-01,3,2,0,78,38,63,28,35,0,75,16,1,54,0,15,66,4,60,2,43,5,38,3,5
52,2011-05-01,3,2,0,81,36,58,26,35,0,30,17,1,52,0,14,64,3,61,2,45,5,40,4,5
53,2011-06-01,3,2,0,78,39,62,23,31,0,29,16,1,51,0,15,73,4,61,2,45,6,35,3,5
54,2011-07-01,3,3,0,81,39,59,24,34,0,30,19,1,50,0,15,73,3,58,2,46,6,33,3,5
55,2011-08-01,3,2,0,79,38,62,26,32,0,30,18,1,50,0,16,70,3,58,2,46,5,34,3,5
56,2011-09-01,3,2,0,80,40,58,24,38,0,30,18,1,49,0,15,64,3,56,2,46,6,39,3,5
57,2011-10-01,3,2,0,76,43,62,25,32,0,34,18,1,52,0,16,63,4,68,2,46,6,38,4,5
58,2011-11-01,3,2,0,77,36,60,22,49,0,29,16,2,54,0,15,63,3,72,2,46,5,35,4,5
59,2011-12-01,3,2,0,76,32,46,21,40,0,31,17,1,58,0,15,63,3,83,2,43,6,34,3,4
60,2012-01-01,3,3,0,77,35,59,25,37,0,65,18,1,56,0,17,63,4,70,2,44,6,36,3,5
61,2012-02-01,3,2,0,76,36,54,23,39,0,72,18,1,57,0,16,67,4,70,2,46,5,35,4,6
62,2012-03-01,3,2,0,76,39,50,26,45,0,51,18,1,56,0,13,69,4,72,2,44,6,39,4,6
63,2012-04-01,3,2,0,78,37,51,23,44,0,60,18,1,58,0,14,68,3,75,2,43,7,43,6,5
64,2012-05-01,3,2,0,80,39,54,20,39,0,26,18,1,55,0,12,75,4,79,2,44,6,42,3,5
65,2012-06-01,3,2,0,81,37,53,22,42,0,29,17,1,56,0,12,73,4,79,2,45,7,44,3,6
66,2012-07-01,3,2,0,85,43,55,21,38,0,29,16,1,57,0,14,76,4,78,2,44,6,41,2,5
67,2012-08-01,3,6,0,81,41,51,22,36,0,29,16,1,55,0,12,76,4,74,2,45,6,36,3,5
68,2012-09-01,3,2,0,78,42,52,22,32,0,31,18,1,55,0,13,69,5,72,2,45,6,37,3,5
69,2012-10-01,3,2,0,76,38,55,23,34,0,35,18,1,56,0,14,63,4,74,2,45,7,36,3,5
70,2012-11-01,3,3,0,78,38,47,22,45,0,32,17,1,55,0,13,61,4,79,2,45,6,37,3,5
71,2012-12-01,3,2,0,79,37,40,22,44,0,33,16,1,53,0,14,62,4,87,2,44,7,34,3,5
