,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,81,41,39,50,13,0,65,11,1,34,0,9,68,7,33,4,5
1,2007-02-01,2,5,0,79,37,33,45,20,0,78,10,1,36,0,8,73,5,37,4,7
2,2007-03-01,2,3,0,78,34,41,45,27,0,62,10,1,34,0,6,74,7,32,4,8
3,2007-04-01,2,2,0,82,39,41,36,19,0,69,11,1,39,0,7,76,7,33,4,5
4,2007-05-01,2,1,0,81,35,40,47,17,0,30,11,1,38,0,6,79,6,31,6,5
5,2007-06-01,2,2,0,82,33,46,52,15,0,32,10,1,36,0,6,83,5,32,3,4
6,2007-07-01,2,1,0,86,37,53,45,15,0,31,9,1,34,0,7,85,5,29,2,7
7,2007-08-01,2,2,0,81,36,50,43,10,0,26,9,1,38,0,5,80,6,25,3,7
8,2007-09-01,2,1,0,79,40,43,39,19,0,23,9,1,41,0,5,71,5,32,4,7
9,2007-10-01,2,1,0,78,32,44,46,18,0,28,11,1,39,0,6,68,7,34,3,8
10,2007-11-01,2,2,0,77,35,37,47,15,0,26,11,1,42,0,7,67,5,37,4,6
11,2007-12-01,2,2,0,77,24,39,40,18,0,33,10,1,40,0,7,68,4,37,3,8
12,2008-01-01,2,4,0,85,42,50,52,23,0,71,12,1,40,0,10,78,6,34,4,13
13,2008-02-01,2,4,0,81,33,47,43,19,0,85,11,1,41,0,8,78,6,33,4,9
14,2008-03-01,2,2,0,85,37,40,42,20,0,68,11,1,41,0,8,80,5,35,3,11
15,2008-04-01,2,2,0,83,26,58,39,19,0,73,13,1,42,0,8,80,6,34,3,10
16,2008-05-01,2,2,0,82,33,57,43,20,0,44,10,1,40,0,7,87,6,36,4,7
17,2008-06-01,2,4,0,83,33,41,42,19,1,31,9,1,38,0,8,85,4,31,2,7
18,2008-07-01,2,2,0,87,38,67,40,17,0,28,10,1,41,0,9,82,7,27,3,5
19,2008-08-01,2,3,0,82,38,53,40,16,0,25,9,1,39,0,8,76,8,26,2,4
20,2008-09-01,2,2,0,80,33,70,46,27,0,26,11,1,39,0,9,68,6,31,3,6
21,2008-10-01,2,2,0,79,32,74,46,16,1,37,13,1,42,0,11,64,4,35,3,9
22,2008-11-01,2,4,0,76,29,78,48,28,1,29,15,1,45,0,16,65,4,32,3,6
23,2008-12-01,2,5,0,83,38,71,53,23,1,32,15,1,44,0,23,72,5,34,2,9
24,2009-01-01,2,5,0,85,38,79,53,26,2,70,17,1,45,0,27,72,5,32,2,9
25,2009-02-01,3,3,1,82,29,79,51,35,2,100,17,1,47,0,26,73,4,36,4,9
26,2009-03-01,3,3,0,89,30,73,56,35,1,71,18,1,45,0,29,76,5,36,4,9
27,2009-04-01,3,2,0,87,33,96,48,26,1,68,17,1,51,0,27,79,6,36,4,8
28,2009-05-01,2,7,0,89,31,85,49,23,1,31,15,1,49,0,28,81,3,34,5,6
29,2009-06-01,2,4,0,88,32,100,50,37,1,33,17,1,46,0,31,85,5,33,3,6
30,2009-07-01,2,3,0,86,39,95,48,26,1,34,15,1,46,0,31,90,4,25,2,5
31,2009-08-01,3,3,0,87,40,78,52,31,0,33,17,1,49,0,32,81,4,28,2,6
32,2009-09-01,3,2,0,84,34,83,55,24,0,31,16,1,52,0,29,69,5,31,3,5
33,2009-10-01,3,3,1,85,32,79,55,26,1,35,18,1,55,0,30,67,5,34,4,5
34,2009-11-01,3,2,0,88,36,74,46,36,0,34,19,1,55,0,35,69,4,36,3,6
35,2009-12-01,3,4,0,84,34,62,43,29,0,40,18,1,55,0,34,68,5,34,4,4
36,2010-01-01,3,2,0,89,40,91,54,35,1,76,18,1,54,0,40,70,4,32,4,6
37,2010-02-01,2,4,0,88,44,79,40,32,0,87,17,1,55,0,33,72,3,33,4,8
38,2010-03-01,3,3,1,88,32,78,56,35,0,65,20,1,58,0,31,74,5,36,3,7
39,2010-04-01,2,2,0,89,35,61,49,36,0,68,19,1,57,0,32,73,5,36,3,5
