,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,6,0,72,38,34,90,17,0,66,9,2,30,0,3,64,4,33,0,34,10,35,0,4
1,2007-02-01,2,10,1,66,31,31,39,26,1,90,11,2,32,0,5,66,5,33,0,29,13,40,7,7
2,2007-03-01,2,3,0,66,40,20,32,11,0,62,8,1,36,0,7,60,4,28,0,43,5,35,5,4
3,2007-04-01,2,1,0,68,44,44,73,20,0,75,10,2,39,0,5,67,4,43,0,39,4,47,7,9
4,2007-05-01,2,1,0,66,38,48,40,19,0,30,5,2,34,0,6,75,2,32,0,39,6,51,4,5
5,2007-06-01,1,2,1,75,37,61,38,19,1,35,8,1,38,0,3,69,4,34,0,27,6,18,8,7
6,2007-07-01,2,1,1,84,30,52,61,0,0,30,7,1,35,0,5,72,6,45,0,45,8,27,4,10
7,2007-08-01,1,2,0,76,25,55,51,16,0,30,8,0,34,0,6,70,2,26,0,44,9,34,5,10
8,2007-09-01,2,1,0,67,32,47,72,20,0,21,10,1,39,0,5,64,4,28,0,36,5,40,4,5
9,2007-10-01,2,1,1,67,19,41,57,46,0,23,9,1,40,0,5,65,2,35,0,39,4,33,6,6
10,2007-11-01,2,2,0,72,34,50,31,16,0,19,9,1,39,0,5,59,4,32,0,40,6,32,3,6
11,2007-12-01,1,6,0,68,23,39,33,31,1,25,8,1,39,0,6,64,4,48,0,32,5,32,5,3
12,2008-01-01,2,6,0,80,20,43,57,17,0,76,9,1,41,0,8,67,3,35,0,34,10,37,5,10
13,2008-02-01,1,6,0,70,20,28,37,23,1,93,9,1,44,0,4,60,4,29,0,42,6,28,5,8
14,2008-03-01,3,2,1,73,26,40,48,26,1,69,11,1,49,0,4,75,6,36,0,37,6,33,4,9
15,2008-04-01,2,1,0,71,38,27,38,21,1,84,11,1,39,0,5,72,5,36,0,49,6,30,3,11
16,2008-05-01,2,2,0,70,31,34,37,28,0,53,8,1,42,0,4,77,5,31,0,37,10,43,6,7
17,2008-06-01,2,1,0,76,37,37,64,32,0,39,10,1,37,0,6,81,5,29,0,42,4,33,7,4
18,2008-07-01,2,2,0,84,38,70,85,16,1,35,7,2,49,0,7,74,4,29,0,36,3,40,6,4
19,2008-08-01,2,2,0,72,31,37,53,17,1,25,7,2,42,0,5,70,5,31,0,41,7,40,5,9
20,2008-09-01,3,1,1,67,21,56,29,35,1,28,8,1,43,0,4,60,3,27,0,46,7,44,9,6
21,2008-10-01,2,1,0,65,30,46,63,24,1,31,11,2,42,0,7,64,4,28,0,48,6,37,5,11
22,2008-11-01,1,4,0,65,25,69,41,22,1,26,11,1,45,0,8,56,6,30,0,40,6,52,11,8
23,2008-12-01,2,4,0,67,37,32,45,24,1,24,11,1,50,0,10,73,5,36,0,44,4,51,2,10
24,2009-01-01,1,10,0,75,15,88,43,30,1,70,11,1,45,0,10,70,3,30,0,43,5,31,8,4
25,2009-02-01,2,4,1,69,25,79,71,36,1,88,11,1,47,0,12,67,6,32,0,45,7,44,9,11
26,2009-03-01,2,3,0,71,41,88,70,35,1,62,11,2,48,0,13,72,3,26,0,41,5,37,8,10
27,2009-04-01,2,2,0,70,39,90,47,31,0,70,11,1,51,0,12,73,4,31,0,40,4,44,7,10
28,2009-05-01,2,5,0,71,34,90,59,21,0,33,11,1,51,0,11,82,6,36,0,42,4,38,6,7
29,2009-06-01,3,2,0,82,24,100,50,41,1,34,10,1,46,0,14,83,5,35,0,41,4,32,5,5
30,2009-07-01,1,2,0,86,32,76,55,28,1,36,10,1,55,0,14,82,5,29,0,38,4,36,3,8
31,2009-08-01,2,1,1,81,39,65,45,25,0,29,9,1,51,0,16,85,4,25,0,37,5,34,4,5
32,2009-09-01,2,2,1,68,45,80,59,21,0,25,12,1,52,0,12,70,3,27,0,41,6,39,7,5
33,2009-10-01,2,2,1,73,32,75,50,36,0,29,12,1,52,0,14,63,6,33,0,51,6,45,8,7
34,2009-11-01,2,1,1,73,19,70,63,43,1,31,14,1,57,0,14,64,4,37,0,49,3,35,4,7
35,2009-12-01,2,3,0,73,28,49,59,24,0,31,14,1,52,0,13,73,4,48,0,56,2,50,5,6
36,2010-01-01,3,4,0,75,31,46,49,40,0,74,14,1,58,0,18,69,3,32,0,53,7,41,4,4
37,2010-02-01,2,6,0,75,34,43,64,20,0,82,12,1,60,0,19,65,5,28,0,36,4,39,3,5
38,2010-03-01,2,2,0,74,31,62,50,31,1,57,16,2,61,0,14,69,4,28,0,50,5,39,7,9
39,2010-04-01,3,2,1,74,29,58,40,25,0,68,16,1,56,0,17,72,6,38,0,39,4,43,5,10
40,2010-05-01,2,2,0,75,27,66,57,34,1,31,14,2,61,0,12,79,7,40,0,48,6,35,5,8
41,2010-06-01,1,1,0,82,21,70,53,32,0,39,12,1,53,0,15,85,6,34,0,52,4,29,3,4
42,2010-07-01,2,2,0,87,22,85,45,30,2,41,16,2,54,0,21,88,5,35,0,47,2,37,6,6
43,2010-08-01,2,2,1,79,45,85,77,37,1,39,13,2,46,0,12,70,5,30,0,51,6,27,6,6
44,2010-09-01,3,1,1,66,29,62,49,29,1,32,15,2,55,0,12,69,3,41,0,46,4,39,6,7
45,2010-10-01,2,2,1,62,29,58,40,63,1,28,13,2,58,0,10,69,2,41,0,49,4,44,5,4
46,2010-11-01,2,2,1,72,30,83,51,51,1,33,15,1,60,0,9,62,5,42,0,44,6,38,4,5
47,2010-12-01,2,4,0,66,31,55,41,46,0,34,14,1,58,0,14,69,1,55,0,44,4,40,4,9
48,2011-01-01,3,6,0,81,27,54,48,89,0,65,15,1,65,0,18,71,6,42,0,52,5,41,7,5
49,2011-02-01,2,4,0,80,22,47,48,33,0,80,13,1,67,0,14,69,5,42,0,50,6,39,5,8
50,2011-03-01,3,2,0,78,31,49,42,53,0,56,12,1,66,0,12,74,5,45,0,51,6,36,6,3
51,2011-04-01,2,1,0,76,27,47,49,36,0,65,13,2,67,0,11,73,5,46,0,54,5,45,3,5
52,2011-05-01,2,1,0,78,26,54,33,62,0,24,12,1,66,0,10,74,4,54,0,55,6,38,6,7
53,2011-06-01,2,2,0,83,30,49,54,38,0,27,12,1,70,0,11,84,5,52,0,50,6,44,8,5
54,2011-07-01,2,3,0,86,22,52,46,33,0,28,15,1,74,0,10,80,5,52,0,56,6,40,5,6
55,2011-08-01,2,2,0,81,27,52,37,25,0,27,12,1,69,0,10,73,6,47,0,49,7,40,3,5
56,2011-09-01,3,2,0,80,21,39,42,44,0,21,13,1,69,0,9,70,4,52,0,48,7,53,6,5
57,2011-10-01,3,2,0,74,28,40,36,25,0,25,13,1,67,0,9,70,5,65,0,50,7,52,3,5
58,2011-11-01,3,1,0,76,18,37,34,47,0,22,12,2,75,0,9,63,5,66,0,52,7,46,4,4
59,2011-12-01,2,3,0,78,24,35,38,41,0,26,13,1,79,0,10,68,4,84,0,51,9,43,6,5
60,2012-01-01,3,4,0,82,28,48,54,45,0,66,14,1,69,0,13,68,5,63,0,53,7,44,4,6
61,2012-02-01,3,2,0,77,30,37,51,40,0,72,15,1,73,0,10,70,4,71,0,53,7,50,5,6
62,2012-03-01,3,2,0,81,21,41,49,36,0,46,12,1,71,0,10,71,4,71,0,53,10,53,5,7
63,2012-04-01,3,2,0,79,17,50,43,41,0,59,14,1,75,0,9,73,4,78,0,49,7,63,6,7
64,2012-05-01,3,2,0,84,31,45,40,42,0,26,12,1,70,0,9,81,5,89,0,49,6,60,5,5
65,2012-06-01,2,2,0,83,32,59,42,47,1,25,14,1,79,0,10,79,4,71,0,52,8,52,4,6
