,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,3,2,1,87,67,56,28,31,0,72,12,1,22,0,5,65,6,25,0,30,18,27,6,14
1,2007-02-01,2,2,0,75,47,48,35,0,0,77,8,1,30,0,5,58,4,32,0,25,11,22,0,9
2,2007-03-01,1,2,1,81,73,58,50,15,0,65,8,1,25,0,4,67,3,38,0,25,6,39,6,9
3,2007-04-01,2,3,1,87,60,52,33,20,0,71,14,3,29,0,4,73,0,42,0,46,11,31,16,7
4,2007-05-01,2,1,0,89,31,41,57,21,0,27,14,0,31,0,2,71,4,28,0,37,8,48,13,8
5,2007-06-01,1,2,1,90,29,47,59,22,0,26,12,2,29,0,5,71,0,23,0,41,12,26,0,6
6,2007-07-01,2,3,1,89,43,60,60,15,0,32,11,2,25,0,3,76,4,52,0,46,15,51,6,8
7,2007-08-01,2,1,1,96,36,73,41,16,0,30,12,1,25,0,3,82,3,29,0,43,10,17,6,8
8,2007-09-01,4,1,1,87,46,28,41,21,0,21,10,4,26,0,4,70,3,26,0,34,11,51,6,10
9,2007-10-01,2,2,1,87,24,35,35,44,0,23,13,3,34,0,4,61,3,24,0,47,9,34,6,14
10,2007-11-01,2,2,1,78,44,44,63,18,0,30,13,1,28,0,4,62,3,34,0,44,8,48,8,11
11,2007-12-01,2,2,1,82,31,36,22,14,0,27,7,1,37,0,3,63,6,49,0,46,13,40,10,17
12,2008-01-01,1,1,0,86,51,24,55,35,1,78,14,0,31,0,6,58,4,34,0,49,12,43,4,19
13,2008-02-01,1,2,1,79,20,32,36,19,2,100,11,3,33,0,2,67,4,38,0,41,11,37,8,19
14,2008-03-01,2,1,0,89,19,32,40,19,0,77,13,2,32,0,3,71,3,30,0,42,13,45,4,11
15,2008-04-01,2,1,1,91,24,27,42,30,0,84,12,2,34,0,3,73,4,41,0,46,11,44,6,14
16,2008-05-01,2,2,0,96,22,44,44,37,1,52,13,3,32,0,4,77,8,47,0,41,13,42,5,6
17,2008-06-01,2,1,0,96,23,36,38,27,0,35,6,3,29,0,4,78,6,39,0,50,7,37,7,12
18,2008-07-01,1,2,1,89,35,40,49,12,1,31,7,2,33,0,4,79,7,32,0,46,5,30,5,5
19,2008-08-01,1,3,1,84,42,65,35,20,0,27,11,2,31,0,4,66,3,34,0,45,12,24,5,7
20,2008-09-01,2,1,1,82,31,24,28,31,0,31,12,2,32,0,5,56,2,28,0,40,8,43,18,10
21,2008-10-01,1,3,0,71,21,46,59,11,0,34,12,1,35,0,6,62,4,31,0,55,10,44,7,6
22,2008-11-01,1,2,1,75,31,74,50,27,3,26,15,1,38,0,7,59,9,28,0,50,9,33,9,8
23,2008-12-01,1,3,1,80,15,85,30,18,1,28,11,3,33,0,8,60,4,44,0,32,4,41,5,15
24,2009-01-01,2,2,0,87,35,73,55,29,1,70,16,2,35,0,10,63,5,28,0,40,0,41,8,4
25,2009-02-01,2,1,1,82,29,83,36,40,1,100,14,1,36,0,8,63,4,35,0,30,0,54,5,10
26,2009-03-01,2,3,0,90,36,66,43,36,0,64,16,1,35,0,12,61,5,30,0,38,9,45,7,12
27,2009-04-01,2,2,0,85,38,58,27,31,1,79,14,2,42,0,13,66,3,28,0,53,7,39,11,7
28,2009-05-01,2,4,1,85,26,74,30,25,0,31,11,2,41,0,12,66,0,30,0,35,8,37,0,7
29,2009-06-01,1,1,1,92,20,48,52,51,0,33,13,1,34,0,15,71,6,36,0,44,5,34,4,5
30,2009-07-01,2,2,1,86,44,72,40,20,2,31,15,2,34,0,9,80,4,26,0,44,6,26,4,4
31,2009-08-01,2,2,0,85,19,77,31,39,1,32,13,1,41,0,8,77,2,28,0,37,8,20,5,11
32,2009-09-01,2,2,1,84,29,50,30,25,1,32,13,2,43,0,10,67,5,21,0,34,0,51,4,10
33,2009-10-01,2,2,1,85,32,72,36,54,1,39,19,2,46,0,13,50,2,27,0,37,6,45,6,10
34,2009-11-01,3,1,0,87,28,55,44,43,0,31,18,2,45,0,10,58,7,37,0,45,9,58,0,7
35,2009-12-01,2,1,1,81,50,69,54,32,1,40,15,1,43,0,15,64,5,48,0,54,7,30,4,7
36,2010-01-01,1,1,1,92,54,65,40,51,1,74,15,1,46,0,12,61,4,35,0,43,13,37,4,7
37,2010-02-01,3,2,1,83,12,90,37,30,0,85,17,2,41,0,16,64,5,41,0,43,8,35,4,5
38,2010-03-01,3,2,0,89,25,100,57,25,1,60,21,2,40,0,9,63,3,29,0,49,9,32,4,12
39,2010-04-01,2,2,1,86,26,37,56,31,1,76,20,2,51,0,11,60,5,40,0,44,5,60,10,8
40,2010-05-01,4,2,0,88,48,53,28,24,0,34,18,2,48,0,12,69,5,34,0,46,4,52,8,9
41,2010-06-01,1,1,1,82,56,42,51,37,0,26,15,3,39,0,11,75,3,29,0,38,7,32,27,6
42,2010-07-01,2,2,1,85,48,48,56,26,1,37,15,2,48,0,14,68,4,36,0,39,10,37,10,9
