date,tax,isPartial
2013-01-06,51,False
2013-01-13,55,False
2013-01-20,64,False
2013-01-27,80,False
2013-02-03,79,False
2013-02-10,69,False
2013-02-17,68,False
2013-02-24,66,False
2013-03-03,62,False
2013-03-10,59,False
2013-03-17,57,False
2013-03-24,58,False
2013-03-31,68,False
2013-04-07,89,False
2013-04-14,80,False
2013-04-21,36,False
2013-04-28,33,False
2013-05-05,31,False
2013-05-12,31,False
2013-05-19,30,False
2013-05-26,27,False
2013-06-02,29,False
2013-06-09,29,False
2013-06-16,26,False
2013-06-23,27,False
2013-06-30,24,False
2013-07-07,27,False
2013-07-14,28,False
2013-07-21,28,False
2013-07-28,30,False
2013-08-04,27,False
2013-08-11,27,False
2013-08-18,27,False
2013-08-25,26,False
2013-09-01,25,False
2013-09-08,28,False
2013-09-15,28,False
2013-09-22,29,False
2013-09-29,32,False
2013-10-06,33,False
2013-10-13,35,False
2013-10-20,30,False
2013-10-27,30,False
2013-11-03,30,False
2013-11-10,29,False
2013-11-17,30,False
2013-11-24,25,False
2013-12-01,34,False
2013-12-08,35,False
2013-12-15,32,False
2013-12-22,27,False
2013-12-29,35,False
2014-01-05,41,False
2014-01-12,48,False
2014-01-19,57,False
2014-01-26,75,False
2014-02-02,79,False
2014-02-09,68,False
2014-02-16,65,False
2014-02-23,62,False
2014-03-02,57,False
2014-03-09,57,False
2014-03-16,56,False
2014-03-23,55,False
2014-03-30,65,False
2014-04-06,78,False
2014-04-13,91,False
2014-04-20,34,False
2014-04-27,33,False
2014-05-04,31,False
2014-05-11,29,False
2014-05-18,29,False
2014-05-25,28,False
2014-06-01,29,False
2014-06-08,28,False
2014-06-15,29,False
2014-06-22,29,False
2014-06-29,27,False
2014-07-06,29,False
2014-07-13,29,False
2014-07-20,30,False
2014-07-27,31,False
2014-08-03,29,False
2014-08-10,28,False
2014-08-17,29,False
2014-08-24,29,False
2014-08-31,27,False
2014-09-07,30,False
2014-09-14,30,False
2014-09-21,30,False
2014-09-28,32,False
2014-10-05,34,False
2014-10-12,36,False
2014-10-19,32,False
2014-10-26,31,False
2014-11-02,32,False
2014-11-09,32,False
2014-11-16,32,False
2014-11-23,26,False
2014-11-30,34,False
2014-12-07,35,False
2014-12-14,33,False
2014-12-21,26,False
2014-12-28,37,False
2015-01-04,44,False
2015-01-11,49,False
2015-01-18,61,False
2015-01-25,77,False
2015-02-01,80,False
2015-02-08,72,False
2015-02-15,66,False
2015-02-22,61,False
2015-03-01,60,False
2015-03-08,58,False
2015-03-15,58,False
2015-03-22,60,False
2015-03-29,66,False
2015-04-05,77,False
2015-04-12,100,False
2015-04-19,38,False
2015-04-26,35,False
2015-05-03,32,False
2015-05-10,32,False
2015-05-17,31,False
2015-05-24,29,False
2015-05-31,31,False
2015-06-07,31,False
2015-06-14,30,False
2015-06-21,30,False
2015-06-28,29,False
2015-07-05,30,False
2015-07-12,31,False
2015-07-19,31,False
2015-07-26,30,False
2015-08-02,31,False
2015-08-09,29,False
2015-08-16,30,False
2015-08-23,30,False
2015-08-30,30,False
2015-09-06,29,False
2015-09-13,31,False
2015-09-20,29,False
2015-09-27,32,False
2015-10-04,33,False
2015-10-11,36,False
2015-10-18,31,False
2015-10-25,32,False
2015-11-01,32,False
2015-11-08,32,False
2015-11-15,31,False
2015-11-22,26,False
2015-11-29,35,False
2015-12-06,39,False
2015-12-13,34,False
2015-12-20,28,False
2015-12-27,34,False
2016-01-03,39,False
2016-01-10,46,False
2016-01-17,55,False
2016-01-24,73,False
2016-01-31,82,False
2016-02-07,70,False
2016-02-14,63,False
2016-02-21,63,False
2016-02-28,58,False
2016-03-06,56,False
2016-03-13,56,False
2016-03-20,54,False
2016-03-27,60,False
2016-04-03,67,False
2016-04-10,93,False
2016-04-17,59,False
2016-04-24,34,False
2016-05-01,31,False
2016-05-08,31,False
2016-05-15,30,False
2016-05-22,28,False
2016-05-29,26,False
2016-06-05,27,False
2016-06-12,27,False
2016-06-19,26,False
2016-06-26,28,False
2016-07-03,25,False
2016-07-10,26,False
2016-07-17,27,False
2016-07-24,29,False
2016-07-31,28,False
2016-08-07,28,False
2016-08-14,26,False
2016-08-21,26,False
2016-08-28,27,False
2016-09-04,27,False
2016-09-11,30,False
2016-09-18,29,False
2016-09-25,31,False
2016-10-02,34,False
2016-10-09,34,False
2016-10-16,33,False
2016-10-23,30,False
2016-10-30,31,False
2016-11-06,36,False
2016-11-13,35,False
2016-11-20,26,False
2016-11-27,33,False
2016-12-04,35,False
2016-12-11,32,False
2016-12-18,29,False
2016-12-25,30,False
2017-01-01,42,False
2017-01-08,43,False
2017-01-15,51,False
2017-01-22,68,False
2017-01-29,79,False
2017-02-05,69,False
2017-02-12,70,False
2017-02-19,69,False
2017-02-26,62,False
2017-03-05,61,False
2017-03-12,65,False
2017-03-19,58,False
2017-03-26,66,False
2017-04-02,74,False
2017-04-09,93,False
2017-04-16,83,False
2017-04-23,48,False
2017-04-30,37,False
2017-05-07,33,False
2017-05-14,31,False
2017-05-21,31,False
2017-05-28,30,False
2017-06-04,30,False
2017-06-11,31,False
2017-06-18,29,False
2017-06-25,32,False
2017-07-02,29,False
2017-07-09,33,False
2017-07-16,32,False
2017-07-23,33,False
2017-07-30,33,False
2017-08-06,30,False
2017-08-13,29,False
2017-08-20,29,False
2017-08-27,29,False
2017-09-03,27,False
2017-09-10,32,False
2017-09-17,30,False
2017-09-24,40,False
2017-10-01,37,False
2017-10-08,39,False
2017-10-15,38,False
2017-10-22,37,False
2017-10-29,54,False
2017-11-05,44,False
2017-11-12,48,False
2017-11-19,34,False
2017-11-26,69,False
2017-12-03,62,False
2017-12-10,59,False
2017-12-17,98,False
2017-12-24,70,False
2017-12-31,48,True
